environment_block_id,library_size_case_id,policy_id,history_length,launch_speed_bin_id,launch_speed_bin_min_m_s,launch_speed_bin_max_m_s,launch_speed_bin_label,launch_count,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_4_0_to_5_0_m_s,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,6,3.0,0.5,3.0,0.5,0.0,0.0,3.0,0.5,0.0,0.0,2.0,0.3333333333333333,4.0,0.6666666666666666,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,2.0,0.3333333333333333,3.0,0.5,5.0,0.8333333333333334,0.0,0.0,0.0,0.0,4.480614965380852,4.062270882158154,4.974404679318456,58.40480776947288,59.833605116485074,1.2166666666666666,0.46,1.8590433329175473,1.4590433329175472,9.153454722418033,0.0063525223557616495,0.29970726155730054,-0.7844385691234296,0.7907910914791912
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,7,6.0,0.8571428571428571,6.0,0.8571428571428571,0.0,0.0,6.0,0.8571428571428571,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,6.0,0.8571428571428571,4.0,0.5714285714285714,0.0,0.0,0.0,0.0,5.333457613646035,5.02929389802401,5.961663813537895,90.58480651192086,120.0,1.162857142857143,0.34857142857142864,2.30247161188614,1.90247161188614,16.543609133735252,0.0,0.12626471402703712,-0.7399939428838213,0.7399939428838213
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_6_0_to_7_0_m_s,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,14,14.0,1.0,14.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,7.0,0.5,0.0,0.0,0.0,0.0,6.54308520799183,6.106340861654188,6.947160686683218,124.28235783030244,120.3520645489524,0.9257142857142856,0.18857142857142858,3.3017521284794316,2.901752128479432,20.0,0.010866141741233357,0.16697503437226513,-0.5277709571320803,0.5386370988733137
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_ge_7_0_m_s,7.0,,initial_launch_speed_m_s >= 7.0,12,12.0,1.0,12.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,0.9166666666666666,0.0,0.0,0.0,0.0,7.46890974012759,7.013578014947912,7.907311911278154,125.59872722350714,124.5210862821259,0.7949999999999999,0.33499999999999996,3.958006027956198,3.558006027956198,20.0,0.043720313107831366,0.1961863611753576,-0.5042853887423631,0.5480057018501944
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_lt_4_0_m_s,,4.0,initial_launch_speed_m_s < 4.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,9.0,0.8181818181818182,2.0,0.18181818181818182,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,9.0,0.8181818181818182,1.0,0.09090909090909091,4.0,0.36363636363636365,0.0,0.0,0.0,0.0,3.548800506099386,3.004820898252463,3.994861598062479,3.4462373768118395,0.0,1.0327272727272727,0.24545454545454548,1.2090558506970466,0.8090558506970464,1.3845339090785453,0.025252485929367883,0.3958527213183389,-1.0660824119605066,1.0913348978898745
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_4_0_to_5_0_m_s,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,6,3.0,0.5,3.0,0.5,0.0,0.0,3.0,0.5,0.0,0.0,2.0,0.3333333333333333,4.0,0.6666666666666666,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,2.0,0.3333333333333333,3.0,0.5,5.0,0.8333333333333334,2.0,0.3333333333333333,0.0,0.0,4.480614965380852,4.062270882158154,4.974404679318456,58.407013277096176,59.833605116485074,1.2166666666666666,0.46,1.861181938655237,1.461181938655237,9.17484077979493,0.0063525223557616495,0.2987482340696204,-0.7822999633857398,0.7886524857415015
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,7,6.0,0.8571428571428571,6.0,0.8571428571428571,0.0,0.0,6.0,0.8571428571428571,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,6.0,0.8571428571428571,4.0,0.5714285714285714,3.0,0.42857142857142855,0.0,0.0,5.333457613646035,5.02929389802401,5.961663813537895,90.56297456183997,120.0,1.16,0.3457142857142857,2.299861790039227,1.8998617900392267,16.600517015673137,0.0,0.1230420081403851,-0.7426037647307345,0.7426037647307345
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_6_0_to_7_0_m_s,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,14,14.0,1.0,14.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,7.0,0.5,2.0,0.14285714285714285,0.0,0.0,6.54308520799183,6.106340861654188,6.947160686683218,124.28289492716931,120.3520645489524,0.9257142857142856,0.18857142857142858,3.301891520710066,2.9018915207100666,20.0,0.010866141741233357,0.16700188921560816,-0.5276315649014457,0.5384977066426789
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_ge_7_0_m_s,7.0,,initial_launch_speed_m_s >= 7.0,12,12.0,1.0,12.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,0.9166666666666666,2.0,0.16666666666666666,0.0,0.0,7.46890974012759,7.013578014947912,7.907311911278154,125.5973631885331,124.5210862821259,0.7949999999999999,0.3333333333333333,3.95843961202028,3.55843961202028,20.0,0.046977497386720496,0.1965348260933213,-0.5038518046782808,0.5508293020650014
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_lt_4_0_m_s,,4.0,initial_launch_speed_m_s < 4.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,9.0,0.8181818181818182,2.0,0.18181818181818182,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,9.0,0.8181818181818182,1.0,0.09090909090909091,4.0,0.36363636363636365,0.0,0.0,0.0,0.0,3.548800506099386,3.004820898252463,3.994861598062479,3.4462373768118395,0.0,1.0327272727272727,0.24545454545454548,1.2090558506970466,0.8090558506970464,1.3845339090785453,0.025252485929367883,0.3958527213183389,-1.0660824119605066,1.0913348978898745
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h3,3,v0_4_0_to_5_0_m_s,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,6,3.0,0.5,3.0,0.5,0.0,0.0,3.0,0.5,0.0,0.0,2.0,0.3333333333333333,4.0,0.6666666666666666,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,2.0,0.3333333333333333,3.0,0.5,5.0,0.8333333333333334,2.0,0.3333333333333333,0.0,0.0,4.480614965380852,4.062270882158154,4.974404679318456,58.407013277096176,59.833605116485074,1.2166666666666666,0.46,1.861181938655237,1.461181938655237,9.17484077979493,0.0063525223557616495,0.2987482340696204,-0.7822999633857398,0.7886524857415015
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h3,3,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,7,6.0,0.8571428571428571,6.0,0.8571428571428571,0.0,0.0,6.0,0.8571428571428571,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,6.0,0.8571428571428571,4.0,0.5714285714285714,1.0,0.14285714285714285,0.0,0.0,5.333457613646035,5.02929389802401,5.961663813537895,90.59494192820604,120.0,1.16,0.3457142857142857,2.3081624000799286,1.9081624000799284,16.600517015673137,0.0,0.12464037645868853,-0.734303154690033,0.734303154690033
