comparison_type,library_size_case_id,policy_id,baseline_policy_id,history_length,paired_launch_count,mean_paired_delta_launch_score,median_paired_delta_launch_score,win_rate,loss_rate,safety_regression_rate,mission_success_delta_mean,front_wall_terminal_success_delta_mean,wrong_wall_exit_delta_mean,memory_changed_selection_rate,baseline_vs_policy_selection_changed_rate,exploration_changed_selection_rate,mean_net_specific_energy_delta_m_delta,mean_positive_specific_energy_gain_m_delta,mean_updraft_specific_energy_gain_proxy_m_delta,mean_terminal_specific_energy_m_delta,mean_terminal_specific_energy_bonus_delta,mean_gross_specific_energy_loss_m_delta,mean_episode_flight_time_s_delta
memory_vs_no_memory,balanced_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,50,-0.0009679119459136132,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.06,0.06,0.0,-0.0002175672106880766,1.1078585775168292e-05,-1.092081593314627e-05,-0.00021756721068808105,-0.0009701288367665484,0.00022864579646325378,0.0
memory_vs_no_memory,balanced_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,50,-0.0009679119459136132,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.06,0.06,0.0,-0.0002175672106880766,1.1078585775168292e-05,-1.092081593314627e-05,-0.00021756721068808105,-0.0009701288367665484,0.00022864579646325378,0.0
memory_vs_no_memory,balanced_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,50,-0.001374139842516513,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.08,0.08,0.0,-0.000197501922545813,1.1078585775168292e-05,-3.123221076330228e-05,-0.000197501922545813,-0.0009701288367665484,0.00020858050832099018,0.0
memory_vs_no_memory,heavy_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,heavy_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,heavy_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,light_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,50,-0.0017775142179030467,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.04,0.04,0.0,-0.0002983127741540037,1.1929017100628104e-05,-9.544540809803804e-06,-0.0002983127741540015,-0.001777584471425797,0.0003102417912546285,0.0
memory_vs_no_memory,light_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,50,-0.0017775142179030467,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.04,0.04,0.0,-0.0002983127741540037,1.1929017100628104e-05,-9.544540809803804e-06,-0.0002983127741540015,-0.001777584471425797,0.0003102417912546285,0.0
memory_vs_no_memory,light_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,50,-0.0021837421145059466,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.06,0.06,0.0,-0.0002782474860117401,1.1929017100628104e-05,-2.9855935639959815e-05,-0.00027824748601173343,-0.001777584471425797,0.0002901765031123649,0.0
memory_vs_no_memory,no_cluster_no_merge,spatial_flow_belief_memory_h10,no_memory_baseline,10,50,-0.007144694676364907,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.0014707305538327975,1.0793436478221952e-05,0.0005717244570329938,-0.0014707305538327908,-0.0074882521113622145,0.0014815239903110155,0.00040000000000000034
memory_vs_no_memory,no_cluster_no_merge,spatial_flow_belief_memory_h3,no_memory_baseline,3,50,-0.007144694676364907,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.0014707305538327975,1.0793436478221952e-05,0.0005717244570329938,-0.0014707305538327908,-0.0074882521113622145,0.0014815239903110155,0.00040000000000000034
memory_vs_no_memory,no_cluster_no_merge,spatial_flow_belief_memory_h30,no_memory_baseline,30,50,-0.007550922572967807,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.12,0.12,0.0,-0.0014506652656905339,1.0793436478221952e-05,0.0005514130622028378,-0.0014506652656905228,-0.0074882521113622145,0.0014614587021687519,0.00040000000000000034
memory_vs_no_memory,super_light_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,50,-0.006413169671211278,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.04,0.04,0.0,-0.0007962340629845199,0.0,1.7181384425979995e-05,-0.0007962340629845154,-0.006756797359730981,0.0007962340629845199,0.0
memory_vs_no_memory,super_light_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,50,-0.006413169671211278,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.06,0.06,0.0,-0.0008607843242397495,0.0,1.718130941721226e-05,-0.0008607843242397362,-0.006756797359730981,0.0008607843242397495,0.0
memory_vs_no_memory,super_light_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,50,-0.006819397567814178,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.08,0.08,0.0,-0.0008407190360974859,0.0,-3.1300854129437475e-06,-0.0008407190360974681,-0.006756797359730981,0.0008407190360974859,0.0
