comparison_type,environment_block_id,library_size_case_id,outer_case_index,common_final_launch_key,policy_id,baseline_policy_id,history_length,launch_score,baseline_launch_score,delta_launch_score,accumulated_selected_score,baseline_accumulated_selected_score,delta_accumulated_selected_score,executed_selected_decision_count,baseline_executed_selected_decision_count,mission_success_delta,safe_success_delta,hard_failure_delta,no_viable_primitive_delta,claim_status
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,1,r10_changed_final_0001,spatial_flow_belief_memory_h3,no_memory_baseline,3,115.6390445766492,115.6390445766492,0.0,13.537479180250479,13.004200588331503,0.5332785919189753,12,12,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,0,r10_changed_final_0000,spatial_flow_belief_memory_h3,no_memory_baseline,3,-40.0,-40.0,0.0,0.0,0.0,0.0,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,5,r10_changed_final_0005,spatial_flow_belief_memory_h3,no_memory_baseline,3,120.0,120.0,0.0,13.051108236592626,12.626958338728366,0.4241498978642593,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,17,r10_changed_final_0017,spatial_flow_belief_memory_h3,no_memory_baseline,3,-40.0,-40.0,0.0,0.0,0.0,0.0,8,8,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,7,r10_changed_final_0007,spatial_flow_belief_memory_h3,no_memory_baseline,3,-40.0,-40.0,0.0,0.0,0.0,0.0,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,14,r10_changed_final_0014,spatial_flow_belief_memory_h3,no_memory_baseline,3,-100.0,-100.0,0.0,12.538778880746138,11.927186626488627,0.611592254257511,13,13,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,22,r10_changed_final_0022,spatial_flow_belief_memory_h3,no_memory_baseline,3,119.78412681491707,119.78412681491707,0.0,10.76973803243644,10.282501118292988,0.4872369141434518,10,10,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,15,r10_changed_final_0015,spatial_flow_belief_memory_h3,no_memory_baseline,3,-100.0,-100.0,0.0,10.115553418337784,9.791825320002665,0.32372809833511873,7,7,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,16,r10_changed_final_0016,spatial_flow_belief_memory_h3,no_memory_baseline,3,120.0028683163461,120.0028683163461,0.0,9.733874151840965,9.270967205710262,0.46290694613070293,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,25,r10_changed_final_0025,spatial_flow_belief_memory_h3,no_memory_baseline,3,-100.0,-100.0,0.0,8.376407866029924,7.935818483937914,0.4405893820920097,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,2,r10_changed_final_0002,spatial_flow_belief_memory_h3,no_memory_baseline,3,-50.0,-50.0,0.0,8.289434651962706,8.020959667584806,0.2684749843778995,6,6,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,21,r10_changed_final_0021,spatial_flow_belief_memory_h3,no_memory_baseline,3,120.02587743834299,120.02587743834299,0.0,14.237424531654042,13.839707320801327,0.39771721085271494,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,18,r10_changed_final_0018,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,9.966970929695782,9.43184966254757,0.5351212671482113,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,3,r10_changed_final_0003,spatial_flow_belief_memory_h3,no_memory_baseline,3,122.62957916236873,122.62957916236873,0.0,13.121909899345683,12.683141759452427,0.4387681398932557,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
