audit_scope,timing_requirement_tier,timing_requirement_policy,hard_100ms_required_rate,selector_decision_count,prepared_before_boundary_count,prepared_before_boundary_rate,preferred_20ms_slot_met_count,preferred_20ms_slot_met_rate,hard_100ms_boundary_met_count,hard_100ms_boundary_met_rate,hard_100ms_requirement_passed,max_decision_total_duration_s,p99_decision_total_duration_s,mean_decision_total_duration_s,timing_duration_source_column,timing_boundary_scope,mean_evaluated_candidate_count,max_evaluated_candidate_count,mean_total_library_candidate_count,max_total_library_candidate_count,mean_prefilter_skipped_candidate_count,preferred_decision_budget_s,hard_decision_budget_s,audit_status,real_time_claim_status
overall,aggregate_diagnostic,reported_only_mixed_scope,,9884,9884,1.0,2312,0.2339133953864832,6696,0.6774585188182922,,5.223554500000319,0.8814564850030004,0.12780446640037502,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,32.54825981384055,144,467.9174423310401,1605,435.36918251719953,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_required:heavy_balanced,required_real_flight_candidate_aggregate,aggregate_includes_pre_release_report_inflight_scope_for_gate,,3948,3948,1.0,1566,0.3966565349544073,3452,0.8743667679837892,,5.223554500000319,0.3053147599767539,0.05502734285709526,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,5.2494934143870315,18,76.25531914893617,112,71.00582573454913,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_optional_extended:light_super_light,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,3960,3960,1.0,712,0.1797979797979798,2578,0.651010101010101,,1.1702851000009105,0.6706555109997856,0.12535206012629474,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,21.67929292929293,41,291.0,374,269.32070707070704,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
offline_comparison:unrestricted:not_real_flight_candidate:no_cluster_no_merge,offline_unrestricted_comparison,no_real_flight_timing_restriction,,1976,1976,1.0,34,0.01720647773279352,666,0.33704453441295545,,1.8949866999755611,1.228204974991968,0.27812613269299974,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,108.87246963562752,144,1605.0,1605,1496.1275303643724,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_required:heavy_balanced:inflight_boundary_decisions,required_real_flight_candidate,all_inflight_decisions_must_meet_100ms_for_heavy_and_balanced,1.0,3548,3548,1.0,1477,0.4162908680947012,3276,0.923337091319053,False,0.3161746000405401,0.19274200498184638,0.03695783058056618,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,4.760146561443067,12,76.28410372040587,112,71.5239571589628,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
real_flight_optional_extended:light_super_light:inflight_boundary_decisions,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,3560,3560,1.0,649,0.18230337078651684,2478,0.696067415730337,,1.1491879000386689,0.5986539999951491,0.10728197160111203,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,21.29943820224719,41,291.0,374,269.7005617977528,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
pre_release_initial_decisions:not_inflight_boundary_compute,pre_release_preparation,not_an_inflight_boundary_compute_gate,,1000,1000,1.0,152,0.152,326,0.326,,5.223554500000319,1.7341429840063196,0.32472781470013434,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,41.316,144,467.8,1605,426.484,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
library_size_case_id:balanced_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,1988,1988,1.0,591,0.29728370221327965,1620,0.8148893360160966,,0.6165400999889243,0.35506367799098326,0.06038878506044357,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,7.435110663983903,18,112.0,112,104.5648893360161,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
library_size_case_id:heavy_cluster,required_real_flight_candidate_case_diagnostic,case_scope_includes_pre_release_report_required_inflight_scope_for_gate,,1960,1960,1.0,975,0.49744897959183676,1832,0.9346938775510204,,5.223554500000319,0.19583024798659712,0.04958930862227056,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,3.0326530612244897,10,40.0,40,36.96734693877551,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
library_size_case_id:light_cluster,optional_extended_library_diagnostic,limited_100ms_violations_allowed_report_rate_not_real_flight_gate,,1980,1980,1.0,483,0.24393939393939393,1344,0.6787878787878788,,0.9096282999962568,0.5103843960078668,0.09535002237351342,decision_controller_compute_duration_s,controller_compute_excludes_table_flush_and_posthoc_diagnostics,15.26060606060606,23,208.0,208,192.73939393939395,0.02,0.1,profiled,controller_compute_profile_excludes_table_flush_and_posthoc_diagnostics
