environment_block_id,library_size_case_id,policy_id,history_length,launch_speed_bin_id,launch_speed_bin_min_m_s,launch_speed_bin_max_m_s,launch_speed_bin_label,launch_count,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,baseline_vs_policy_selection_changed_count,baseline_vs_policy_selection_changed_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_4_0_to_5_0_m_s,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,4.5587719010272085,4.110284940339293,4.987685674924405,14.499818020608217,0.0,1.0363636363636364,0.2981818181818182,1.4683235528751013,1.0683235528751014,1.0725452933354898,0.020060684575444073,0.3707503433138243,-1.113159234369137,1.133219918944581
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,11,3.0,0.2727272727272727,4.0,0.36363636363636365,0.0,0.0,3.0,0.2727272727272727,2.0,0.18181818181818182,0.0,0.0,11.0,1.0,3.0,0.2727272727272727,4.0,0.36363636363636365,3.0,0.2727272727272727,4.0,0.36363636363636365,3.0,0.2727272727272727,4.0,0.36363636363636365,7.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,5.478759411744329,5.002639158573073,5.876070290237821,-19.567842401608267,-40.0,1.0454545454545454,0.3181818181818182,1.8840983263662752,1.484098326366275,3.9043734421107787,0.0003702084368439454,0.21505972183432645,-1.159672866093632,1.160043074530476
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_6_0_to_7_0_m_s,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,9,8.0,0.8888888888888888,8.0,0.8888888888888888,0.0,0.0,8.0,0.8888888888888888,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.8888888888888888,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,6.601646979814053,6.172104642361257,6.984456906350856,106.93630287963765,120.04156407440357,1.1155555555555554,0.3733333333333333,2.2434664271994307,1.8434664271994308,17.160140627754025,0.0,0.27337268729686137,-1.530254464490368,1.530254464490368
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_ge_7_0_m_s,7.0,,initial_launch_speed_m_s >= 7.0,19,15.0,0.7894736842105263,16.0,0.8421052631578947,0.0,0.0,15.0,0.7894736842105263,2.0,0.10526315789473684,0.0,0.0,19.0,1.0,0.0,0.0,3.0,0.15789473684210525,2.0,0.10526315789473684,3.0,0.15789473684210525,2.0,0.10526315789473684,16.0,0.8421052631578947,12.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,7.452076261490961,7.046351611631256,7.978637245396595,79.68266725951557,120.02586319489345,0.8726315789473683,0.23789473684210524,2.966991561869524,2.5669915618695245,15.789473684210526,0.0,0.16669887733163097,-1.3863671675256535,1.3863671675256535
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_4_0_to_5_0_m_s,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,4.5587719010272085,4.110284940339293,4.987685674924405,14.498308435464661,0.0,1.0363636363636364,0.2981818181818182,1.468172594360746,1.0681725943607459,1.071035708191936,0.020111041783513018,0.3707001994025705,-1.1133101928834923,1.1334212346670054
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,11,3.0,0.2727272727272727,4.0,0.36363636363636365,0.0,0.0,3.0,0.2727272727272727,2.0,0.18181818181818182,0.0,0.0,11.0,1.0,3.0,0.2727272727272727,4.0,0.36363636363636365,3.0,0.2727272727272727,4.0,0.36363636363636365,3.0,0.2727272727272727,4.0,0.36363636363636365,7.0,0.6363636363636364,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,5.478759411744329,5.002639158573073,5.876070290237821,-19.570732735553054,-40.0,1.0454545454545454,0.3181818181818182,1.8838083172275548,1.4838083172275547,3.9014733507235757,0.0003702084368439454,0.21506020970644715,-1.1599628752323523,1.1603330836691963
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_6_0_to_7_0_m_s,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,9,8.0,0.8888888888888888,8.0,0.8888888888888888,0.0,0.0,8.0,0.8888888888888888,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.8888888888888888,6.0,0.6666666666666666,1.0,0.1111111111111111,1.0,0.1111111111111111,0.0,0.0,6.601646979814053,6.172104642361257,6.984456906350856,106.936303269935,120.04156407440357,1.1155555555555554,0.3733333333333333,2.2427966809382562,1.8427966809382559,17.160140627754025,0.0,0.2733727068117287,-1.5309242107515424,1.5309242107515424
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_ge_7_0_m_s,7.0,,initial_launch_speed_m_s >= 7.0,19,15.0,0.7894736842105263,16.0,0.8421052631578947,0.0,0.0,15.0,0.7894736842105263,2.0,0.10526315789473684,0.0,0.0,19.0,1.0,0.0,0.0,3.0,0.15789473684210525,2.0,0.10526315789473684,3.0,0.15789473684210525,2.0,0.10526315789473684,16.0,0.8421052631578947,12.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,7.452076261490961,7.046351611631256,7.978637245396595,79.68266725951557,120.02586319489345,0.8726315789473683,0.23789473684210524,2.966991561869524,2.5669915618695245,15.789473684210526,0.0,0.16669887733163097,-1.3863671675256535,1.3863671675256535
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h3,3,v0_4_0_to_5_0_m_s,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,4.5587719010272085,4.110284940339293,4.987685674924405,14.498308435464661,0.0,1.0363636363636364,0.2981818181818182,1.468172594360746,1.0681725943607459,1.071035708191936,0.020111041783513018,0.3707001994025705,-1.1133101928834923,1.1334212346670054
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h3,3,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,11,3.0,0.2727272727272727,4.0,0.36363636363636365,0.0,0.0,3.0,0.2727272727272727,2.0,0.18181818181818182,0.0,0.0,11.0,1.0,3.0,0.2727272727272727,4.0,0.36363636363636365,3.0,0.2727272727272727,4.0,0.36363636363636365,3.0,0.2727272727272727,4.0,0.36363636363636365,7.0,0.6363636363636364,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,5.478759411744329,5.002639158573073,5.876070290237821,-19.570732735553054,-40.0,1.0454545454545454,0.3181818181818182,1.8838083172275548,1.4838083172275547,3.9014733507235757,0.0003702084368439454,0.21506020970644715,-1.1599628752323523,1.1603330836691963
