environment_block_id,library_size_case_id,policy_id,history_length,start_energy_group_id,start_energy_group_label,start_energy_group_basis,start_energy_feasibility_threshold_m_s,launch_count,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,baseline_vs_policy_selection_changed_count,baseline_vs_policy_selection_changed_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,39,26.0,0.6666666666666666,28.0,0.717948717948718,0.0,0.0,26.0,0.6666666666666666,4.0,0.10256410256410256,0.0,0.0,39.0,1.0,4.0,0.10256410256410256,7.0,0.1794871794871795,5.0,0.1282051282051282,7.0,0.1794871794871795,5.0,0.1282051282051282,28.0,0.717948717948718,25.0,0.6410256410256411,0.0,0.0,0.0,0.0,0.0,0.0,6.699246802970317,5.002639158573073,7.978637245396595,57.97823429307292,120.0,0.9774358974358973,0.2917948717948718,2.49459279770115,2.0945927977011505,12.753573679820635,0.00010441776423803589,0.20495614859359823,-1.355632510011043,1.355736927775281
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,4.5587719010272085,4.110284940339293,4.987685674924405,14.499818020608217,0.0,1.0363636363636364,0.2981818181818182,1.4683235528751013,1.0683235528751014,1.0725452933354898,0.020060684575444073,0.3707503433138243,-1.113159234369137,1.133219918944581
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,39,26.0,0.6666666666666666,28.0,0.717948717948718,0.0,0.0,26.0,0.6666666666666666,4.0,0.10256410256410256,0.0,0.0,39.0,1.0,4.0,0.10256410256410256,7.0,0.1794871794871795,5.0,0.1282051282051282,7.0,0.1794871794871795,5.0,0.1282051282051282,28.0,0.717948717948718,25.0,0.6410256410256411,2.0,0.05128205128205128,2.0,0.05128205128205128,0.0,0.0,6.699246802970317,5.002639158573073,7.978637245396595,57.97741916074685,120.0,0.9774358974358973,0.2917948717948718,2.494356443422266,2.094356443422266,12.752755705326809,0.00010441776423803589,0.2049562907019863,-1.3558688642899277,1.3559732820541657
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,4.5587719010272085,4.110284940339293,4.987685674924405,14.498308435464661,0.0,1.0363636363636364,0.2981818181818182,1.468172594360746,1.0681725943607459,1.071035708191936,0.020111041783513018,0.3707001994025705,-1.1133101928834923,1.1334212346670054
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h3,3,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,39,26.0,0.6666666666666666,28.0,0.717948717948718,0.0,0.0,26.0,0.6666666666666666,4.0,0.10256410256410256,0.0,0.0,39.0,1.0,4.0,0.10256410256410256,7.0,0.1794871794871795,5.0,0.1282051282051282,7.0,0.1794871794871795,5.0,0.1282051282051282,28.0,0.717948717948718,25.0,0.6410256410256411,2.0,0.05128205128205128,2.0,0.05128205128205128,0.0,0.0,6.699246802970317,5.002639158573073,7.978637245396595,57.97741916074685,120.0,0.9774358974358973,0.2917948717948718,2.494356443422266,2.094356443422266,12.752755705326809,0.00010441776423803589,0.2049562907019863,-1.3558688642899277,1.3559732820541657
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h3,3,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,4.5587719010272085,4.110284940339293,4.987685674924405,14.498308435464661,0.0,1.0363636363636364,0.2981818181818182,1.468172594360746,1.0681725943607459,1.071035708191936,0.020111041783513018,0.3707001994025705,-1.1133101928834923,1.1334212346670054
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h30,30,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,39,26.0,0.6666666666666666,28.0,0.717948717948718,0.0,0.0,26.0,0.6666666666666666,4.0,0.10256410256410256,0.0,0.0,39.0,1.0,4.0,0.10256410256410256,7.0,0.1794871794871795,5.0,0.1282051282051282,7.0,0.1794871794871795,5.0,0.1282051282051282,28.0,0.717948717948718,25.0,0.6410256410256411,3.0,0.07692307692307693,3.0,0.07692307692307693,0.0,0.0,6.699246802970317,5.002639158573073,7.978637245396595,57.9768983557512,120.0,0.9774358974358973,0.2917948717948718,2.4943821681506533,2.0943821681506534,12.752755705326809,0.00010441776423803589,0.20493025045220403,-1.35584313956154,1.355947557325778
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h30,30,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,4.5587719010272085,4.110284940339293,4.987685674924405,14.498308435464661,0.0,1.0363636363636364,0.2981818181818182,1.468172594360746,1.0681725943607459,1.071035708191936,0.020111041783513018,0.3707001994025705,-1.1133101928834923,1.1334212346670054
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,no_memory_baseline,0,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,39,24.0,0.6153846153846154,26.0,0.6666666666666666,0.0,0.0,24.0,0.6153846153846154,5.0,0.1282051282051282,0.0,0.0,39.0,1.0,1.0,0.02564102564102564,12.0,0.3076923076923077,9.0,0.23076923076923078,12.0,0.3076923076923077,9.0,0.23076923076923078,26.0,0.6666666666666666,25.0,0.6410256410256411,0.0,0.0,0.0,0.0,0.0,0.0,6.699246802970317,5.002639158573073,7.978637245396595,42.03485272840698,120.0,0.9517948717948718,0.28615384615384615,2.470179176560279,2.0701791765602793,11.698672301632635,2.6637745596320513e-05,0.20233571714901705,-1.380046131151914,1.3800727688975105
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,no_memory_baseline,0,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,7.0,0.6363636363636364,4.0,0.36363636363636365,3.0,0.2727272727272727,0.0,0.0,0.0,0.0,7.0,0.6363636363636364,7.0,0.6363636363636364,1.0,0.09090909090909091,4.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,4.5587719010272085,4.110284940339293,4.987685674924405,3.478872361555481,0.0,1.0672727272727274,0.31636363636363635,1.3680282617324322,0.9680282617324323,0.9061450888282079,0.014930862660714273,0.4170453003117887,-1.213454525511806,1.2283853881725202
