value,row_count,coverage_axis
energy_retaining_bank,250,primitive_id
glide,250,primitive_id
lift_dwell_arc,250,primitive_id
lift_entry,250,primitive_id
mild_turn_left,250,primitive_id
mild_turn_right,250,primitive_id
recovery,250,primitive_id
safe_exit_or_recovery_handoff,250,primitive_id
inflight_only,1250,entry_role
launch_capable,250,entry_role
terminal_or_recovery,500,entry_role
inflight_boundary_near,200,start_state_family
inflight_lift_region,300,start_state_family
inflight_nominal,500,start_state_family
inflight_recovery_edge,200,start_state_family
launch_gate,800,start_state_family
W0,672,W_layer
W1,1328,W_layer
dry_air,672,environment_mode
gaussian_four,664,environment_mode
gaussian_single,664,environment_mode
solved,2000,lqr_synthesis_status
active_timing_aware_w01,2000,controller_design_role
