entry_role,start_state_family,row_count,entry_role_rejection_count,entry_role_rejection_rate
inflight_only,inflight_boundary_near,4,0,0.0
inflight_only,inflight_lift_region,8,0,0.0
inflight_only,inflight_nominal,12,0,0.0
inflight_only,inflight_recovery_edge,6,0,0.0
inflight_only,launch_gate,20,20,1.0
launch_capable,inflight_boundary_near,2,0,0.0
launch_capable,inflight_nominal,4,0,0.0
launch_capable,launch_gate,4,0,0.0
terminal_or_recovery,inflight_boundary_near,2,0,0.0
terminal_or_recovery,inflight_lift_region,4,4,1.0
terminal_or_recovery,inflight_nominal,4,4,1.0
terminal_or_recovery,inflight_recovery_edge,2,0,0.0
terminal_or_recovery,launch_gate,8,8,1.0
