chunk_index,status,row_start,row_stop,row_count,partition_path,manifest_path,byte_count,checksum_sha256,duration_s
0,complete,0,800,800,w01_primitive_rows/c00000.csv.gz,chunk_manifests/w01_primitive_rows/c00000.json,1977783,24b601689809d1db45b21dad66181a89e6fedcf018ae8493387309fefafb844a,86.78434109687805
1,complete,800,1600,800,w01_primitive_rows/c00001.csv.gz,chunk_manifests/w01_primitive_rows/c00001.json,2097270,39473a598227d9078ca47c246f9779b6cdf386d790f7029e794195fffd562292,86.0540542602539
2,complete,1600,2400,800,w01_primitive_rows/c00002.csv.gz,chunk_manifests/w01_primitive_rows/c00002.json,2014509,aed9b6934174ed6c95d4379dd6d8a80547d9cbc12451b4bfd4a4e0e4c05598a9,92.22539448738098
3,complete,2400,3200,800,w01_primitive_rows/c00003.csv.gz,chunk_manifests/w01_primitive_rows/c00003.json,2091168,f8357a12d3435ac0e7c00aa5f1d04254b1189fa2500a301158859d102be9b19c,96.56378650665283
4,complete,3200,4000,800,w01_primitive_rows/c00004.csv.gz,chunk_manifests/w01_primitive_rows/c00004.json,2111962,dcbd12ff52e09cc74f8b1fb81e9ad185b9d964bb54f6b588af62c21c1e646eb0,94.04991745948792
5,complete,4000,4800,800,w01_primitive_rows/c00005.csv.gz,chunk_manifests/w01_primitive_rows/c00005.json,2012414,9acb0dae94b7f2cb9cf1d2f07fc04c70e6b07cef93b19a6f567833423a3cfd32,102.34275197982788
6,complete,4800,5600,800,w01_primitive_rows/c00006.csv.gz,chunk_manifests/w01_primitive_rows/c00006.json,2116029,5e9ce374cc74dac6dd4c62918a45044332584ebc718b0540ea73938e0caf40f5,104.20173525810242
7,complete,5600,6400,800,w01_primitive_rows/c00007.csv.gz,chunk_manifests/w01_primitive_rows/c00007.json,2067020,8ba4d4d540466465f3d6353ee9a9f608eb28b15b559db86b260f1a59389976f6,105.28398942947388
8,complete,6400,7200,800,w01_primitive_rows/c00008.csv.gz,chunk_manifests/w01_primitive_rows/c00008.json,2061255,d6d355a857c79aacc9d6edbeac0970a0d55b874e2aa5d04b5bde71b40a2db1ea,98.71230006217957
9,complete,7200,8000,800,w01_primitive_rows/c00009.csv.gz,chunk_manifests/w01_primitive_rows/c00009.json,2131569,27e7a92c6a280892d4703ae82c5184ed4897ef1acbf19f139f3b1b7b01f862af,100.48867917060852
10,complete,8000,8800,800,w01_primitive_rows/c00010.csv.gz,chunk_manifests/w01_primitive_rows/c00010.json,2000344,e6283a5c3a465455f69c08ed89cd8ef04ee3007bae98c629f6d669f448028b03,106.48485541343689
11,complete,8800,9600,800,w01_primitive_rows/c00011.csv.gz,chunk_manifests/w01_primitive_rows/c00011.json,2123865,854dc01f8ca0358b818ed1915fca60fe2118a05162026dea82954ca6e6eefb33,107.61703062057495
12,complete,9600,10400,800,w01_primitive_rows/c00012.csv.gz,chunk_manifests/w01_primitive_rows/c00012.json,2075932,d220fd268f518926467c9e0cd846d16a9871062d4d0473c64e1d086b9fde95bc,100.10387253761292
13,complete,10400,11200,800,w01_primitive_rows/c00013.csv.gz,chunk_manifests/w01_primitive_rows/c00013.json,2013067,00d27f4f9d53dc92df303e6313aa8860467b594baac0f7daba8f2d93f98406d7,76.84641098976135
14,complete,11200,12000,800,w01_primitive_rows/c00014.csv.gz,chunk_manifests/w01_primitive_rows/c00014.json,2085400,2b623d4bd94259b9697b6c23ca9789f65df04add424bd3139d870dd056b59b65,77.77871036529541
15,complete,12000,12800,800,w01_primitive_rows/c00015.csv.gz,chunk_manifests/w01_primitive_rows/c00015.json,1997623,3a00a07e427f38e8ca935b2fba73dba66b925871caeabdd7420e5cccafb95912,81.79860591888428
16,complete,12800,13600,800,w01_primitive_rows/c00016.csv.gz,chunk_manifests/w01_primitive_rows/c00016.json,2114643,11617458919938b1085a32f8d5df979202a1b4c19ab51b4af6dff58433744eb7,85.35099458694458
17,complete,13600,14400,800,w01_primitive_rows/c00017.csv.gz,chunk_manifests/w01_primitive_rows/c00017.json,2104997,20b716f7da44653d776eef3b2d856b36d0c8f03f0333b34f71728d38617f3a16,87.27172708511353
18,complete,14400,15200,800,w01_primitive_rows/c00018.csv.gz,chunk_manifests/w01_primitive_rows/c00018.json,2016938,4fe43b4078f81fce2a9572e5b9dec00f358ea07f8ade4942d003d796bb7ad2a5,91.45507073402405
19,complete,15200,16000,800,w01_primitive_rows/c00019.csv.gz,chunk_manifests/w01_primitive_rows/c00019.json,2127226,2e4c1ed365dbb0cc91c4d8d56c38942795bc266ee5e9144abc15b3dab17570a9,94.12481617927551
20,complete,16000,16800,800,w01_primitive_rows/c00020.csv.gz,chunk_manifests/w01_primitive_rows/c00020.json,2028109,0f5dde424c62ba66952d6bd741113ae2f4b908fb5572df3781f96961bede9fc9,95.09377932548523
21,complete,16800,17600,800,w01_primitive_rows/c00021.csv.gz,chunk_manifests/w01_primitive_rows/c00021.json,2110454,b13d737df7e2eb1f3094b328126d8a19e51a506504ecaf9fe0ca0010e2157961,100.89602780342102
22,complete,17600,18400,800,w01_primitive_rows/c00022.csv.gz,chunk_manifests/w01_primitive_rows/c00022.json,2116201,c6575cf2e1e782895a2f81eaa578a2fd13a16bb6e11fe9fb81e6ecacc8ce6f40,101.34541749954224
23,complete,18400,19200,800,w01_primitive_rows/c00023.csv.gz,chunk_manifests/w01_primitive_rows/c00023.json,2016544,f8cd3e8e73dd8640aff4cf470994c1df38d0092296237c0969dbb107f078004a,108.57457637786865
24,complete,19200,20000,800,w01_primitive_rows/c00024.csv.gz,chunk_manifests/w01_primitive_rows/c00024.json,2119799,89c47ddc7f0bddb613e18956f32a7267bbe8a5714b317da3b6ba29223b58880a,106.31599879264832
25,complete,20000,20800,800,w01_primitive_rows/c00025.csv.gz,chunk_manifests/w01_primitive_rows/c00025.json,2048568,f68b5025878ec7201bc1d7aaefb9b096b6b2b5bd555e4a00f67e663a3f222303,98.31539297103882
26,complete,20800,21600,800,w01_primitive_rows/c00026.csv.gz,chunk_manifests/w01_primitive_rows/c00026.json,2035786,c433d26091a1c3ecff8e283a2f756dd039134bd5bce508dc45321307e14a9575,76.57654070854187
27,complete,21600,22400,800,w01_primitive_rows/c00027.csv.gz,chunk_manifests/w01_primitive_rows/c00027.json,2087266,d40756514e325d3c175037bb5774b27dc1cd962919ac18dd33d7e202d617be49,77.77542066574097
28,complete,22400,23200,800,w01_primitive_rows/c00028.csv.gz,chunk_manifests/w01_primitive_rows/c00028.json,1993636,0bf2f2ecf42cce9a59c8bcf3adde2f3a71572f5ecd06aefeb380df4c5ded3c34,82.34993100166321
29,complete,23200,24000,800,w01_primitive_rows/c00029.csv.gz,chunk_manifests/w01_primitive_rows/c00029.json,2125650,28cb7faea1bf5e4b99124e9aa55452fa9eb59967a5cef484cb3a96c4f2ed5ea9,85.7282075881958
30,complete,24000,24800,800,w01_primitive_rows/c00030.csv.gz,chunk_manifests/w01_primitive_rows/c00030.json,2060457,56f3bcfda232d5d2434b89ce00cffa46b485ae4538431828d08f78897695d92d,87.47514843940735
