primitive_id,entry_role,transition_entry_class,transition_exit_class,transition_chain_compatible,transition_failure_reason,row_count
energy_retaining_bank,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,429
energy_retaining_bank,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,1
energy_retaining_bank,transition_object,boundary_near,inflight_stable,True,,49
energy_retaining_bank,transition_object,boundary_near,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,17
energy_retaining_bank,transition_object,boundary_near,safe_terminal,True,,784
energy_retaining_bank,transition_object,inflight_stable,boundary_near,True,,2244
energy_retaining_bank,transition_object,inflight_stable,inflight_stable,True,,1611
energy_retaining_bank,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,1265
energy_retaining_bank,transition_object,launch_gate,inflight_stable,True,,2358
energy_retaining_bank,transition_object,launch_gate,post_launch_degraded,True,,2762
energy_retaining_bank,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,348
energy_retaining_bank,transition_object,recoverable_degraded,inflight_stable,True,,183
energy_retaining_bank,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_boundary_time_margin_collapsed,31
energy_retaining_bank,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_floor_margin_collapsed,208
energy_retaining_bank,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_without_attitude_rate_progress,462
energy_retaining_bank,transition_object,recoverable_degraded,recoverable_degraded,True,,48
glide,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,429
glide,transition_object,boundary_near,inflight_stable,True,,46
glide,transition_object,boundary_near,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,20
glide,transition_object,boundary_near,safe_terminal,True,,785
glide,transition_object,inflight_stable,boundary_near,True,,2248
glide,transition_object,inflight_stable,inflight_stable,True,,1616
glide,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,1256
glide,transition_object,launch_gate,inflight_stable,True,,2385
glide,transition_object,launch_gate,post_launch_degraded,True,,2735
glide,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,346
glide,transition_object,recoverable_degraded,inflight_stable,True,,187
glide,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_boundary_time_margin_collapsed,28
