chunk_index,status,row_start,row_stop,row_count,partition_path,manifest_path,byte_count,checksum_sha256,duration_s
0,complete,0,800,800,w3_survival_rows/c00000.csv.gz,chunk_manifests/w3_survival_rows/c00000.json,1209816,4398b2332e96686708ba02e99d5de12e344d7057c5b9eba37c2bf389e28f3d0b,19.736290454864502
1,complete,800,1600,800,w3_survival_rows/c00001.csv.gz,chunk_manifests/w3_survival_rows/c00001.json,1238930,afbc86ee98bc81fe44ae0bedd2645e184a1ab3a94aed6dba03e6f3c724831b9b,21.568333864212036
2,complete,1600,2400,800,w3_survival_rows/c00002.csv.gz,chunk_manifests/w3_survival_rows/c00002.json,1211306,044ced27e2b5f7571d5d3e0ae648fa22b62a5ea58a239740d840be33ce356351,20.13612675666809
3,complete,2400,3200,800,w3_survival_rows/c00003.csv.gz,chunk_manifests/w3_survival_rows/c00003.json,1222188,17f08249e2ce106f400fb77c1c46723e3068ca61ee2972f5ae44ae07b0d754d8,19.871464014053345
4,complete,3200,4000,800,w3_survival_rows/c00004.csv.gz,chunk_manifests/w3_survival_rows/c00004.json,1223360,52d3a13e526708b926f8639a71043ccf44d87cbfb4486e150654741e6e042947,16.365988731384277
5,complete,4000,4800,800,w3_survival_rows/c00005.csv.gz,chunk_manifests/w3_survival_rows/c00005.json,1514450,d87881e4d982e04c8c367531c91a616256f6872876b9102a9417336a8f017279,47.98304057121277
6,complete,4800,5600,800,w3_survival_rows/c00006.csv.gz,chunk_manifests/w3_survival_rows/c00006.json,1520630,0701c1ce24742446b81852c3d03b66650ec67f9a3766b4d19ec9d6f13d0db6db,47.83704447746277
7,complete,5600,6400,800,w3_survival_rows/c00007.csv.gz,chunk_manifests/w3_survival_rows/c00007.json,1515339,c2478f97aaf029a6e3fad127646119781200d6795cdfe80b5265c633e3cbf328,48.03658318519592
8,complete,6400,7200,800,w3_survival_rows/c00008.csv.gz,chunk_manifests/w3_survival_rows/c00008.json,1538844,725de8296aa38586b1f78484369c1fcc6140a29c9acffb3e3efa200cd0969434,36.98214340209961
9,complete,7200,8000,800,w3_survival_rows/c00009.csv.gz,chunk_manifests/w3_survival_rows/c00009.json,1527625,c26dfad39d111d2548b1ceb81c826d80331fab1bf5f3d3abdddf3fe940cc633f,35.293803215026855
10,complete,8000,8800,800,w3_survival_rows/c00010.csv.gz,chunk_manifests/w3_survival_rows/c00010.json,1595669,1036384688060789e452f9c6b326466a78ee23f48879cb7374b9771ed3af158b,23.26171088218689
11,complete,8800,9600,800,w3_survival_rows/c00011.csv.gz,chunk_manifests/w3_survival_rows/c00011.json,1613850,21a0795c760be44920a42e9b7eab0bf0234895f34a1481bc91a6c792a81cc563,41.36951804161072
12,complete,9600,10240,640,w3_survival_rows/c00012.csv.gz,chunk_manifests/w3_survival_rows/c00012.json,1301290,4f254789d797378cceb290ff1ceba2ce3b6551f390d0ecd3545bfe191e7b8651,35.26744508743286
