coverage_axis,value,row_count
outcome_class,accepted,58464
outcome_class,weak,195456
failure_label,controlled_xy_boundary_terminal,46101
failure_label,model_boundary_only,149344
failure_label,success,58464
failure_label,xy_boundary_terminal,11
boundary_use_class,continuation_valid,207808
boundary_use_class,episode_terminal_useful,46112
environment_mode,dry_air,31740
environment_mode,w3_randomised_four,158700
environment_mode,w3_randomised_single,63480
start_state_family,inflight_boundary_near,83840
start_state_family,inflight_lift_region,42240
start_state_family,inflight_nominal,42240
start_state_family,inflight_recovery_edge,1120
start_state_family,launch_gate,84480
timing_state_source,history_backed_fifo,253920
source_evidence_label,,253920
r7_evidence_block_id,r7_anchor_dry_air,31740
r7_evidence_block_id,r7_anchor_four_fan_fixed,31740
r7_evidence_block_id,r7_anchor_single_fan_fixed,31740
r7_evidence_block_id,r7_random_active_fan_count,31740
r7_evidence_block_id,r7_random_arena_wide,31740
r7_evidence_block_id,r7_random_four_fan_parameter,31740
r7_evidence_block_id,r7_random_local_fan_position,31740
r7_evidence_block_id,r7_random_single_fan_local,31740
r7_uncertainty_tier,active_fan_count_uncertainty,31740
r7_uncertainty_tier,anchor_dry_air,31740
r7_uncertainty_tier,anchor_fixed_four_fan,31740
r7_uncertainty_tier,anchor_fixed_single_fan,31740
r7_uncertainty_tier,arena_wide_full_randomisation,31740
r7_uncertainty_tier,four_fan_parameter_uncertainty,31740
r7_uncertainty_tier,local_fan_position_uncertainty,31740
r7_uncertainty_tier,single_fan_local_uncertainty,31740
r7_evidence_stage_role,heldout_control_anchor,95220
r7_evidence_stage_role,heldout_uncertainty_validation,158700
r7_active_fan_count_policy,balanced_0_1_2_3_4_for_active_fan_number_variation,31740
r7_active_fan_count_policy,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,31740
r7_active_fan_count_policy,fixed_four_active_fans,95220
r7_active_fan_count_policy,fixed_one_active_fan,63480
r7_active_fan_count_policy,fixed_zero_active_fans,31740
r7_fan_position_policy,common_shift,63480
r7_fan_position_policy,fixed_base_positions,126960
r7_fan_position_policy,independent_uniform_xy_bounds,31740
r7_fan_position_policy,no_fan_positions,31740
scheduled_active_fan_count,0,44436
scheduled_active_fan_count,1,76176
scheduled_active_fan_count,2,12696
scheduled_active_fan_count,3,12696
scheduled_active_fan_count,4,107916
transition_entry_class,boundary_near,83840
transition_entry_class,inflight_stable,84480
transition_entry_class,launch_gate,84480
transition_entry_class,recoverable_degraded,1120
transition_exit_class,boundary_near,149429
transition_exit_class,inflight_stable,52886
transition_exit_class,post_launch_degraded,1274
transition_exit_class,recoverable_degraded,4219
transition_exit_class,safe_terminal,46112
transition_pair,boundary_near->boundary_near,37728
transition_pair,boundary_near->safe_terminal,46112
transition_pair,inflight_stable->boundary_near,72904
transition_pair,inflight_stable->inflight_stable,7588
transition_pair,inflight_stable->recoverable_degraded,3988
transition_pair,launch_gate->boundary_near,38069
transition_pair,launch_gate->inflight_stable,45137
transition_pair,launch_gate->post_launch_degraded,1274
transition_pair,recoverable_degraded->boundary_near,728
transition_pair,recoverable_degraded->inflight_stable,161
transition_pair,recoverable_degraded->recoverable_degraded,231
transition_chain_compatible,False,80744
transition_chain_compatible,True,173176
transition_failure_reason,,173176
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,37728
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,38069
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,728
transition_failure_reason,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,3988
transition_failure_reason,recoverable_degraded_self_transition_without_attitude_rate_progress,231
turn_intent_label,left,31680
turn_intent_label,neutral,190720
turn_intent_label,right,31520
turn_intent_status,measurable_turn_intent,51436
turn_intent_status,not_turn_primitive,190720
turn_intent_status,weak_or_wrong_turn_intent,11764
turn_intent_correct_sign,False,202484
turn_intent_correct_sign,True,51436
