primitive_variant_id,primitive_id,environment_mode,compatible_row_count,positive_continuation_count,transition_chain_compatible_count,episode_terminal_useful_count,hard_failure_count,minimum_wall_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s
primvar_energy_retaining_bank_transition_object_020443175504,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.01694886539045386,0.0
primvar_energy_retaining_bank_transition_object_020443175504,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.01454773669681312,0.0106
primvar_energy_retaining_bank_transition_object_020443175504,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.017029496098433416,0.0
primvar_energy_retaining_bank_transition_object_02ac1851556a,energy_retaining_bank,dry_air,20,19,19,0,0,0.2006000685032809,-0.023282682443342965,0.0
primvar_energy_retaining_bank_transition_object_02ac1851556a,energy_retaining_bank,w3_randomised_four,100,76,76,0,0,0.2006822485473502,0.0013915831138360587,0.0736
primvar_energy_retaining_bank_transition_object_02ac1851556a,energy_retaining_bank,w3_randomised_single,40,25,25,0,0,0.1999562526571914,-0.0008959038366969001,0.0665
primvar_energy_retaining_bank_transition_object_0347ca3d7338,energy_retaining_bank,dry_air,20,9,9,0,0,0.4462826212238724,-0.0033005455345037605,0.0
primvar_energy_retaining_bank_transition_object_0347ca3d7338,energy_retaining_bank,w3_randomised_four,100,33,33,0,0,0.4461380997858599,0.01108647018883889,0.07840000000000001
primvar_energy_retaining_bank_transition_object_0347ca3d7338,energy_retaining_bank,w3_randomised_single,40,15,15,0,0,0.4462358783406313,0.0020885102684725437,0.0465
primvar_energy_retaining_bank_transition_object_03ae79e72bbb,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.0170897116804272,0.0
primvar_energy_retaining_bank_transition_object_03ae79e72bbb,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.013960722248563297,0.0124
primvar_energy_retaining_bank_transition_object_03ae79e72bbb,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.01712317624978233,0.0
primvar_energy_retaining_bank_transition_object_0999847016b6,energy_retaining_bank,dry_air,20,20,20,0,0,0.1999972667209606,-0.02337398109542277,0.0
primvar_energy_retaining_bank_transition_object_0999847016b6,energy_retaining_bank,w3_randomised_four,100,73,73,0,0,0.2004006308690016,0.0026154417179917893,0.07440000000000001
primvar_energy_retaining_bank_transition_object_0999847016b6,energy_retaining_bank,w3_randomised_single,40,28,28,0,0,0.1992442035904424,-0.0009625955371390267,0.0645
primvar_energy_retaining_bank_transition_object_0ab2bd05d6db,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.01714992782085813,0.0
primvar_energy_retaining_bank_transition_object_0ab2bd05d6db,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.014904926908972048,0.0108
primvar_energy_retaining_bank_transition_object_0ab2bd05d6db,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.017103753141812623,0.0
primvar_energy_retaining_bank_transition_object_0b159ad1c646,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.017027222805308526,0.0
primvar_energy_retaining_bank_transition_object_0b159ad1c646,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.015519496924600666,0.0106
primvar_energy_retaining_bank_transition_object_0b159ad1c646,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.01693007060245548,0.0
