primitive_variant_id,primitive_id,entry_role,transition_entry_class,controller_id,candidate_index,candidate_weight_label,local_lqr_speed_bin_id,local_lqr_reference_speed_m_s,K_gain_checksum,augmented_A_checksum,augmented_B_checksum,augmented_gain_checksum,Q_weight_json,R_weight_json,reference_state_vector,reference_command_vector,finite_horizon_s,controller_input_slots_per_primitive,controller_input_update_period_s,primitive_timing_contract_version,timing_augmentation_type,transition_object_id,w3_variant_status,eligible_for_post_w3_library_size_study,compatible_row_count,incompatible_row_count,continuation_valid_count,episode_terminal_useful_count,hard_failure_count,blocked_count,positive_continuation_count,transition_chain_compatible_count,transition_chain_compatible_rate,transition_success_probability,transition_exit_classes_seen,transition_pairs_seen,accepted_count,continuation_valid_rate,episode_terminal_useful_rate,hard_failure_rate,minimum_wall_margin_min_m,floor_margin_min_m,ceiling_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s,saturation_fraction_mean,w3_environment_modes_seen,w3_environment_mode_count,all_r7_modes_positive,both_w3_modes_positive,status_reason
primvar_energy_retaining_bank_transition_object_0460b0a55b65,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_2eefb642d40d,6,energy_retaining_bank_robust_anchor_balanced_robust_ref_left_bias_006,speed_bin_5p5_m_s,5.5,97a88690a3640dd4ccb5235b40c63fab1fccc0633d2bff175523e156d82ccf54,6b3263f8427fd3f818e8964ac24bd5285dc4d3df1af8c06e2e3c8ccabd14ec0f,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,5f130436cdb0b7b9c93cf6da8650ef663e55b96ff8dfb8ab3708bd57d3407c8a,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":6.72,""q_rates"":2.52,""q_surfaces"":0.18,""q_velocity"":0.78,""reference_bank_bias_rad"":-0.055,""reference_pitch_bias_rad"":0.0,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.4,""r_elevator"":1.26,""r_rudder"":1.68}","[0.0,0.0,0.0,0.10500000000000001,-0.16880065833946606,0.0,5.4690990415611775,0.0,0.5821989982768845,0.0,0.0,0.0,0.0,0.0426457822942231,0.0]","[0.0,0.0426457822942231,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_0460b0a55b65__entry_boundary_near,route_usable,True,160,0,72,88,0,0,108,108,0.675,0.675,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,8,0.45,0.55,0.0,-0.0707266138936564,0.508407076324503,0.7971669948028199,-0.03109522835578845,0.028625,0.54125,dry_air;w3_randomised_four;w3_randomised_single,3,True,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_04d3e3e24aba,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_6ca73ff9f8d9,6,energy_retaining_bank_robust_anchor_balanced_robust_ref_left_bias_006,speed_bin_7p5_m_s,7.5,bab6ba427cff1487cb8dfe77e20053a5529310b94532c1bafeef88214e55fff3,289de171bab83aa419b95a04320c657ef62f79bd65f7d8d024ecbc20ab55bdf9,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,a4f53d13003fe33ffa25cf37d797a9f601219e0ba44288ccb45242f7342b50bb,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":6.72,""q_rates"":2.52,""q_surfaces"":0.18,""q_velocity"":0.78,""reference_bank_bias_rad"":-0.055,""reference_pitch_bias_rad"":0.0,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.4,""r_elevator"":1.26,""r_rudder"":1.68}","[0.0,0.0,0.0,0.10500000000000001,-0.2710379642787242,0.0,7.490361374163016,0.0,0.3801137782910955,0.0,0.0,0.0,0.0,0.020771290413585372,0.0]","[0.0,0.020771290413585372,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_04d3e3e24aba__entry_boundary_near,route_usable,True,160,0,72,88,0,0,107,107,0.66875,0.66875,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,8,0.45,0.55,0.0,-0.0706648130982854,0.5080291147810644,0.7971669948028199,-0.03148199190492315,0.027500000000000004,0.52375,dry_air;w3_randomised_four;w3_randomised_single,3,True,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_17eb29cfe512,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_437f8507e394,6,energy_retaining_bank_robust_anchor_balanced_robust_ref_left_bias_006,speed_bin_6p0_m_s,6.0,a6cd23b6300012331ae3a21a453e9fa1d3b1d1e166b5d958ff44c9ef8abc732a,9847697c8a30798bb50f512a90dc3506e3ad0b3ed9ed702817a16de6bb18aec4,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,a52b0eec504fd9a3b9228937ab66dbb4a71f983bdf623197429b93e9bef2e2ef,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":6.72,""q_rates"":2.52,""q_surfaces"":0.18,""q_velocity"":0.78,""reference_bank_bias_rad"":-0.055,""reference_pitch_bias_rad"":0.0,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.4,""r_elevator"":1.26,""r_rudder"":1.68}","[0.0,0.0,0.0,0.10500000000000001,-0.19015518425284833,0.0,5.977378414963875,0.0,0.5205259689237043,0.0,0.0,0.0,0.0,0.03728985231187574,0.0]","[0.0,0.03728985231187574,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_17eb29cfe512__entry_boundary_near,route_usable,True,160,0,72,88,0,0,108,108,0.675,0.675,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,8,0.45,0.55,0.0,-0.070671762776211,0.5094055490896311,0.7971669948028199,-0.03135742928732538,0.027250000000000003,0.48999999999999994,dry_air;w3_randomised_four;w3_randomised_single,3,True,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_18411aec31b6,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_ff801dc7969d,6,energy_retaining_bank_robust_anchor_balanced_robust_ref_left_bias_006,speed_bin_6p5_m_s,6.5,a1f7022425965787521414ea38179841d34099e83cdc2d6e7906e5cd811dec4b,1ba4d3248defcc610c88ec354a2598859fd873a796ff67d617c804bcd8998e9e,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,65b920b7cde70a047e59e637b82608ed20435065d5676f43b0adacd75d0a0ae7,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":6.72,""q_rates"":2.52,""q_surfaces"":0.18,""q_velocity"":0.78,""reference_bank_bias_rad"":-0.055,""reference_pitch_bias_rad"":0.0,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.4,""r_elevator"":1.26,""r_rudder"":1.68}","[0.0,0.0,0.0,0.10500000000000001,-0.2144150220180856,0.0,6.483137424384985,0.0,0.46789863917179536,0.0,0.0,0.0,0.0,0.03110811276649714,0.0]","[0.0,0.03110811276649714,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_18411aec31b6__entry_boundary_near,route_usable,True,160,0,72,88,0,0,107,107,0.66875,0.66875,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,8,0.45,0.55,0.0,-0.0706709032473389,0.5100176539795052,0.7971669948028199,-0.030715263151273653,0.03075,0.4875,dry_air;w3_randomised_four;w3_randomised_single,3,True,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_269704226ad6,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_a4ec9a62f251,6,energy_retaining_bank_robust_anchor_balanced_robust_ref_left_bias_006,speed_bin_4p5_m_s,4.5,c11b91952d75e412d7d5a85adc85574fd01285046a88c86b24de0c8b6421e490,3abff364dc97d73610e48bb2865c5f1ca4ead3cf1c26555d8fa4f2696d385582,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,4f333c2ca3ecf4562e4f9aa2c81bde80cc8655d8c3b57d32692cc321ce75c512,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":6.72,""q_rates"":2.52,""q_surfaces"":0.18,""q_velocity"":0.78,""reference_bank_bias_rad"":-0.055,""reference_pitch_bias_rad"":0.0,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.4,""r_elevator"":1.26,""r_rudder"":1.68}","[0.0,0.0,0.0,0.10500000000000001,-0.165735993767961,0.0,4.4516365445773545,0.0,0.6579757404216281,0.0,0.0,0.0,0.0,-0.42198654762216226,0.0]","[0.0,-0.42198654762216226,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_269704226ad6__entry_boundary_near,route_usable,True,160,0,72,88,0,0,97,97,0.60625,0.60625,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,8,0.45,0.55,0.0,-0.0705389320977811,0.5087683305790635,0.7971669948028199,-0.03109585252003816,0.030374999999999996,0.8587499999999999,dry_air;w3_randomised_four;w3_randomised_single,3,True,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_71b60fab0860,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_b2a9c7ef5a2b,6,energy_retaining_bank_robust_anchor_balanced_robust_ref_left_bias_006,speed_bin_3p0_m_s,3.0000000000000004,6f59128b5b87ef22f2f9162f7fbd9d978936a79dd8662a462d9fff272f7ef3f6,9380ef721b209b60df02b2621d7b3da10c06b3f3210a92cd482320f3e5a1bfb5,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,d97fa77194043f2e607ca6e4c111851dca55162c48d48a45863823c4b34cf93f,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":6.72,""q_rates"":2.52,""q_surfaces"":0.18,""q_velocity"":0.78,""reference_bank_bias_rad"":-0.055,""reference_pitch_bias_rad"":0.0,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.4,""r_elevator"":1.26,""r_rudder"":1.68}","[0.0,0.0,0.0,0.10500000000000001,-0.165735993767961,0.0,2.9677576963849033,0.0,0.43865049361441877,0.0,0.0,0.0,0.0,-0.42198654762216226,0.0]","[0.0,-0.42198654762216226,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_71b60fab0860__entry_boundary_near,route_usable,True,160,0,72,88,0,0,101,101,0.63125,0.63125,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,8,0.45,0.55,0.0,-0.0704313620421102,0.5087650047295572,0.7971669948028199,-0.03114334386493204,0.028875,0.8800000000000001,dry_air;w3_randomised_four;w3_randomised_single,3,True,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_94cb8a37f8eb,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_0478c40d9500,6,energy_retaining_bank_robust_anchor_balanced_robust_ref_left_bias_006,speed_bin_3p5_m_s,3.5,1beb2d49dfe2a96398cd59279906e9b5f106d19f0a1515f87d03969ff422d220,45add16acce55f650599838dd541ac47f43ef844fb31a6a060ff062e16e7d6ad,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,817de1b599b104c4449914f36a1e54f817854064b968af45aa4b471abde62943,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":6.72,""q_rates"":2.52,""q_surfaces"":0.18,""q_velocity"":0.78,""reference_bank_bias_rad"":-0.055,""reference_pitch_bias_rad"":0.0,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.4,""r_elevator"":1.26,""r_rudder"":1.68}","[0.0,0.0,0.0,0.10500000000000001,-0.165735993767961,0.0,3.4623839791157205,0.0,0.5117589092168219,0.0,0.0,0.0,0.0,-0.42198654762216226,0.0]","[0.0,-0.42198654762216226,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_94cb8a37f8eb__entry_boundary_near,route_usable,True,160,0,72,88,0,0,103,103,0.64375,0.64375,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,8,0.45,0.55,0.0,-0.070404704617017,0.5083758652251533,0.7971669948028199,-0.03098545262160609,0.028875,0.8649999999999999,dry_air;w3_randomised_four;w3_randomised_single,3,True,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_bf64443166d8,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_f4c4f254a481,6,energy_retaining_bank_robust_anchor_balanced_robust_ref_left_bias_006,speed_bin_5p0_m_s,4.999999999999999,6db18502aa9c01331a8873770fc818a7216e40b10e1c21f20243da01294794d5,de0508baf79c25f3f018b61fd24060a790d13f9d6747ebccd0136335025f261e,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,47e6d6b193645a2a9413f840fd30352318379bfe10849fb06ddece1d554c5219,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":6.72,""q_rates"":2.52,""q_surfaces"":0.18,""q_velocity"":0.78,""reference_bank_bias_rad"":-0.055,""reference_pitch_bias_rad"":0.0,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.4,""r_elevator"":1.26,""r_rudder"":1.68}","[0.0,0.0,0.0,0.10500000000000001,-0.15155129595332623,0.0,4.956163197121787,0.0,0.6606408733158553,0.0,0.0,0.0,0.0,0.03058241587923303,0.0]","[0.0,0.03058241587923303,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_bf64443166d8__entry_boundary_near,route_usable,True,160,0,72,88,0,0,108,108,0.675,0.675,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,8,0.45,0.55,0.0,-0.0705403960195782,0.5092218335526275,0.7971669948028199,-0.031188475026622964,0.027875,0.6612500000000001,dry_air;w3_randomised_four;w3_randomised_single,3,True,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_bf92ab2eef80,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_fdbccb1cdcc3,6,energy_retaining_bank_robust_anchor_balanced_robust_ref_left_bias_006,speed_bin_4p0_m_s,4.0,dc4e0e545f948af128fcfa005d4e0e6e7ca7c6814c5a47d39d38d27352e7c259,cb247557c47ae1d0a828f2b054cfec83f7048071e7845d3cbdee23e91efa250a,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,99877951dd6db9302fbef3f18bda626ba2a11ce84d5cf2eedd7b1cad1875df93,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":6.72,""q_rates"":2.52,""q_surfaces"":0.18,""q_velocity"":0.78,""reference_bank_bias_rad"":-0.055,""reference_pitch_bias_rad"":0.0,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.4,""r_elevator"":1.26,""r_rudder"":1.68}","[0.0,0.0,0.0,0.10500000000000001,-0.165735993767961,0.0,3.9570102618465377,0.0,0.584867324819225,0.0,0.0,0.0,0.0,-0.42198654762216226,0.0]","[0.0,-0.42198654762216226,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_bf92ab2eef80__entry_boundary_near,route_usable,True,160,0,72,88,0,0,97,97,0.60625,0.60625,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,8,0.45,0.55,0.0,-0.0705151405235602,0.5088081215218268,0.7971669948028199,-0.030483491870459355,0.027375,0.8675,dry_air;w3_randomised_four;w3_randomised_single,3,True,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_d06e363bbe84,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_a7078c9a2515,6,energy_retaining_bank_robust_anchor_balanced_robust_ref_left_bias_006,speed_bin_8p0_m_s,8.0,a69a6652fceb813d2980910ecb26775e4cab99fab4bc04c00067a506454f112b,f6b632a2597b8c5e7de6a3815e2bf21e0b5762aaf6d6ec3ab2aba38759ebcd8a,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,86d0ff84060998acff15c0ff65ebfe55a4b4c2fde964b63d03a8ec6e05bdab38,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":6.72,""q_rates"":2.52,""q_surfaces"":0.18,""q_velocity"":0.78,""reference_bank_bias_rad"":-0.055,""reference_pitch_bias_rad"":0.0,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.4,""r_elevator"":1.26,""r_rudder"":1.68}","[0.0,0.0,0.0,0.10500000000000001,-0.30334089809978443,0.0,7.992668879610463,0.0,0.3424093761952643,0.0,0.0,0.0,0.0,0.01671380297415109,0.0]","[0.0,0.01671380297415109,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_d06e363bbe84__entry_boundary_near,route_usable,True,160,0,72,88,0,0,108,108,0.675,0.675,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,8,0.45,0.55,0.0,-0.0705561210548371,0.5083269406383577,0.7971669948028199,-0.03096366488482627,0.028249999999999997,0.57625,dry_air;w3_randomised_four;w3_randomised_single,3,True,True,boundary_near_route_usable_low_hard_failure
