compact_library_id,library_size_case_id,library_size_human_label,selection_policy,primitive_variant_id,primitive_id,entry_role,controller_id,reference_state_vector,reference_command_vector,finite_horizon_s,controller_input_slots_per_primitive,controller_input_update_period_s,primitive_timing_contract_version,Q_weight_json,R_weight_json,K_gain_checksum,augmented_A_checksum,augmented_B_checksum,augmented_gain_checksum,source_w01_root,source_w2_root,source_w3_root,cluster_id,representative_rank,representative_score,continuation_valid_count,continuation_valid_rate,episode_terminal_useful_count,episode_terminal_useful_rate,hard_failure_count,hard_failure_rate,expected_energy_residual_m,expected_lift_dwell_time_s,minimum_wall_margin_min_m,floor_margin_min_m,ceiling_margin_min_m,saturation_fraction_mean,known_failure_boundaries,w3_environment_modes_seen,w3_variant_status,claim_status,mutation_status
v53lib_balanced_cluster_a7d5b1f65498,balanced_cluster,balanced clustering and merging,top_3_score_per_primitive_entry_role,primvar_energy_retaining_bank_inflight_only_f91aa03e1430,energy_retaining_bank,inflight_only,lqrta_energy_retaining_bank_a526f712960c,"[0.0,0.0,0.0,0.16,-0.03216286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":3.5999999999999996,""q_rates"":1.35,""q_surfaces"":0.15,""q_velocity"":2.0999999999999996,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.75,""r_elevator"":0.675,""r_rudder"":0.8999999999999999}",1a43d223481e26dabaae40893fbc8eb036ea774306ffc48bf9aca0ce41b14fde,dcb4ddf013a8d36ccf89786f4d6e213920b747af27a0bb5eb9664979a3f60e0b,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,d54942faef34c7ad17e5191f2c4c89ce1d8bd151bdfb8bafa035d3d2ed4eb9f6,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/033,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/017,balanced_cluster_energy_retaining_bank_inflight_only_r000,0,0.7560287169153045,172,0.86,0,0.0,28,0.14,-0.0130256616939109,0.0559999999999999,0.2933163177618594,0.4531904196648206,0.6031925426848397,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,survived,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_variant_no_Q_R_K_reference_horizon_entry_role_ID_mutation
v53lib_balanced_cluster_2703568e9ec7,balanced_cluster,balanced clustering and merging,top_3_score_per_primitive_entry_role,primvar_energy_retaining_bank_inflight_only_95a7eb02bb8d,energy_retaining_bank,inflight_only,lqrta_energy_retaining_bank_c54f167044ee,"[0.0,0.0,0.0,0.16,-0.03216286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":4.8,""q_rates"":1.8,""q_surfaces"":0.15,""q_velocity"":2.8,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":2.0,""r_elevator"":1.8,""r_rudder"":2.4}",20fe6fd4a1959334739e1b7cd5bea2092c0f01f40fd656438fd8208617ff121c,dcb4ddf013a8d36ccf89786f4d6e213920b747af27a0bb5eb9664979a3f60e0b,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,7e8dea816bc8cb8b88dd46be5e3eeefe5e27d871a95f4b5d57cffccda8a32ce6,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/033,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/017,balanced_cluster_energy_retaining_bank_inflight_only_r001,1,0.7386438159300882,170,0.85,0,0.0,30,0.15,-0.0128236813982372,0.0594999999999999,0.292881082225942,0.4504724689031955,0.6659101960424181,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,survived,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_variant_no_Q_R_K_reference_horizon_entry_role_ID_mutation
v53lib_balanced_cluster_e259baba5a87,balanced_cluster,balanced clustering and merging,top_3_score_per_primitive_entry_role,primvar_energy_retaining_bank_inflight_only_a65ec3ccdd7e,energy_retaining_bank,inflight_only,lqrta_energy_retaining_bank_df2e9e7f945f,"[0.0,0.0,0.0,0.16,-0.03216286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":3.5999999999999996,""q_rates"":1.35,""q_surfaces"":0.15,""q_velocity"":2.0999999999999996,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":2.0,""r_elevator"":1.8,""r_rudder"":2.4}",da55b709fe168dfdb168f7386885ab8e1bd2265c1c399299bf22ffaf52956f21,dcb4ddf013a8d36ccf89786f4d6e213920b747af27a0bb5eb9664979a3f60e0b,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,e2fbf2fa9faeeb575f2f8315852fe4ffbeea9ee4fc8eedc3fcab01bd9b078035,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/033,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/017,balanced_cluster_energy_retaining_bank_inflight_only_r002,2,0.7384631930949849,170,0.85,0,0.0,30,0.15,-0.0137361381003045,0.0549999999999999,0.2936728809301172,0.44874387113885,0.5966733908921733,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,survived,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_variant_no_Q_R_K_reference_horizon_entry_role_ID_mutation
v53lib_balanced_cluster_a0cf60b9642a,balanced_cluster,balanced clustering and merging,top_3_score_per_primitive_entry_role,primvar_glide_inflight_only_2cab795ffb6a,glide,inflight_only,lqrta_glide_0df08dc29472,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":12.0,""q_rates"":4.5,""q_surfaces"":0.15,""q_velocity"":6.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.65,""r_elevator"":0.45,""r_rudder"":0.7}",c392ca4351189e6cfdd73edec9c683f747835193b76fd055753cb462e51cdd22,dcb4ddf013a8d36ccf89786f4d6e213920b747af27a0bb5eb9664979a3f60e0b,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,53adfd9dd3c289486ef9880fe817e359414442e9e1c080449e77eeb5ab1d1269,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/033,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/017,balanced_cluster_glide_inflight_only_r000,0,0.7735737617393864,174,0.87,0,0.0,26,0.13,-0.013624765212269,0.0584999999999999,0.2935315999878103,0.4480296175899243,0.6650811005157697,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,survived,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_variant_no_Q_R_K_reference_horizon_entry_role_ID_mutation
v53lib_balanced_cluster_dbfa413c058c,balanced_cluster,balanced clustering and merging,top_3_score_per_primitive_entry_role,primvar_glide_inflight_only_b4ea1b6ba09a,glide,inflight_only,lqrta_glide_afcef1c0267a,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":8.0,""q_rates"":3.0,""q_surfaces"":0.15,""q_velocity"":4.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":3.9000000000000004,""r_elevator"":2.7,""r_rudder"":4.199999999999999}",eacc789db890f8f8b838fd3da3b720c23130eb45849425378c0b4174b2c928aa,dcb4ddf013a8d36ccf89786f4d6e213920b747af27a0bb5eb9664979a3f60e0b,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,a15da39098fa4452ecc082e9a542a8046fa204ec9bede44a0e6429065c416eb0,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/033,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/017,balanced_cluster_glide_inflight_only_r001,1,0.7649159634518765,173,0.865,0,0.0,27,0.135,-0.01208073096247,0.059,0.2940974173357569,0.4495733825478435,0.665126660407064,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,survived,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_variant_no_Q_R_K_reference_horizon_entry_role_ID_mutation
v53lib_balanced_cluster_680be5aab732,balanced_cluster,balanced clustering and merging,top_3_score_per_primitive_entry_role,primvar_glide_inflight_only_d259714ea187,glide,inflight_only,lqrta_glide_2cea10801d6d,"[0.0,0.0,0.0,0.0,-0.04716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":6.0,""q_rates"":2.25,""q_surfaces"":0.15,""q_velocity"":3.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.3,""r_elevator"":0.9,""r_rudder"":1.4}",b55b088860a473fc71ff5152f47ba4cf5513522d28ca55d867e49fba50040cdb,dcb4ddf013a8d36ccf89786f4d6e213920b747af27a0bb5eb9664979a3f60e0b,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,752621d35a962f8f241049830b5f8151b59429a90b5d8cda0403dbcb45c54346,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/033,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/017,balanced_cluster_glide_inflight_only_r002,2,0.7560627420444131,172,0.86,0,0.0,28,0.14,-0.0135451591117363,0.0579999999999999,0.2937417061389995,0.4517514139698169,0.6017181881039262,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,survived,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_variant_no_Q_R_K_reference_horizon_entry_role_ID_mutation
v53lib_balanced_cluster_459076154566,balanced_cluster,balanced clustering and merging,top_3_score_per_primitive_entry_role,primvar_launch_capture_energy_build_launch_capable_5217687c8fd3,launch_capture_energy_build,launch_capable,lqrta_launch_capture_energy_build_4bc179fd3923,"[0.0,0.0,0.0,0.0,-0.05216286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":7.199999999999999,""q_rates"":2.8499999999999996,""q_surfaces"":0.16,""q_velocity"":4.5,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.55,""r_elevator"":0.4,""r_rudder"":0.6}",3b5e76cbdf2b462607e8bf541baf6b61d56170394edbda5e935469ba3622fdf7,dcb4ddf013a8d36ccf89786f4d6e213920b747af27a0bb5eb9664979a3f60e0b,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,6567235a6ab0b583cf901f826e5c3a75f076151388427f9f29e474a15eb48c06,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/033,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/017,balanced_cluster_launch_capture_energy_build_launch_capable_r000,0,0.10482268686018857,98,0.49,0,0.0,102,0.51,-0.0538462627962282,0.0005,0.0042965023720533,0.6528295926641058,1.3494712251025698,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,survived,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_variant_no_Q_R_K_reference_horizon_entry_role_ID_mutation
v53lib_balanced_cluster_0f650975066f,balanced_cluster,balanced clustering and merging,top_3_score_per_primitive_entry_role,primvar_launch_capture_energy_build_launch_capable_b17f175836fd,launch_capture_energy_build,launch_capable,lqrta_launch_capture_energy_build_bc1143153388,"[0.0,0.0,0.0,0.0,-0.05216286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":9.6,""q_rates"":3.8,""q_surfaces"":0.16,""q_velocity"":6.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.8250000000000001,""r_elevator"":0.6000000000000001,""r_rudder"":0.8999999999999999}",18c82a85bd45c1683777c17210a86ec28c7d1e8a003c18fea966f94b646b1eee,dcb4ddf013a8d36ccf89786f4d6e213920b747af27a0bb5eb9664979a3f60e0b,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,7fcebe4a21ffe92d8b0c979a92a098c85887a8f1a46d302f4cc5e3b140049df5,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/033,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/017,balanced_cluster_launch_capture_energy_build_launch_capable_r001,1,0.10482235518094221,98,0.49,0,0.0,102,0.51,-0.0538528963811554,0.0005,0.0042965023720533,0.6522986878660703,1.3495050592834046,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,survived,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_variant_no_Q_R_K_reference_horizon_entry_role_ID_mutation
v53lib_balanced_cluster_5b1c4a4c3ef2,balanced_cluster,balanced clustering and merging,top_3_score_per_primitive_entry_role,primvar_launch_capture_energy_build_launch_capable_8808d9fa0fa9,launch_capture_energy_build,launch_capable,lqrta_launch_capture_energy_build_07dba9ed4756,"[0.0,0.0,0.0,0.0,-0.05216286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":3.5999999999999996,""q_rates"":1.4249999999999998,""q_surfaces"":0.16,""q_velocity"":2.25,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.55,""r_elevator"":0.4,""r_rudder"":0.6}",ca669573f1f0ad56e9bc66f306712e9f78a3aeea2700ef5f4ca94880bfba5bf4,dcb4ddf013a8d36ccf89786f4d6e213920b747af27a0bb5eb9664979a3f60e0b,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,bf4e846988df7b0a91120c707bd7291fe5178bb14e27af74ba44b8a8ad10f57f,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/033,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/017,balanced_cluster_launch_capture_energy_build_launch_capable_r002,2,0.10482186986991163,98,0.49,0,0.0,102,0.51,-0.0538626026017673,0.0005,0.0042965023720533,0.6528684580244767,1.3489893796746668,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,survived,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_variant_no_Q_R_K_reference_horizon_entry_role_ID_mutation
v53lib_balanced_cluster_1ed92a45407e,balanced_cluster,balanced clustering and merging,top_3_score_per_primitive_entry_role,primvar_launch_capture_glide_stabilise_launch_capable_ea732b6be2ad,launch_capture_glide_stabilise,launch_capable,lqrta_launch_capture_glide_stabilise_37e040e8baf8,"[0.0,0.0,0.0,0.0,-0.03716286502821539,0.0,6.482818095890033,0.0,0.47230237729735697,0.0,0.0,0.0,0.0,-0.011856491496375332,0.0]","[0.0,-0.011856491496375332,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":3.9000000000000004,""q_rates"":1.5,""q_surfaces"":0.18,""q_velocity"":1.7999999999999998,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":3.5999999999999996,""r_elevator"":2.7,""r_rudder"":3.9000000000000004}",42c23a44081f82fdb81ba702bbb9ce85e25f29d32a7f648b2931b622c7318fbc,dcb4ddf013a8d36ccf89786f4d6e213920b747af27a0bb5eb9664979a3f60e0b,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,fcf46e770db257ec333a16f9783989670a73f27d264a94ff68dc3535543b0001,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/033,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/017,balanced_cluster_launch_capture_glide_stabilise_launch_capable_r000,0,0.10485850089303639,98,0.49,0,0.0,102,0.51,-0.0537299821392721,0.0015,0.0042965023720533,0.6530461934188182,1.3489251807185323,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,survived,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_variant_no_Q_R_K_reference_horizon_entry_role_ID_mutation
