compact_library_id,library_size_case_id,library_size_human_label,primitive_variant_id,transition_object_id,primitive_id,entry_role,transition_entry_class,controller_id,finite_horizon_s,controller_input_slots_per_primitive,controller_input_update_period_s,primitive_timing_contract_version,primitive_timing_contract_status,transition_success_probability,transition_chain_compatible_rate,transition_exit_classes_seen,transition_pairs_seen,continuation_probability,terminal_useful_probability,hard_failure_risk,expected_energy_residual_m,expected_updraft_gain_proxy_m,expected_lift_dwell_time_s,minimum_wall_margin_min_m,floor_margin_min_m,ceiling_margin_min_m,saturation_fraction_mean,known_failure_boundaries,environment_coverage,runtime_context_conditioning_required,runtime_context_conditioning_version,runtime_context_conditioning_policy,context_conditioning_keys,sample_count,margin_class,prediction_source,claim_status
v53lib_heavy_cluster_0b0d619e739f,heavy_cluster,heavy clustering and merging,primvar_energy_retaining_bank_transition_object_48f030d39cc0,primvar_energy_retaining_bank_transition_object_48f030d39cc0__entry_boundary_near,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_c9dd8b4e31a7,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.68125,0.68125,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,0.68125,0.55,0.0,-0.0311550975147491,0.0,0.029875,-0.0705127421368745,0.5081609094679175,0.7971669948028199,0.21125,boundary_near_route_usable_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,unsafe_negative_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_582eb3faaf7f,heavy_cluster,heavy clustering and merging,primvar_energy_retaining_bank_transition_object_667ac71a9064,primvar_energy_retaining_bank_transition_object_667ac71a9064__entry_inflight_stable,energy_retaining_bank,transition_object,inflight_stable,lqrta_energy_retaining_bank_f4d0910f6000,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.81875,0.81875,boundary_near;inflight_stable;recoverable_degraded,inflight_stable->boundary_near;inflight_stable->inflight_stable;inflight_stable->recoverable_degraded,0.81875,0.0,0.0,-0.0024059339147104,0.0,0.062625,0.2090269288279254,0.6119075062555205,0.8840162993679237,0.34375,inflight_stable_high_probability_transition_survivor,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_f8f9d6ce0af1,heavy_cluster,heavy clustering and merging,primvar_energy_retaining_bank_transition_object_cc422472fa5f,primvar_energy_retaining_bank_transition_object_cc422472fa5f__entry_launch_gate,energy_retaining_bank,transition_object,launch_gate,lqrta_energy_retaining_bank_548149ed7e45,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.96875,0.96875,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.96875,0.0,0.0,-0.0103951591907021,0.0,0.019375,0.0042965023720533,0.8381226607802127,1.6152846135162209,0.27875,launch_gate_route_usable_nonzero_handoff_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_5db7f1fd0927,heavy_cluster,heavy clustering and merging,primvar_energy_retaining_bank_transition_object_a277dfdab8b1,primvar_energy_retaining_bank_transition_object_a277dfdab8b1__entry_launch_gate,energy_retaining_bank,transition_object,launch_gate,lqrta_energy_retaining_bank_705a4e7ab518,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.95625,0.95625,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.95625,0.0,0.0,-0.0123532038401714,0.0,0.01875,0.0042965023720533,0.8427265688296112,1.644864015367354,0.38125,launch_gate_route_usable_nonzero_handoff_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_d76c21156da4,heavy_cluster,heavy clustering and merging,primvar_energy_retaining_bank_transition_object_c0bd867f6dd0,primvar_energy_retaining_bank_transition_object_c0bd867f6dd0__entry_recoverable_degraded,energy_retaining_bank,transition_object,recoverable_degraded,lqrta_energy_retaining_bank_ebfe58c6856a,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.3125,0.3125,boundary_near;inflight_stable;recoverable_degraded,recoverable_degraded->boundary_near;recoverable_degraded->inflight_stable;recoverable_degraded->recoverable_degraded,0.3125,0.0,0.0,-0.0775821467555794,0.0,0.0584999999999999,0.4306537592145604,0.4674264214533495,0.7871842656921331,1.10875,recoverable_degraded_route_usable_nonzero_progress_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_d4a4acf70be3,heavy_cluster,heavy clustering and merging,primvar_glide_transition_object_abb8d4ff0cba,primvar_glide_transition_object_abb8d4ff0cba__entry_boundary_near,glide,transition_object,boundary_near,lqrta_glide_fcd0383e2f0b,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.675,0.675,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,0.675,0.55,0.0,-0.0312006138517482,0.0,0.029,-0.0705435617585266,0.5068195115106955,0.7971669948028199,0.17,boundary_near_route_usable_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,unsafe_negative_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_43e0b5a901a3,heavy_cluster,heavy clustering and merging,primvar_glide_transition_object_cb07ed3ec481,primvar_glide_transition_object_cb07ed3ec481__entry_inflight_stable,glide,transition_object,inflight_stable,lqrta_glide_8b4325840859,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.80625,0.80625,boundary_near;inflight_stable;recoverable_degraded,inflight_stable->boundary_near;inflight_stable->inflight_stable;inflight_stable->recoverable_degraded,0.80625,0.0,0.0,-0.0030173157814506,0.0,0.062625,0.2086363516127294,0.6119075062555205,0.8825451313421779,0.28375,inflight_stable_high_probability_transition_survivor,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_e1878a82eccc,heavy_cluster,heavy clustering and merging,primvar_glide_transition_object_d619f764e2dd,primvar_glide_transition_object_d619f764e2dd__entry_launch_gate,glide,transition_object,launch_gate,lqrta_glide_926a5deaeebc,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.96875,0.96875,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.96875,0.0,0.0,-0.0117129271007741,0.0,0.016,0.0042965023720533,0.8411022424383218,1.6489883886541858,0.34125,launch_gate_route_usable_nonzero_handoff_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_bd2ae32f38aa,heavy_cluster,heavy clustering and merging,primvar_glide_transition_object_c300ec5799a7,primvar_glide_transition_object_c300ec5799a7__entry_launch_gate,glide,transition_object,launch_gate,lqrta_glide_345acd8a4a26,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.9625,0.9625,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.9625,0.0,0.0,-0.0119886577250031,0.0,0.01425,0.0042965023720533,0.8379608564481184,1.5856378630489452,0.065,launch_gate_route_usable_nonzero_handoff_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_e3a3b2f5beca,heavy_cluster,heavy clustering and merging,primvar_glide_transition_object_617413423466,primvar_glide_transition_object_617413423466__entry_recoverable_degraded,glide,transition_object,recoverable_degraded,lqrta_glide_1e548a738b31,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.31875,0.31875,boundary_near;inflight_stable;recoverable_degraded,recoverable_degraded->boundary_near;recoverable_degraded->inflight_stable;recoverable_degraded->recoverable_degraded,0.31875,0.0,0.0,-0.0772565973688498,0.0,0.0582499999999999,0.4306632089402105,0.4683997331671141,0.7871842656921331,1.0399999999999998,recoverable_degraded_route_usable_nonzero_progress_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,margin_available,W3_summary_interpretable,simulation_only_outcome_model
