byte_count,diagnostic_archive_status,file_count,rejection_reason,result_root,result_root_relative
64642,diagnostic_not_passed,10,manifest_missing_v411_timing_contract,03_Control/05_Results/A_Pipeline/002,A_Pipeline/002
69140,diagnostic_not_passed,10,manifest_missing_v411_timing_contract,03_Control/05_Results/A_Pipeline/003,A_Pipeline/003
89343,diagnostic_not_passed,10,manifest_missing_v411_timing_contract,03_Control/05_Results/A_Pipeline/004,A_Pipeline/004
29848,diagnostic_not_passed,3,manifest_missing_v411_timing_contract,03_Control/05_Results/A_Pipeline/005,A_Pipeline/005
82116,diagnostic_not_passed,10,manifest_missing_v411_timing_contract,03_Control/05_Results/A_Pipeline/B01,A_Pipeline/B01
72975,diagnostic_not_passed,10,manifest_missing_v411_timing_contract,03_Control/05_Results/A_Pipeline/B01_probe,A_Pipeline/B01_probe
72995,diagnostic_not_passed,10,manifest_missing_v411_timing_contract,03_Control/05_Results/A_Pipeline/B01_probe2,A_Pipeline/B01_probe2
109966,diagnostic_not_passed,10,manifest_missing_v411_timing_contract,03_Control/05_Results/A_Pipeline/B02,A_Pipeline/B02
73261,diagnostic_not_passed,10,manifest_missing_v411_timing_contract,03_Control/05_Results/A_Pipeline/BGTEST,A_Pipeline/BGTEST
13289,diagnostic_not_passed,2,manifest_missing_v411_timing_contract,03_Control/05_Results/A_Pipeline/BGTEST2,A_Pipeline/BGTEST2
661873,diagnostic_not_passed,9,manifest_missing_v411_timing_contract,03_Control/05_Results/E_lqr_trajectory_audit/001,E_lqr_trajectory_audit/001
595437,diagnostic_not_passed,9,manifest_missing_v411_timing_contract,03_Control/05_Results/E_lqr_trajectory_audit/002,E_lqr_trajectory_audit/002
659081,diagnostic_not_passed,9,manifest_missing_v411_timing_contract,03_Control/05_Results/E_lqr_trajectory_audit/003,E_lqr_trajectory_audit/003
595616,diagnostic_not_passed,9,manifest_missing_v411_timing_contract,03_Control/05_Results/E_lqr_trajectory_audit/004,E_lqr_trajectory_audit/004
758781,diagnostic_not_passed,9,manifest_missing_v411_timing_contract,03_Control/05_Results/E_lqr_trajectory_audit/005,E_lqr_trajectory_audit/005
759410,diagnostic_not_passed,9,manifest_missing_v411_timing_contract,03_Control/05_Results/E_lqr_trajectory_audit/006,E_lqr_trajectory_audit/006
840599,diagnostic_not_passed,9,manifest_missing_v411_timing_contract,03_Control/05_Results/E_lqr_trajectory_audit/007,E_lqr_trajectory_audit/007
870893,diagnostic_not_passed,10,manifest_missing_v411_timing_contract,03_Control/05_Results/E_lqr_trajectory_audit/010,E_lqr_trajectory_audit/010
876106,diagnostic_not_passed,10,manifest_missing_v411_timing_contract,03_Control/05_Results/E_lqr_trajectory_audit/011,E_lqr_trajectory_audit/011
876102,diagnostic_not_passed,10,manifest_missing_v411_timing_contract,03_Control/05_Results/E_lqr_trajectory_audit/012,E_lqr_trajectory_audit/012
369142,diagnostic_not_passed,5,manifest_missing_v411_timing_contract,03_Control/05_Results/E_lqr_trajectory_audit/turn_sign_same_launch_001,E_lqr_trajectory_audit/turn_sign_same_launch_001
49093,diagnostic_not_passed,6,manifest_missing_v411_timing_contract,03_Control/05_Results/F_algorithm_contract_audit/001,F_algorithm_contract_audit/001
191625763,diagnostic_not_passed,59,manifest:governor_calibration,03_Control/05_Results/R10_learn/B02,R10_learn/B02
191810033,diagnostic_not_passed,59,manifest:governor_calibration,03_Control/05_Results/R10_learn/B03,R10_learn/B03
191816821,diagnostic_not_passed,59,manifest:governor_calibration,03_Control/05_Results/R10_learn/B04,R10_learn/B04
41270412,diagnostic_not_passed,125,manifest:governor_calibration,03_Control/05_Results/R10_learn/C01,R10_learn/C01
41595084,diagnostic_not_passed,125,manifest:governor_calibration,03_Control/05_Results/R10_learn/C02,R10_learn/C02
2099808,diagnostic_not_passed,10,manifest:governor_calibration,03_Control/05_Results/R10_learn/C02_probe,R10_learn/C02_probe
2099811,diagnostic_not_passed,10,manifest:governor_calibration,03_Control/05_Results/R10_learn/C02_probe2,R10_learn/C02_probe2
3951184,diagnostic_not_passed,55,manifest:governor_calibration,03_Control/05_Results/R10_learn/C03,R10_learn/C03
231697,diagnostic_not_passed,10,manifest:governor_calibration,03_Control/05_Results/R10_learn/C03_probe,R10_learn/C03_probe
420579,diagnostic_not_passed,10,manifest:governor_calibration,03_Control/05_Results/R10_learn/C04_targeted_probe,R10_learn/C04_targeted_probe
9477180,diagnostic_not_passed,62,manifest:governor_calibration,03_Control/05_Results/R10_learn/C04_targeted_single,R10_learn/C04_targeted_single
8774756,diagnostic_not_passed,62,manifest:governor_calibration,03_Control/05_Results/R10_learn/C05_targeted_four,R10_learn/C05_targeted_four
9637053,diagnostic_not_passed,62,manifest:governor_calibration,03_Control/05_Results/R10_learn/C06_targeted_single_info_gain,R10_learn/C06_targeted_single_info_gain
8939215,diagnostic_not_passed,62,manifest:governor_calibration,03_Control/05_Results/R10_learn/C07_targeted_four_info_gain,R10_learn/C07_targeted_four_info_gain
22499951,diagnostic_not_passed,87,manifest:governor_calibration,03_Control/05_Results/R10_learn/C08_memory_opportunity_arena_wide,R10_learn/C08_memory_opportunity_arena_wide
478175,diagnostic_not_passed,10,manifest:governor_calibration,03_Control/05_Results/R10_learn/C08_memory_opportunity_dryrun,R10_learn/C08_memory_opportunity_dryrun
9553660,diagnostic_not_passed,62,manifest:governor_calibration,03_Control/05_Results/R10_learn/C09_route_v4,R10_learn/C09_route_v4
4556363,diagnostic_not_passed,55,manifest:governor_calibration,03_Control/05_Results/R10_learn/C10_route_v4_logfix,R10_learn/C10_route_v4_logfix
9601199,diagnostic_not_passed,62,manifest:governor_calibration,03_Control/05_Results/R10_learn/C11_cost_benefit_v4_1,R10_learn/C11_cost_benefit_v4_1
9612498,diagnostic_not_passed,62,manifest:governor_calibration,03_Control/05_Results/R10_learn/C12_cost_benefit_timing,R10_learn/C12_cost_benefit_timing
9547776,diagnostic_not_passed,62,manifest:governor_calibration,03_Control/05_Results/R10_learn/C13_realtime_compact_selector,R10_learn/C13_realtime_compact_selector
