split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
all,aileron,0.2,peak_p_rad_s,6,6,-0.5525316705,0.1664606626,-0.3594961665,-0.1930355039,0.2216165687,0.7140369637,-0.2462101975,0.4678267662,-0.113285969,-0.6608622701
all,aileron,0.2,p_impulse_rad,6,6,-0.1940761314,0.04801247783,-0.1210443046,-0.07303182681,0.03687286849,0.3483780532,-0.1557525924,0.1926254609,0.03470828773,-0.2656572877
all,aileron,0.2,phi_change_deg,6,6,-12.75827875,-2.800998089,-4.978640333,-7.779638421,-4.721862126,10.6864894,-7.704175762,2.982313636,2.725535429,-10.76195206
all,aileron,0.2,yaw_coupling_psi_change_deg,6,6,6.479228445,7.228541738,-0.3746566468,6.853885091,9.719140341,5.44547826,2.136831041,7.5823093,-2.511487688,-0.7284242091
all,aileron,0.2,response_dy_m,6,6,0.0457172194,0.04249963508,0.00160879216,0.04410842724,-0.01593898348,-0.08680341042,0.03543221347,-0.05137119695,-0.03382342131,0.09547962419
all,aileron,0.4,peak_p_rad_s,6,6,-0.811139094,0.3386551455,-0.5748971197,-0.2362419743,-0.3348203813,0.9447191683,-0.6397697748,0.3049493935,0.06487265505,-0.5411913678
all,aileron,0.4,p_impulse_rad,6,6,-0.3413325856,0.0996814531,-0.2205070193,-0.1208255662,-0.1971461124,0.4505304998,-0.3238383061,0.1266921937,0.1033312868,-0.24751776
all,aileron,0.4,phi_change_deg,6,6,-23.26140998,2.29813363,-12.7797718,-10.48163817,-15.79781493,18.0763898,-16.93710236,1.139287435,4.157330558,-11.62092561
all,aileron,0.4,yaw_coupling_psi_change_deg,6,6,11.3538464,7.864812595,1.744516905,9.6093295,13.11283411,1.500201486,5.80631631,7.306517796,-4.061799405,2.302811703
all,aileron,0.4,response_dy_m,6,6,0.004969497154,-0.04230829708,0.02363889712,-0.01866939996,-0.04621038378,-0.05459252699,0.004191071605,-0.05040145538,0.01944782551,0.03173205542
all,aileron,0.6,peak_p_rad_s,6,6,-1.096909849,-0.02890336803,-0.5340032405,-0.5629066085,-1.005081227,1.258800203,-1.131940715,0.1268594884,0.5979374745,-0.6897660969
