split,dataset_root,session_label,trial_id,throw_id,case_id,surface_axis,command_axis,command_value,command_abs,replay_status,replay_policy,replay_dt_s,replay_command_source,replay_command_onset_delay_s,duration_s,response_window_start_s,response_window_end_s,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_final_phi_deg,sim_final_phi_deg,final_phi_residual_actual_minus_sim_deg,actual_final_theta_deg,sim_final_theta_deg,final_theta_residual_actual_minus_sim_deg,actual_final_psi_deg,sim_final_psi_deg,final_psi_residual_actual_minus_sim_deg,actual_peak_p_rad_s,sim_peak_p_rad_s,peak_p_rad_s_residual_actual_minus_sim,actual_p_impulse_rad,sim_p_impulse_rad,p_impulse_rad_residual_actual_minus_sim,actual_phi_change_deg,sim_phi_change_deg,phi_change_deg_residual_actual_minus_sim,actual_peak_q_rad_s,sim_peak_q_rad_s,peak_q_rad_s_residual_actual_minus_sim,actual_q_impulse_rad,sim_q_impulse_rad,q_impulse_rad_residual_actual_minus_sim,actual_theta_change_deg,sim_theta_change_deg,theta_change_deg_residual_actual_minus_sim,actual_peak_r_rad_s,sim_peak_r_rad_s,peak_r_rad_s_residual_actual_minus_sim,actual_r_impulse_rad,sim_r_impulse_rad,r_impulse_rad_residual_actual_minus_sim,actual_psi_change_deg,sim_psi_change_deg,psi_change_deg_residual_actual_minus_sim,actual_roll_coupling_phi_change_deg,sim_roll_coupling_phi_change_deg,roll_coupling_phi_change_deg_residual_actual_minus_sim,actual_yaw_coupling_psi_change_deg,sim_yaw_coupling_psi_change_deg,yaw_coupling_psi_change_deg_residual_actual_minus_sim,actual_response_dy_m,sim_response_dy_m,response_dy_m_residual_actual_minus_sim,actual_response_dx_m,sim_response_dx_m,response_dx_m_residual_actual_minus_sim,actual_response_altitude_loss_m,sim_response_altitude_loss_m,response_altitude_loss_m_residual_actual_minus_sim,actual_max_abs_alpha_deg,sim_max_abs_alpha_deg,max_abs_alpha_deg_residual_actual_minus_sim,actual_alpha_gt_20_s,sim_alpha_gt_20_s,alpha_gt_20_s_residual_actual_minus_sim,actual_alpha_gt_30_s,sim_alpha_gt_30_s,alpha_gt_30_s_residual_actual_minus_sim,actual_speed_mean_m_s,sim_speed_mean_m_s,speed_mean_m_s_residual_actual_minus_sim,actual_response_delay_p_s,sim_response_delay_p_s,response_delay_p_s_residual_actual_minus_sim,actual_response_delay_q_s,sim_response_delay_q_s,response_delay_q_s_residual_actual_minus_sim,actual_response_delay_r_s,sim_response_delay_r_s,response_delay_r_s_residual_actual_minus_sim
train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n02/v001,v001,C1_aileron_neg0p2,aileron,delta_a,-0.2,0.2,ok,frozen_active_neutral_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.1805865,0.15,0.8,5.119483619,5.474158824,-0.3546752047,0.04148237801,-0.7312124615,0.7726948395,1.055881517,1.109863946,-0.05398242959,14.34414252,20.94258179,-6.598439272,-18.14097583,1.970994869,-20.1119707,6.857352348,-4.636793794,11.49414614,0.8712495178,0.8648601154,0.006389402384,0.1662802605,0.4188675364,-0.2525872759,-1.327373814,9.807239636,-11.13461345,-1.932298993,0.3741750819,-2.306474075,-0.6585049223,0.01512957922,-0.6736345015,-8.197605435,-4.147823949,-4.049781486,0.8261284969,0.4288789665,0.3972495304,0.3857017767,0.2151613253,0.1705404514,14.34335089,4.701806822,9.641544071,-1.327373814,9.807239636,-11.13461345,14.34335089,4.701806822,9.641544071,0.05053462449,-0.5173670088,0.5679016333,2.825976755,3.034955607,-0.2089788518,0.2650810367,0.5584418822,-0.2933608455,14.85130368,9.565208975,5.286094709,0,0,0,0,0,0,4.499475867,4.819332835,-0.3198569685,0.3357865,0.105,0.2307865,0.1728003,0.525,-0.3521997,0.03098600001,0.02,0.01098600001
train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n02/v002,v002,C1_aileron_neg0p2,aileron,delta_a,-0.2,0.2,ok,frozen_active_neutral_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.1324288,0.15,0.8,4.228170939,4.352857432,-0.124686493,0.268271525,-0.151624382,0.4198959069,1.190540867,1.176898521,0.01364234555,4.302649615,15.24583827,-10.94318865,-32.98707998,-24.17584105,-8.81123893,-1.119298293,-5.940722551,4.821424259,-0.3077086157,0.6004645579,-0.9081731736,-0.1012568934,0.2846814991,-0.3859383925,-11.00227968,7.309170125,-18.31144981,-2.190275301,-1.759109313,-0.4311659883,-0.7902088624,-0.5411930551,-0.2490158073,-19.98583639,-13.55520264,-6.430633745,0.3167300439,0.1675563446,0.1491736993,0.1170410695,-0.00478716588,0.1218282354,4.807377,4.585094591,0.2222824084,-11.00227968,7.309170125,-18.31144981,4.807377,4.585094591,0.2222824084,0.1335708778,-0.1203335186,0.2539043964,2.461462044,2.469948191,-0.00848614737,0.3510882128,0.4908831462,-0.1397949334,21.35463821,24.72522672,-3.370588504,0.2867603,0.495,-0.2082397,0,0,0,3.769230707,3.910980421,-0.1417497139,0.0530663,0.075,-0.0219337,0.1368553,0.185,-0.0481447,0.0589733,0.025,0.0339733
train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n02/v003,v003,C1_aileron_neg0p2,aileron,delta_a,-0.2,0.2,ok,frozen_active_neutral_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.1918325,0.15,0.8,5.259403741,6.071595684,-0.8121919434,0.0325674262,0.5268563141,-0.4942888879,1.03133535,1.538101109,-0.5067657584,-3.34648832,29.63703288,-32.9835212,-15.87836835,-17.96345612,2.08508777,2.418934426,11.33591392,-8.916979496,-0.4464088685,0.7123243885,-1.158733257,0.0182650812,0.3557441876,-0.3374791064,-5.373600522,13.17535714,-18.54895766,-1.713556095,-0.03618943961,-1.677366655,-0.6309144354,-0.01846661831,-0.6124478171,-4.677412585,-9.14596075,4.468548164,0.45533228,-0.2023623592,0.6576946392,0.1990113245,-0.06310781443,0.2621191389,4.814071709,8.782549339,-3.96847763,-5.373600522,13.17535714,-18.54895766,4.814071709,8.782549339,-3.96847763,0.02986723899,0.1565530082,-0.1266857692,2.902246541,3.295884716,-0.3936381754,0.2923496577,0.7139926586,-0.4216430009,16.16579694,5.938752935,10.227044,0,0,0,0,0,0,4.568159077,5.204310922,-0.6361518452,0.0796827,0.09,-0.0103173,0.1365025,,,0.0615833,0.225,-0.1634167
train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n04/v001,v001,C1_aileron_neg0p4,aileron,delta_a,-0.4,0.4,ok,frozen_active_neutral_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,0.9968523,0.15,0.8,4.160578517,4.092537611,0.06804090634,-0.00244910173,-0.1045342898,0.1020851881,1.042408462,1.012540005,0.0298684572,8.751309995,23.44564427,-14.69433427,-16.02314772,-9.653645209,-6.369502515,3.163834787,-8.155016745,11.31885153,0.43886916,0.8335153205,-0.3946461605,0.007267436789,0.398576712,-0.3913092752,-0.3140992383,14.53998507,-14.85408431,-1.642343484,-1.433699269,-0.2086442155,-0.7415128661,-0.4870049553,-0.2545079108,-18.20711217,-7.760162145,-10.44695003,0.4884659599,-0.3814906755,0.8699566354,0.23853649,-0.1189741318,0.3575106218,8.501232254,1.765314695,6.735917558,-0.3140992383,14.53998507,-14.85408431,8.501232254,1.765314695,6.735917558,0.003301288397,-0.09194185581,0.0952431442,2.668915267,2.639210823,0.02970444405,0.570861636,0.586924545,-0.01606290906,16.17449717,21.97847517,-5.803977997,0,0.335,-0.335,0,0,0,4.236678314,4.180533761,0.05614455313,0.3651173,0.06,0.3051173,0.0805549,0.185,-0.1044451,0.0333277,0.23,-0.1966723
train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n04/v002,v002,C1_aileron_neg0p4,aileron,delta_a,-0.4,0.4,ok,frozen_active_neutral_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.0873698,0.15,0.8,4.050271516,4.180089846,-0.1298183305,-0.1414855504,0.07775060226,-0.2192361527,1.055084093,1.044472667,0.01061142576,-0.001674194625,32.3859711,-32.38764529,-28.30748111,-15.7679844,-12.53949671,1.526829348,-5.739302415,7.266131762,0.3326241654,0.8148936818,-0.4822695164,0.05490974305,0.391203746,-0.336294003,-11.76393976,13.99969644,-25.76363621,-2.129614498,-1.705368177,-0.4242463209,-0.7325220676,-0.54303571,-0.1894863575,-21.45878547,-11.58383994,-9.874945534,0.4246081232,0.1820315036,0.2425766196,0.1928671594,-0.008730699438,0.2015978588,7.388432007,4.931151908,2.457280099,-11.76393976,13.99969644,-25.76363621,7.388432007,4.931151908,2.457280099,-0.1069462226,0.02958242774,-0.1365286503,2.37771907,2.483789904,-0.1060708334,0.3594836405,0.4769898225,-0.117506182,21.21750538,24.18459302,-2.967087642,0.2276341,0.49,-0.2623659,0,0,0,3.782846073,3.923740216,-0.1408941428,0.2381419,0.065,0.1731419,0.1683684,0.18,-0.0116316,0.01884619999,0.025,-0.006153800013
heldout,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n04/v003,v003,C1_aileron_neg0p4,aileron,delta_a,-0.4,0.4,ok,frozen_active_neutral_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.1391425,0.15,0.8,4.497289291,4.491279364,0.006009927193,0.1400564542,-0.2768540767,0.4169105309,1.001685963,1.011804821,-0.01011885829,5.914491386,15.3487347,-9.434243311,-27.44600016,-20.79032328,-6.655676876,-4.560875405,-15.73957326,11.17869785,1.142395569,0.7891245626,0.3532710063,0.4433114858,0.36840418,0.07490730588,10.43695858,11.74578571,-1.308827132,-2.252290895,-2.367716992,0.1154260965,-0.8401077057,-1.043331453,0.2032237468,-21.71688409,-19.24540269,-2.471481398,-0.3605608735,-0.4506921787,0.09013130516,-0.08451515158,-0.1698497311,0.08533457954,-3.041030272,-5.272023049,2.230992777,10.43695858,11.74578571,-1.308827132,-3.041030272,-5.272023049,2.230992777,0.1248564687,-0.1214843743,0.246340843,2.543497833,2.546386005,-0.002888172567,0.2092048128,0.3364554515,-0.1272506387,17.83620197,22.75757134,-4.92136937,0,0.54,-0.54,0,0,0,4.005227201,3.992024672,0.01320252899,0.1631963,0.07,0.09319630001,0.1151875,0.055,0.0601875,0.1919769,0.18,0.0119769
train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n06/v001,v001,C1_aileron_neg0p6,aileron,delta_a,-0.6,0.6,ok,frozen_active_neutral_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.2865927,0.15,0.8,5.039359697,5.808967507,-0.7696078101,-1.500249787,0.3546107084,-1.854860495,1.112441542,1.176828497,-0.06438695455,37.6215253,73.42050715,-35.79898185,5.838311867,-20.48818569,26.32649755,49.8180304,8.481779721,41.33625068,-0.4036215891,1.57518809,-1.978809679,-0.09016316278,0.7388332718,-0.8289964346,9.5740765,33.50379352,-23.92971702,-0.9848045076,-0.1756723668,-0.8091321408,-0.4361899472,-0.08719087936,-0.3489990678,-5.126124543,-10.98386031,5.85773577,1.533207974,0.1822162044,1.35099177,0.5208413001,0.02469915652,0.4961421436,15.16501823,6.299500603,8.865517626,9.5740765,33.50379352,-23.92971702,15.16501823,6.299500603,8.865517626,-0.475486165,0.05305548275,-0.5285416477,2.721355662,2.993128051,-0.2717723898,0.1389811827,0.2959993302,-0.1570181476,37.6464996,8.490838483,29.15566112,0.2530147,0,0.2530147,0.0984759,0,0.0984759,4.414918265,4.652250567,-0.237332301,0.06819280001,0.12,-0.05180719999,0.06819280001,0.045,0.02319280001,0.1089188,0.02,0.0889188
train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n06/v002,v002,C1_aileron_neg0p6,aileron,delta_a,-0.6,0.6,ok,frozen_active_neutral_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.1010575,0.15,0.8,4.584125453,5.268365754,-0.6842403008,-0.5034914328,0.691830736,-1.195322169,1.082590123,1.621918498,-0.5393283747,18.30259397,69.55283673,-51.25024276,-15.4404878,-24.29454563,8.854057828,18.33689124,13.11150662,5.225384618,-1.061314857,1.621683887,-2.682998744,-0.256692052,0.7641838611,-1.020875913,2.497153175,38.90042276,-36.40326958,-1.63798018,-0.08628107399,-1.551699106,-0.6351338992,-0.02307867661,-0.6120552226,-9.262865488,-10.9256711,1.662805612,1.084224893,-0.3719074734,1.456132367,0.3308547623,-0.1237101011,0.4545648633,6.438259697,6.266580652,0.171679045,2.497153175,38.90042276,-36.40326958,6.438259697,6.266580652,0.171679045,-0.2294083216,0.3326485513,-0.5620568729,2.704795786,3.101850603,-0.3970548173,0.3808124724,0.8199336619,-0.4391211895,21.00595519,6.947231964,14.05872323,0.0777021,0,0.0777021,0,0,0,4.324225029,4.979787713,-0.6555626846,0.0574709,0.12,-0.0625291,0.1414209,0.235,-0.0935791,0.1472629,0.16,-0.0127371
train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n06/v003,v003,C1_aileron_neg0p6,aileron,delta_a,-0.6,0.6,ok,frozen_active_neutral_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.2173598,0.15,0.8,4.552001397,4.45283362,0.09916777636,0.2053389009,-0.2245901213,0.4299290222,1.141215729,1.183228512,-0.04201278291,-4.119511607,26.1104114,-30.22992301,-33.3258598,-25.9857826,-7.340077206,-4.74175526,-32.57160487,27.82984961,-0.6536854357,0.891224419,-1.544909855,0.008911699055,0.3893684011,-0.380456702,5.416174596,16.27758006,-10.86140547,-2.149447567,-2.506369684,0.3569221174,-0.8425711209,-1.01746103,0.174889909,-21.52418959,-15.46997869,-6.054210902,0.4412980763,-0.7780045508,1.219302627,0.09478497653,-0.2636860531,0.3584710296,-4.903591781,-7.87473675,2.971144969,5.416174596,16.27758006,-10.86140547,-4.903591781,-7.87473675,2.971144969,0.1596426744,-0.0303630608,0.1900057352,2.422642009,2.416401421,0.006240587948,0.172995305,0.3264914062,-0.1534961012,19.53873452,25.95604964,-6.41731512,0,0.56,-0.56,0,0,0,3.863106306,3.795272427,0.06783387867,0.4672918,0.09,0.3772918,0.1185842,0.07,0.04858419999,0.3661764,0.185,0.1811764
train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n08/v001,v001,C1_aileron_neg0p8,aileron,delta_a,-0.8,0.8,ok,frozen_active_neutral_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,0.9739627,0.15,0.8,3.910378445,3.927597719,-0.01721927418,-0.6306045267,0.04033716353,-0.6709416903,0.9308053213,0.9702241781,-0.03941885682,25.16584145,25.49101569,-0.3251742404,-8.838839296,-0.2458422347,-8.592997061,19.47724081,-16.54428866,36.02152947,-0.7220559025,0.8799372581,-1.601993161,-0.0008105507782,0.3276672074,-0.3284777582,4.531503098,13.37268894,-8.841185842,-1.40945254,-1.610242443,0.2007899031,-0.5772487087,-0.8117382992,0.2344895905,-10.43901821,-5.624292262,-4.814725949,0.8295332036,-0.7511353181,1.580668522,0.3883945099,-0.1984362781,0.5868307879,16.25151031,-6.779212516,23.03072283,4.531503098,13.37268894,-8.841185842,16.25151031,-6.779212516,23.03072283,-0.4085304426,0.04912755554,-0.4576579982,2.613536447,2.602410141,0.01112630633,0.5114827035,0.5930561242,-0.08157342064,28.42113659,21.06009931,7.361037282,0.2274237,0.535,-0.3075763,0,0,0,4.158805439,4.123759123,0.03504631646,0.0409232,0.125,-0.0840768,0.1131036,0.045,0.06810360001,0.0709044,0.25,-0.1790956
