candidate_id,split,dataset_root,session_label,trial_id,throw_id,case_id,surface_axis,command_axis,command_value,command_abs,launch_confidence_score,launch_confidence_label,launch_confidence_weight,launch_lateral_contamination_score,launch_confidence_reasons,replay_status,replay_policy,replay_dt_s,replay_command_source,replay_command_onset_delay_s,duration_s,response_window_start_s,response_window_end_s,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_final_phi_deg,sim_final_phi_deg,final_phi_residual_actual_minus_sim_deg,actual_final_theta_deg,sim_final_theta_deg,final_theta_residual_actual_minus_sim_deg,actual_final_psi_deg,sim_final_psi_deg,final_psi_residual_actual_minus_sim_deg,actual_peak_p_rad_s,sim_peak_p_rad_s,peak_p_rad_s_residual_actual_minus_sim,actual_p_impulse_rad,sim_p_impulse_rad,p_impulse_rad_residual_actual_minus_sim,actual_phi_change_deg,sim_phi_change_deg,phi_change_deg_residual_actual_minus_sim,actual_peak_q_rad_s,sim_peak_q_rad_s,peak_q_rad_s_residual_actual_minus_sim,actual_q_impulse_rad,sim_q_impulse_rad,q_impulse_rad_residual_actual_minus_sim,actual_theta_change_deg,sim_theta_change_deg,theta_change_deg_residual_actual_minus_sim,actual_peak_r_rad_s,sim_peak_r_rad_s,peak_r_rad_s_residual_actual_minus_sim,actual_r_impulse_rad,sim_r_impulse_rad,r_impulse_rad_residual_actual_minus_sim,actual_psi_change_deg,sim_psi_change_deg,psi_change_deg_residual_actual_minus_sim,actual_roll_coupling_phi_change_deg,sim_roll_coupling_phi_change_deg,roll_coupling_phi_change_deg_residual_actual_minus_sim,actual_yaw_coupling_psi_change_deg,sim_yaw_coupling_psi_change_deg,yaw_coupling_psi_change_deg_residual_actual_minus_sim,actual_response_dy_m,sim_response_dy_m,response_dy_m_residual_actual_minus_sim,actual_response_dx_m,sim_response_dx_m,response_dx_m_residual_actual_minus_sim,actual_response_altitude_loss_m,sim_response_altitude_loss_m,response_altitude_loss_m_residual_actual_minus_sim,actual_max_abs_alpha_deg,sim_max_abs_alpha_deg,max_abs_alpha_deg_residual_actual_minus_sim,actual_alpha_gt_20_s,sim_alpha_gt_20_s,alpha_gt_20_s_residual_actual_minus_sim,actual_alpha_gt_30_s,sim_alpha_gt_30_s,alpha_gt_30_s_residual_actual_minus_sim,actual_speed_mean_m_s,sim_speed_mean_m_s,speed_mean_m_s_residual_actual_minus_sim,actual_response_delay_p_s,sim_response_delay_p_s,response_delay_p_s_residual_actual_minus_sim,actual_response_delay_q_s,sim_response_delay_q_s,response_delay_q_s_residual_actual_minus_sim,actual_response_delay_r_s,sim_response_delay_r_s,response_delay_r_s_residual_actual_minus_sim
C1_primary_moment_derivatives,train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n02/v001,v001,C1_aileron_neg0p2,aileron,delta_a,-0.2,0.2,0.6638325957,medium,0.6638325957,0.5226377179,yaw_angle;lateral_velocity;yaw_rate,ok,C1_primary_moment_derivatives_launch_confidence_weighted_surface_aero_coupling_replay,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.1805865,0.15,0.8,5.119483619,5.473883894,-0.3544002747,0.04148237801,-0.7637997791,0.8052821571,1.055881517,1.110918725,-0.05503720796,14.34414252,13.48885154,0.85529098,-18.14097583,1.692736509,-19.83371234,6.857352348,-5.523491706,12.38084405,0.8712495178,0.7795401195,0.09170939828,0.1662802605,0.377374037,-0.2110937765,-1.327373814,7.456620703,-8.783994517,-1.932298993,0.3200887081,-2.252387701,-0.6585049223,0.00831051999,-0.6668154423,-8.197605435,-4.40779379,-3.789811646,0.8261284969,0.4273791972,0.3987492996,0.3857017767,0.2082681071,0.1774336696,14.34335089,4.269326408,10.07402448,-1.327373814,7.456620703,-8.783994517,14.34335089,4.269326408,10.07402448,0.05053462449,-0.5224468294,0.5729814539,2.825976755,3.033957857,-0.2079811014,0.2650810367,0.5584884647,-0.2934074279,14.85130368,9.459883882,5.391419802,0,0,0,0,0,0,4.499475867,4.819155888,-0.3196800208,0.3357865,0.1,0.2357865,0.1728003,0.53,-0.3571997,0.03098600001,0.02,0.01098600001
C1_primary_moment_derivatives,train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n02/v002,v002,C1_aileron_neg0p2,aileron,delta_a,-0.2,0.2,0.7690980719,high,0.7690980719,0.4183593239,lateral_velocity,ok,C1_primary_moment_derivatives_launch_confidence_weighted_surface_aero_coupling_replay,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.1324288,0.15,0.8,4.228170939,4.354622978,-0.1264520393,0.268271525,-0.1434558993,0.4117274243,1.190540867,1.179389102,0.01115176438,4.302649615,9.718403981,-5.415754366,-32.98707998,-24.69308267,-8.29399731,-1.119298293,-4.814046562,3.69474827,-0.3077086157,0.5171988483,-0.824907464,-0.1012568934,0.2488886801,-0.3501455735,-11.00227968,5.311030537,-16.31331022,-2.190275301,-1.767796072,-0.4224792293,-0.7902088624,-0.5425127205,-0.2476961418,-19.98583639,-13.66332717,-6.322509214,0.3167300439,0.1676092142,0.1491208297,0.1170410695,-0.003309860099,0.1203509296,4.807377,5.085838995,-0.2784619956,-11.00227968,5.311030537,-16.31331022,4.807377,5.085838995,-0.2784619956,0.1335708778,-0.1189423857,0.2525132635,2.461462044,2.46996851,-0.008506466179,0.3510882128,0.4909222325,-0.1398340198,21.35463821,24.75023992,-3.395601709,0.2867603,0.495,-0.2082397,0,0,0,3.769230707,3.910957808,-0.1417271004,0.0530663,0.065,-0.0119337,0.1368553,0.185,-0.0481447,0.0589733,0.025,0.0339733
C1_primary_moment_derivatives,train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n02/v003,v003,C1_aileron_neg0p2,aileron,delta_a,-0.2,0.2,0.7811144104,high,0.7811144104,0.4058190465,roll_angle;lateral_velocity,ok,C1_primary_moment_derivatives_launch_confidence_weighted_surface_aero_coupling_replay,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.1918325,0.15,0.8,5.259403741,6.073336805,-0.8139330641,0.0325674262,0.4967922133,-0.4642247871,1.03133535,1.520600622,-0.4892652719,-3.34648832,26.1561693,-29.50265762,-15.87836835,-17.26550656,1.387138212,2.418934426,10.14479056,-7.725856131,-0.4464088685,0.6385240203,-1.084932889,0.0182650812,0.3193133451,-0.3010482639,-5.373600522,11.13959037,-16.51319089,-1.713556095,-0.03633302287,-1.677223072,-0.6309144354,-0.02004741864,-0.6108670168,-4.677412585,-9.039460192,4.362047607,0.45533228,-0.2227470542,0.6780793342,0.1990113245,-0.07097061687,0.2699819414,4.814071709,8.448066055,-3.633994346,-5.373600522,11.13959037,-16.51319089,4.814071709,8.448066055,-3.633994346,0.02986723899,0.1514331898,-0.1215659508,2.902246541,3.295800818,-0.3935542775,0.2923496577,0.7119391637,-0.419589506,16.16579694,5.946718309,10.21907863,0,0,0,0,0,0,4.568159077,5.20264903,-0.6344899529,0.0796827,0.085,-0.005317300005,0.1365025,,,0.0615833,0.22,-0.1584167
C1_primary_moment_derivatives,train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n04/v001,v001,C1_aileron_neg0p4,aileron,delta_a,-0.4,0.4,0.7261873038,medium,0.7261873038,0.4618421832,lateral_velocity,ok,C1_primary_moment_derivatives_launch_confidence_weighted_surface_aero_coupling_replay,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,0.9968523,0.15,0.8,4.160578517,4.096966614,0.06361190263,-0.00244910173,-0.09420415486,0.09175505313,1.042408462,1.013756447,0.02865201455,8.751309995,15.40532463,-6.654014637,-16.02314772,-11.07159504,-4.951552685,3.163834787,-5.54252992,8.706364708,0.43886916,0.6426116384,-0.2037424784,0.007267436789,0.3107763692,-0.3035089324,-0.3140992383,9.621014639,-9.935113877,-1.642343484,-1.466485697,-0.1758577876,-0.7415128661,-0.4927116366,-0.2488012295,-18.20711217,-8.438380165,-9.768732006,0.4884659599,-0.3646178986,0.8530838584,0.23853649,-0.1095631266,0.3480996165,8.501232254,2.994388785,5.506843469,-0.3140992383,9.621014639,-9.935113877,8.501232254,2.994388785,5.506843469,0.003301288397,-0.08785855038,0.09115983877,2.668915267,2.639420212,0.0294950553,0.570861636,0.5868230006,-0.01596136464,16.17449717,22.06585256,-5.891355393,0,0.355,-0.355,0,0,0,4.236678314,4.180690204,0.05598811088,0.3651173,0.05,0.3151173,0.0805549,0.185,-0.1044451,0.0333277,0.235,-0.2016723
C1_primary_moment_derivatives,train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n04/v002,v002,C1_aileron_neg0p4,aileron,delta_a,-0.4,0.4,0.6683979185,medium,0.6683979185,0.5182480721,roll_angle;lateral_velocity,ok,C1_primary_moment_derivatives_launch_confidence_weighted_surface_aero_coupling_replay,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.0873698,0.15,0.8,4.050271516,4.187643809,-0.1373722928,-0.1414855504,0.09171648743,-0.2332020378,1.055084093,1.049410096,0.005673997022,-0.001674194625,23.90854422,-23.91021841,-28.30748111,-18.44610165,-9.86137946,1.526829348,-2.154254192,3.68108354,0.3326241654,0.6404275554,-0.30780339,0.05490974305,0.3123591694,-0.2574494263,-11.76393976,9.63666496,-21.40060472,-2.129614498,-1.753312855,-0.3763016425,-0.7325220676,-0.5497093504,-0.1828127172,-21.45878547,-12.20915791,-9.249627566,0.4246081232,0.1825812766,0.2420268466,0.1928671594,-0.001613385067,0.1944805444,7.388432007,6.058476262,1.329955745,-11.76393976,9.63666496,-21.40060472,7.388432007,6.058476262,1.329955745,-0.1069462226,0.03301973803,-0.1399659606,2.37771907,2.48397755,-0.10625848,0.3594836405,0.4768300374,-0.117346397,21.21750538,24.3845508,-3.16704542,0.2276341,0.49,-0.2623659,0,0,0,3.782846073,3.924132721,-0.1412866476,0.2381419,0.055,0.1831419,0.1683684,0.18,-0.0116316,0.01884619999,0.025,-0.006153800013
C1_primary_moment_derivatives,heldout,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n04/v003,v003,C1_aileron_neg0p4,aileron,delta_a,-0.4,0.4,0.8847052423,high,0.8847052423,0.285774677,lateral_velocity,ok,C1_primary_moment_derivatives_launch_confidence_weighted_surface_aero_coupling_replay,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.1391425,0.15,0.8,4.497289291,4.500150706,-0.002861414131,0.1400564542,-0.2547819807,0.3948384349,1.001685963,1.015139193,-0.01345323011,5.914491386,4.930491615,0.9839997712,-27.44600016,-21.45219712,-5.993803031,-4.560875405,-12.38414542,7.823270011,1.142395569,0.6111927561,0.5312028128,0.4433114858,0.2850953182,0.1582161676,10.43695858,7.181714446,3.255244131,-2.252290895,-2.38509062,0.1327997245,-0.8401077057,-1.042598404,0.2024906983,-21.71688409,-19.5890609,-2.127823184,-0.3605608735,-0.4508567965,0.09029592293,-0.08451515158,-0.1666772643,0.08216211269,-3.041030272,-3.923601373,0.8825711005,10.43695858,7.181714446,3.255244131,-3.041030272,-3.923601373,0.8825711005,0.1248564687,-0.1172278422,0.2420843109,2.543497833,2.546379184,-0.002881351185,0.2092048128,0.3362158535,-0.1270110407,17.83620197,22.85814225,-5.02194028,0,0.555,-0.555,0,0,0,4.005227201,3.991546502,0.01368069884,0.1631963,0.055,0.1081963,0.1151875,0.055,0.0601875,0.1919769,0.185,0.006976900003
C1_primary_moment_derivatives,train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n06/v001,v001,C1_aileron_neg0p6,aileron,delta_a,-0.6,0.6,0.6639862319,medium,0.6639862319,0.522490105,roll_angle;lateral_velocity;roll_rate,ok,C1_primary_moment_derivatives_launch_confidence_weighted_surface_aero_coupling_replay,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.2865927,0.15,0.8,5.039359697,5.892411183,-0.8530514863,-1.500249787,0.3120567954,-1.812306582,1.112441542,1.235909571,-0.123468029,37.6215253,55.63293736,-18.01141206,5.838311867,-22.66883253,28.50714439,49.8180304,8.29170146,41.52632894,-0.4036215891,1.128462889,-1.532084478,-0.09016316278,0.5335651684,-0.6237283312,9.5740765,21.73005146,-12.15597496,-0.9848045076,-0.3701722877,-0.6146322199,-0.4361899472,-0.1551204533,-0.2810694938,-5.126124543,-14.35323006,9.227105512,1.533207974,0.1822248404,1.350983134,0.5208413001,0.0295643875,0.4912769126,15.16501823,5.791595701,9.373422528,9.5740765,21.73005146,-12.15597496,15.16501823,5.791595701,9.373422528,-0.475486165,0.04011787612,-0.5156040411,2.721355662,3.00091779,-0.279562128,0.1389811827,0.3103014859,-0.1713203032,37.6464996,8.471792662,29.17470694,0.2530147,0,0.2530147,0.0984759,0,0.0984759,4.414918265,4.667624237,-0.2527059712,0.06819280001,0.115,-0.04680719999,0.06819280001,0.075,-0.006807199994,0.1089188,0.02,0.0889188
C1_primary_moment_derivatives,train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n06/v002,v002,C1_aileron_neg0p6,aileron,delta_a,-0.6,0.6,0.8209164879,high,0.8209164879,0.3627063961,roll_angle;lateral_velocity,ok,C1_primary_moment_derivatives_launch_confidence_weighted_surface_aero_coupling_replay,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.1010575,0.15,0.8,4.584125453,5.286514274,-0.7023888207,-0.5034914328,0.6642690663,-1.167760499,1.082590123,1.612256127,-0.5296660042,18.30259397,56.27971732,-37.97712335,-15.4404878,-22.34103091,6.900543107,18.33689124,11.43390124,6.902989992,-1.061314857,1.24347394,-2.304788797,-0.256692052,0.5924098098,-0.8491018618,2.497153175,29.14805917,-26.65090599,-1.63798018,-0.169971546,-1.468008634,-0.6351338992,-0.05496780732,-0.5801660919,-9.262865488,-12.04052296,2.777657472,1.084224893,-0.3620057721,1.446230666,0.3308547623,-0.1336714224,0.4645261847,6.438259697,5.787946753,0.6503129437,2.497153175,29.14805917,-26.65090599,6.438259697,5.787946753,0.6503129437,-0.2294083216,0.3219765679,-0.5513848895,2.704795786,3.105191765,-0.4003959795,0.3808124724,0.8277240083,-0.446911536,21.00595519,6.953386901,14.05256829,0.0777021,0,0.0777021,0,0,0,4.324225029,4.986039152,-0.661814123,0.0574709,0.115,-0.0575291,0.1414209,0.2,-0.0585791,0.1472629,0.16,-0.0127371
C1_primary_moment_derivatives,train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n06/v003,v003,C1_aileron_neg0p6,aileron,delta_a,-0.6,0.6,0.8252401568,high,0.8252401568,0.3578461829,lateral_velocity,ok,C1_primary_moment_derivatives_launch_confidence_weighted_surface_aero_coupling_replay,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,1.2173598,0.15,0.8,4.552001397,4.487336853,0.06466454385,0.2053389009,-0.1747978173,0.3801367182,1.141215729,1.190943984,-0.04972825563,-4.119511607,13.60396434,-17.72347594,-33.3258598,-29.6954165,-3.630443307,-4.74175526,-23.33550658,18.59375132,-0.6536854357,0.6352792932,-1.288964729,0.008911699055,0.2720159232,-0.2631042242,5.416174596,10.04635618,-4.630181584,-2.149447567,-2.497156143,0.3477085768,-0.8425711209,-1.014626042,0.1720549215,-21.52418959,-16.30229025,-5.221899343,0.4412980763,-0.7046809755,1.145979052,0.09478497653,-0.2474702048,0.3422551813,-4.903591781,-5.360681542,0.4570897614,5.416174596,10.04635618,-4.630181584,-4.903591781,-5.360681542,0.4570897614,0.1596426744,-0.02567838748,0.1853210618,2.422642009,2.415747187,0.006894821253,0.172995305,0.3257470332,-0.1527517282,19.53873452,26.42599991,-6.887265388,0,0.56,-0.56,0,0,0,3.863106306,3.793764942,0.06934136304,0.4672918,0.07,0.3972918,0.1185842,0.07,0.04858419999,0.3661764,0.185,0.1811764
C1_primary_moment_derivatives,train,C:/Users/GH-X-ST/OneDrive - Imperial College London/Year 4/Final Year Project/01 - Github/Nausicaa/04_Flight_Test/05_Results/cal/pa30,20260604_222810,20260604_222810/c1_a_n08/v001,v001,C1_aileron_neg0p8,aileron,delta_a,-0.8,0.8,0.7945694996,high,0.7945694996,0.3915395433,roll_angle;lateral_velocity,ok,C1_primary_moment_derivatives_launch_confidence_weighted_surface_aero_coupling_replay,0.005,command_schedule_csv_normalised_aggregate_to_radians_with_nominal_onset_delay,0.073,0.9739627,0.15,0.8,3.910378445,3.934762127,-0.02438368153,-0.6306045267,0.05522088353,-0.6858254103,0.9308053213,0.9596949868,-0.02888966552,25.16584145,12.73881257,12.42702888,-8.838839296,-5.513875004,-3.324964291,19.47724081,-11.13639569,30.6136365,-0.7220559025,0.446983967,-1.16903987,-0.0008105507782,0.1306364259,-0.1314469767,4.531503098,2.570059666,1.961443432,-1.40945254,-1.739992676,0.3305401366,-0.5772487087,-0.8156544474,0.2384057387,-10.43901821,-7.995184672,-2.44383354,0.8295332036,-0.5781038242,1.407637028,0.3883945099,-0.1519668093,0.5403613191,16.25151031,-3.187021599,19.43853191,4.531503098,2.570059666,1.961443432,16.25151031,-3.187021599,19.43853191,-0.4085304426,0.05161645168,-0.4601468943,2.613536447,2.59874121,0.0147952371,0.5114827035,0.5822924265,-0.07080972296,28.42113659,21.56091359,6.860222998,0.2274237,0.535,-0.3075763,0,0,0,4.158805439,4.113681105,0.04512433372,0.0409232,0.095,-0.0540768,0.1131036,0.05,0.06310360001,0.0709044,0.25,-0.1790956
