split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
all,aileron,0.2,peak_p_rad_s,6,6,-0.5525316705,0.1664606626,,-0.1930355039,-0.07507752342,0.7535652096,,0.3392438431,,-0.532279347
all,aileron,0.2,p_impulse_rad,6,6,-0.1940761314,0.04801247783,,-0.07303182681,-0.04268040295,0.3330612559,,0.1451904265,,-0.2182222533
all,aileron,0.2,phi_change_deg,6,6,-12.75827875,-2.800998089,,-7.779638421,-10.84333089,7.483244905,,-1.68004299,,-6.099595431
all,aileron,0.2,yaw_coupling_psi_change_deg,6,6,6.479228445,7.228541738,,6.853885091,10.01076672,1.713663963,,5.862215339,,0.9916697524
all,aileron,0.2,response_dy_m,6,6,0.0457172194,0.04249963508,,0.04410842724,-0.08265310319,-0.2075530632,,-0.1451030832,,0.1892115104
all,aileron,0.4,peak_p_rad_s,6,6,-0.811139094,0.3386551455,,-0.2362419743,-0.7338902588,1.080762001,,0.1734358713,,-0.4096778456
all,aileron,0.4,p_impulse_rad,6,6,-0.3413325856,0.0996814531,,-0.1208255662,-0.3160252028,0.4642416036,,0.0741082004,,-0.1949337666
all,aileron,0.4,phi_change_deg,6,6,-23.26140998,2.29813363,,-10.48163817,-24.18564407,15.46868346,,-4.358480303,,-6.12315787
all,aileron,0.4,yaw_coupling_psi_change_deg,6,6,11.3538464,7.864812595,,9.6093295,14.29109883,-3.079538168,,5.60578033,,4.00354917
all,aileron,0.4,response_dy_m,6,6,0.004969497154,-0.04230829708,,-0.01866939996,-0.1420827141,-0.1452459181,,-0.1436643161,,0.1249949161
all,aileron,0.6,peak_p_rad_s,6,6,-1.096909849,-0.02890336803,,-0.5629066085,-1.209982,1.359142356,,0.07458017805,,-0.6374867866
all,aileron,0.6,p_impulse_rad,6,6,-0.5033671413,0.02183034246,,-0.2407683994,-0.5378284629,0.5989349982,,0.03055326761,,-0.271321667
all,aileron,0.6,phi_change_deg,6,6,-29.84549753,4.689486303,,-12.57800562,-36.89959321,23.85184497,,-6.523874116,,-6.054131499
all,aileron,0.6,yaw_coupling_psi_change_deg,6,6,10.60085115,7.543734087,,9.072292617,17.02963158,-6.842770275,,5.093430652,,3.978861965
all,aileron,0.6,response_dy_m,6,6,-0.1923396395,-0.2362928852,,-0.2143162623,0.2190087206,-0.005713771884,,0.1066474744,,-0.3209637367
all,aileron,0.8,peak_p_rad_s,6,5,-1.618643071,0.269701181,,-0.6744709449,-1.420118563,1.679934841,,0.1299081391,,-0.804379084
all,aileron,0.8,p_impulse_rad,6,5,-0.5853678247,0.1379210711,,-0.2237233768,-0.559702438,0.6834666537,,0.06188210788,,-0.2856054847
all,aileron,0.8,phi_change_deg,6,5,-31.9386878,10.98839427,,-10.47514676,-39.39846025,33.10872785,,-3.144866203,,-7.330280558
all,aileron,0.8,yaw_coupling_psi_change_deg,6,5,18.22064447,11.87082994,,15.04573721,24.15066471,-13.58038497,,5.285139868,,9.76059734
all,aileron,0.8,response_dy_m,6,5,-0.06038045636,-0.37589776,,-0.2181391082,-0.1079395343,0.01688234082,,-0.04552859675,,-0.1726105114
all,aileron,1,peak_p_rad_s,6,6,-1.50546774,0.9347139306,,-0.2853769045,-1.896079318,2.122816496,,0.1133685888,,-0.3987454932
all,aileron,1,p_impulse_rad,6,6,-0.5357296364,0.3153702525,,-0.110179692,-0.7561886171,0.8525942998,,0.04820284135,,-0.1583825333
all,aileron,1,phi_change_deg,6,6,-33.21388573,14.65647799,,-9.27870387,-49.68285334,30.9595406,,-9.361656369,,0.08295249832
all,aileron,1,yaw_coupling_psi_change_deg,6,6,9.67242609,6.716775458,,8.194600774,26.21385577,-25.01175001,,0.6010528818,,7.593547892
all,aileron,1,response_dy_m,6,6,0.1257352775,-0.07430642728,,0.02571442512,-0.0415876925,-0.2475463534,,-0.1445670229,,0.1702814481
all,elevator,0.2,peak_q_rad_s,6,6,-1.824749811,-1.764036528,,-1.794393169,-0.6872721063,-1.819934348,,-1.253603227,,-0.540789942
all,elevator,0.2,q_impulse_rad,6,6,-0.6109646951,-0.7408746342,,-0.6759196646,-0.3294164216,-0.7517903306,,-0.5406033761,,-0.1353162885
all,elevator,0.2,theta_change_deg,6,6,-11.52280536,-17.65108042,,-14.58694289,-3.327015069,-23.29551632,,-13.3112657,,-1.275677193
all,elevator,0.2,response_altitude_loss_m,6,6,0.5079557168,0.4902301958,,0.4990929563,0.6579468868,0.6983271008,,0.6781369938,,-0.1790440375
all,elevator,0.2,max_abs_alpha_deg,6,6,21.67234684,15.55456907,,18.61345796,23.48078488,16.85953786,,20.17016137,,-1.556703415
all,elevator,0.4,peak_q_rad_s,6,5,-1.67183957,-1.919457088,,-1.795648329,-0.5591161612,-1.51160092,,-1.035358541,,-0.7602897882
all,elevator,0.4,q_impulse_rad,6,5,-0.5666194573,-0.7690554784,,-0.6678374679,-0.2580405662,-0.6115522978,,-0.434796432,,-0.2330410359
all,elevator,0.4,theta_change_deg,6,5,-7.151594036,-22.0857654,,-14.61867972,6.112298675,-20.40109148,,-7.144396404,,-7.474283315
all,elevator,0.4,response_altitude_loss_m,6,5,0.4186929512,0.6330030449,,0.5258479981,0.4985573524,0.7492904669,,0.6239239097,,-0.09807591159
