source_outcome_class,outcome_class,row_count
accepted,accepted,1697
accepted,boundary_terminal,71
accepted,failed,907
accepted,rejected,2
accepted,weak,323
boundary_terminal,accepted,33
boundary_terminal,boundary_terminal,2312
boundary_terminal,failed,334
boundary_terminal,rejected,309
boundary_terminal,weak,12
failed,accepted,224
failed,boundary_terminal,67
failed,failed,2274
failed,rejected,334
failed,weak,101
rejected,accepted,17
rejected,boundary_terminal,27
rejected,failed,157
rejected,rejected,2799
weak,accepted,602
weak,boundary_terminal,52
weak,failed,1776
weak,rejected,13
weak,weak,557
