scenario_id,primitive,phase,t_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,desired_delta_a_cmd_rad,target_delta_a_cmd_rad,desired_delta_e_cmd_rad,target_delta_e_cmd_rad,desired_delta_r_cmd_rad,target_delta_r_cmd_rad,command_norm_a,command_norm_e,command_norm_r,delta_a_target_deg,delta_e_target_deg,delta_r_target_deg,aileron_l_deg,aileron_r_deg,elevator_deg,rudder_deg,latency_mode,latency_s,latency_range_s,onset_latency_s,vicon_latency_nominal_s,vicon_latency_p95_s,half_response_s,actuator_tau_s,state_feedback_delay_s,actuator_t10_s,actuator_t50_nominal_s,actuator_t90_s,conservative_actuator_bound_s,vicon_filter_cutoff_hz,vicon_filter_model,speed_m_s,alpha_rad,beta_rad,gamma_rad,sink_rate_m_s,wind_model,wind_mode,wind_param_label,inside_safe_volume,min_wall_distance_m,floor_margin_m,ceiling_margin_m,inside_tracker_limit,tracker_min_wall_distance_m,tracker_floor_margin_m,tracker_ceiling_margin_m,x_margin_m,y_margin_m,tracker_x_margin_m,tracker_y_margin_m
s4_governor_selection_environment_reference,recovery,phi_ref_deg=0.0,0.0,1.45,2.4,2.7,1.2217304763960306,-0.048082795413418776,0.0,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,-0.4537856055185257,-0.4537856055185257,-0.10060848524273196,-0.10060848524273196,-0.0,-0.0,-1.0,-0.19214805292042555,-0.0,-26.0,-5.764441587612767,-0.0,-26.0,-26.0,-5.764441587612767,-0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.5,0.053299466674997555,0.0,-0.06624425666804042,0.43027281267949313,none,panel,none,True,0.25,2.7,0.2999999999999998,True,1.55,2.95,0.5499999999999998,0.25,2.0000000000000004,1.55,2.1999999999999997
s4_governor_selection_environment_reference,recovery,phi_ref_deg=0.0,0.02,1.579472225044795,2.395152055798237,2.6901238437660377,1.2181218727712357,-0.04813520080450386,-0.0005574094314891602,6.487819114415557,0.1726867998546707,0.24003193671415454,-0.5431803451618276,-0.08606420939696961,-0.021324352189977268,-0.14837597662528762,-0.10060848524273196,0.0,-0.4537856055185257,-0.4537856055185257,-0.09389926028577855,-0.09389926028577855,-0.007601465883537016,-0.007601465883537016,-1.0,-0.17933437712584985,-0.012443768949695838,-26.0,-5.380031313775495,-0.43553191323935436,-26.0,-26.0,-5.380031313775495,-0.43553191323935436,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.494554097308194,0.0369804557770204,0.02659261159638628,-0.08584734272099605,0.5568556402111253,none,panel,none,True,0.37947222504479505,2.6901238437660377,0.30987615623396225,True,1.679472225044795,2.9401238437660377,0.5598761562339623,0.37947222504479505,2.0048479442017633,1.679472225044795,2.2048479442017626
s4_governor_selection_environment_reference,recovery,phi_ref_deg=0.0,0.04,1.7086832429520364,2.392976359727843,2.6777098957006293,1.1985037159828262,-0.04859914145187538,-0.0036586388756726365,6.4771163118501835,0.3342480522093041,0.16417737289749235,-1.4580820208623329,-0.22826730923310512,-0.04361293396837318,-0.24823690523720426,-0.09841474486560121,-0.0024854797299372782,-0.4537856055185257,-0.4537856055185257,-0.08242152166260444,-0.08242152166260446,-0.014550733115605034,-0.014550733115605036,-1.0,-0.15741351107711077,-0.02381987418129747,-26.0,-4.722405332313323,-0.8336955963454116,-26.0,-26.0,-4.722405332313323,-0.8336955963454116,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.487812550267845,0.025341867896901234,0.0515421938087854,-0.10582481105612605,0.685290781402409,none,panel,none,True,0.5086832429520365,2.6777098957006293,0.32229010429937066,True,1.8086832429520365,2.9277098957006293,0.5722901042993707,0.5086832429520365,2.0070236402721573,1.8086832429520365,2.2070236402721566
s4_governor_selection_environment_reference,recovery,phi_ref_deg=0.0,0.06,1.8374815422056394,2.392756839913907,2.6626785083666733,1.1609800011301858,-0.04998537221565606,-0.0094790914372746,6.459984898234629,0.4910306473326459,0.11591524890762259,-2.301400426931386,-0.35957007365723803,-0.04647013149847001,-0.31544593253424685,-0.09318538085917952,-0.0064305007543137924,-0.4537856055185257,-0.4537856055185257,-0.07113454565778664,-0.07113454565778664,-0.022830962636817154,-0.022830962636817158,-1.0,-0.13585697479239436,-0.03737479432315704,-26.0,-4.075709243771831,-1.3081178013104964,-26.0,-26.0,-4.075709243771831,-1.3081178013104964,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.479656806264411,0.017941653525057746,0.07585306616198502,-0.12668880833683102,0.8187058458640627,none,panel,none,True,0.6374815422056395,2.6626785083666733,0.3373214916333267,True,1.9374815422056395,2.9126785083666733,0.5873214916333267,0.6374815422056395,2.007243160086093,1.9374815422056395,2.2072431600860924
s4_governor_selection_environment_reference,recovery,phi_ref_deg=0.0,0.08,1.9657665580565566,2.393972642912208,2.6449358523682225,1.1083240374777534,-0.05273191250238082,-0.017233947316941396,6.43938497241382,0.6420995790026676,0.09603168707523682,-2.977724285472158,-0.4520634585190796,-0.028566663407331647,-0.3606793728096619,-0.08597533680176314,-0.011793021114874007,-0.4537856055185257,-0.4537856055185257,-0.061842851675482396,-0.061842851675482396,-0.03249588927082011,-0.03249588927082011,-1.0,-0.1181111464686231,-0.053196494478355616,-26.0,-3.543334394058693,-1.8618773067424466,-26.0,-26.0,-3.543334394058693,-1.8618773067424466,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.472031580363839,0.014912071447247146,0.09937492098116184,-0.14826118229357557,0.9560395397989777,none,panel,none,True,0.7657665580565567,2.6449358523682225,0.3550641476317775,True,2.0657665580565565,2.8949358523682225,0.6050641476317775,0.7657665580565567,2.0060273570877922,2.0657665580565565,2.2060273570877915
s4_governor_selection_environment_reference,recovery,phi_ref_deg=0.0,0.1,2.093486533248106,2.396281528731142,2.624429663873369,1.043703446033719,-0.057071460762250226,-0.02582215850562545,6.417756576233787,0.7832769478276318,0.10472615136995879,-3.5126896025562058,-0.5031718235915159,0.005757856736141043,-0.3911226659420946,-0.07808464788289449,-0.018562315345952617,-0.4537856055185257,-0.4537856055185257,-0.054514732643604645,-0.054514732643604645,-0.04296174166698132,-0.04296174166698132,-1.0,-0.10411547005875343,-0.07032932794426754,-26.0,-3.123464101762603,-2.4615264780493638,-26.0,-26.0,-3.123464101762603,-2.4615264780493638,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.466226860818522,0.01631673872407012,0.12143175179454298,-0.1700874566669228,1.094528808352297,none,panel,none,True,0.8934865332481061,2.624429663873369,0.37557033612663115,True,2.193486533248106,2.874429663873369,0.6255703361266312,0.8934865332481061,2.0037184712688583,2.193486533248106,2.2037184712688576
s4_governor_selection_environment_reference,recovery,phi_ref_deg=0.0,0.12,2.2206190906120695,2.3994948091051134,2.6011709123980995,0.9694095889092871,-0.06303783033157331,-0.03424473390730722,6.396823080659298,0.9094647313116528,0.14039144132771003,-3.9552636533039984,-0.5224219225138472,0.050556270013554824,-0.4116118016590379,-0.07037790454402472,-0.026540287025646155,-0.43350836327157605,-0.43350836327157605,-0.04834366258309518,-0.04834366258309518,-0.05346253820280371,-0.0534625382028037,-0.955315369195593,-0.09232959440719564,-0.08751936574507375,-24.838199599085417,-2.7698878322158693,-3.063177801077581,-24.838199599085417,-24.838199599085417,-2.7698878322158693,-3.063177801077581,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.462676023100134,0.02194353433461728,0.14119439029062664,-0.1915958191604723,1.2306599610695361,none,panel,none,True,1.0206190906120696,2.6011709123980995,0.3988290876019005,True,2.2005051908948863,2.8511709123980995,0.6488290876019005,1.0206190906120696,2.000505190894887,2.3206190906120696,2.2005051908948863
s4_governor_selection_environment_reference,recovery,phi_ref_deg=0.0,0.14,2.3471665323742443,2.4035591104106806,2.575250874051042,0.8870142825780476,-0.07045688919417399,-0.04164695999131125,6.378541097228049,1.0159738191455734,0.19837250222268538,-4.318711809499565,-0.5067174495208343,0.10292905132659548,-0.41877140230411275,-0.06317328604050249,-0.03534315618408395,-0.28472182131592205,-0.28472182131592205,-0.04369213310576158,-0.04369213310576158,-0.06349164323916343,-0.06349164323916343,-0.627436872949242,-0.08344582749613201,-0.10393723405583975,-16.313358696680293,-2.5033748248839602,-3.6378031919543914,-16.313358696680293,-16.313358696680293,-2.5033748248839602,-3.6378031919543914,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.461992028767487,0.03108995935193964,0.15787805466581656,-0.21199389447201927,1.3596649939078906,none,panel,none,True,1.1471665323742444,2.575250874051042,0.4247491259489582,True,2.196440889589319,2.825250874051042,0.6747491259489582,1.1471665323742444,1.9964408895893198,2.4471665323742444,2.196440889589319
s4_governor_selection_environment_reference,recovery,phi_ref_deg=0.0,0.16,2.473201672345559,2.408593426294129,2.54689238658237,0.7987934182867859,-0.0786463138794862,-0.046800587489205944,6.368497321281447,1.099877313660261,0.26781733370977984,-4.493460609332665,-0.3984970495841379,0.17253790235062844,-0.37494070945389324,-0.056803460604599,-0.044546972273731104,-0.159719062622238,-0.15971906262223803,-0.04554494962131826,-0.04554494962131826,-0.07360781617566986,-0.07360781617566986,-0.3519703152323053,-0.08698444638124977,-0.12049763445830498,-9.151228196039938,-2.6095333914374934,-4.2174172060406745,-9.151228196039938,-9.151228196039938,-2.6095333914374934,-4.2174172060406745,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.468323922045718,0.042028693708602766,0.17087081139319882,-0.22961848136188337,1.4722295614801606,none,panel,none,True,1.2732016723455593,2.54689238658237,0.4531076134176302,True,2.1914065737058706,2.79689238658237,0.7031076134176302,1.2732016723455593,1.9914065737058713,2.5732016723455593,2.1914065737058706
s4_governor_selection_environment_reference,recovery,phi_ref_deg=0.0,0.18,2.598946632605153,2.414929431190704,2.5165250545639952,0.7097675918694308,-0.08606487774044677,-0.04781248957392972,6.3714930998614765,1.1591850625131705,0.34327805427177893,-4.355035794941707,-0.19776241412908496,0.26997807724651524,-0.30456888264581283,-0.05312222316080219,-0.05404910509387223,-0.08393862386570083,-0.08393862386570083,-0.05499488986463078,-0.05499488986463078,-0.08449661438549105,-0.08449661438549105,-0.1849741879092594,-0.10503250280100437,-0.13832283964094386,-4.809328885640745,-3.150975084030131,-4.841299387433035,-4.809328885640745,-4.809328885640745,-3.150975084030131,-4.841299387433035,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,6.485173409653799,0.053825135812939524,0.1797096234450567,-0.24288313091616587,1.559698012918753,none,panel,none,True,1.398946632605153,2.5165250545639952,0.4834749454360048,True,2.1850705688092957,2.7665250545639952,0.7334749454360048,1.398946632605153,1.9850705688092964,2.698946632605153,2.1850705688092957
