scenario_id,primitive,phase,t_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,desired_delta_a_cmd_rad,target_delta_a_cmd_rad,desired_delta_e_cmd_rad,target_delta_e_cmd_rad,desired_delta_r_cmd_rad,target_delta_r_cmd_rad,command_norm_a,command_norm_e,command_norm_r,delta_a_target_deg,delta_e_target_deg,delta_r_target_deg,aileron_l_deg,aileron_r_deg,elevator_deg,rudder_deg,latency_mode,latency_s,latency_range_s,onset_latency_s,half_response_s,actuator_tau_s,vicon_filter_cutoff_hz,speed_m_s,alpha_rad,beta_rad,gamma_rad,sink_rate_m_s,wind_model,wind_mode,wind_param_label,inside_safe_volume,min_wall_distance_m,floor_margin_m,ceiling_margin_m
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=0.0,0.0,4.2,2.4,2.7,0.0,-0.048082795413418776,0.0,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,0.0,-0.10060848524273196,-0.10060848524273196,-0.0,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.5,0.053299466674997555,0.0,-0.10138226208841634,0.6578564029119558,none,panel,,True,1.15,2.45,0.5499999999999998
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=0.3,0.02,4.329332478447135,2.4,2.6868428719425554,-1.2528950374925971e-17,-0.048082795413525364,2.233101532564673e-18,6.490769477781156,-1.5020371985165164e-17,0.3462825238117898,-1.1724296781013818e-14,-3.6891972748460027e-11,1.986775788314596e-16,0.0,-0.10060848524273196,0.0,0.008123714336557555,0.0,-0.10060848523893662,-0.10060848524273196,-1.4854334399851398e-17,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.4999999999994555,0.05329946666355876,-2.3108264592563725e-18,-0.10138226207708413,0.6578564028386196,none,panel,,True,1.15,2.4368428719425554,0.5631571280574446
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=0.6,0.04,4.458664956894377,2.4,2.6736857438862947,-3.8596663529523766e-16,-0.04808279541513411,2.0770164648538746e-17,6.490769477783447,-4.9886861011376805e-17,0.34628252375405005,-2.6496591672696567e-14,-1.3108949840229515e-10,1.769519094367043e-15,0.0,-0.10060848524273196,0.0,0.016247428673116234,0.0,-0.10060848522761794,-0.10060848524273196,-1.3810782178703665e-16,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.499999999998667,0.05329946665466956,-7.674901694059545e-18,-0.10138226206980366,0.6578564027914597,none,panel,,True,1.15,2.4236857438862947,0.5763142561137053
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=0.9,0.06,4.587997435341679,2.4,2.660528615830764,-1.0059595684727714e-15,-0.048082795418807646,7.863139928956497e-17,6.4907694777855545,-3.4680446569555993e-16,0.3462825237035187,-3.4599901113360825e-14,-2.376034725063833e-10,4.069340899027613e-15,0.0,-0.10060848524273196,0.0,0.02437114300967411,0.0,-0.10060848521258178,-0.10060848524273196,-3.015377319894324e-16,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.49999999999808,0.053299466646889275,-5.335453318394806e-17,-0.10138226206569692,0.6578564027648435,none,panel,,True,1.15,2.410528615830764,0.5894713841692361
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=1.2,0.08,4.71732991378901,2.4,2.647371487775582,-1.7359576686290776e-15,-0.04808279542461824,1.8484428110124438e-16,6.490769477788088,-1.0301565741038161e-15,0.34628252365719303,-3.729380674043099e-14,-3.431012886303642e-10,6.537209263406096e-15,0.0,-0.10060848524273196,0.0,0.032494857346231185,0.0,-0.1006084851950568,-0.10471975511965978,-4.516582090191263e-16,0.0,0.0,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.499999999998142,0.053299466639751596,-1.5848562678524778e-16,-0.10138226206436983,0.6578564027562681,none,panel,,True,1.15,2.397371487775582,0.6026285122244182
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=1.5,0.1,4.846662375509549,2.4000000000336255,2.6342161668473136,-5.03478896286502e-09,-0.048104722882033116,2.600026631041559e-10,6.490761230599327,-5.622193958826288e-10,0.3459069808381015,-8.949861414158932e-07,-0.0033725662813476297,3.053290668413703e-08,0.0,-0.10192219518572027,0.0,0.040618740835944925,0.0,-0.10024604490996213,-0.10471975511965978,-2.40370948442311e-09,0.0,0.2,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.4999717685574465,0.05324184021166936,-8.64956673507835e-11,-0.10134656309370248,0.657622694255292,none,panel,,True,1.1499999999663744,2.3842161668473136,0.6157838331526864
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=1.7,0.12,4.975994614798913,2.400000000233206,2.6210682815790087,-3.248361552211799e-08,-0.04823381033390879,1.9179240915054995e-09,6.490765795652272,-5.657309937858795e-09,0.34462110116214145,-1.8643009087746036e-06,-0.009940048078750202,1.4360744866880862e-07,0.0,-0.10281612392582729,0.0,0.048742673567280966,0.0,-0.09943694157975802,-0.10471975511965978,-1.1096930432589028e-08,0.0,0.2,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.499908023762773,0.053044252721245855,-8.70367690923694e-10,-0.10127806305515465,0.6571732841220366,none,panel,,True,1.149999999766794,2.3710682815790087,0.6289317184209913
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=2.0,0.14,5.105326255675089,2.400000000790527,2.607927716025257,-7.65252145521465e-08,-0.04850817336818538,6.38194336724575e-09,6.490807738007952,-2.9600322941721057e-08,0.3426207422580901,-2.4761962406212657e-06,-0.017630280340781814,3.055859643305925e-07,0.0,-0.10342440781425671,0.0,0.056866568511554576,0.0,-0.09834123738440358,-0.10471975511965978,-2.239757488594556e-08,0.0,0.2,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.499844156963257,0.052736588551586173,-4.554005023337421e-09,-0.10124476191977175,0.6569514834669951,none,panel,,True,1.1499999992094727,2.357927716025257,0.642072283974743
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=2.3,0.16,5.234656842430293,2.400000001737939,2.5947864407637944,-1.2984289694672613e-07,-0.048940674791687414,1.4329402000017498e-08,6.4909095881247865,-8.061224610079249e-08,0.34015311642939355,-2.7774459545040205e-06,-0.025649522517952533,4.844584535111935e-07,0.0,-0.10383832144329892,0.0,0.06499042238135032,0.0,-0.09702142730603953,-0.10471975511965978,-3.317567071243425e-08,0.0,0.2,-0.2,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.49981626077437,0.05235664488755782,-1.2402234596580514e-08,-0.10129731967924639,0.6572885294473413,none,panel,,True,1.1499999982620608,2.3447864407637944,0.6552135592362056
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=2.6,0.18,5.363986080547574,2.4000000030022792,2.5816309498990853,-1.8714852734469316e-07,-0.04953384905106301,2.588360291186428e-08,6.491095678047071,-1.613583141696454e-07,0.33741758266697586,-2.8686541289472507e-06,-0.03365186569281467,6.579222981396288e-07,0.0,-0.10411997363821279,0.0,0.07311424482438578,0.07679448708775051,-0.09550765367160528,-0.10471975511965978,-4.146258219696061e-08,0.0,0.2,-0.2,0.0,4.4,-6.000000000000001,0.0,4.4,-4.4,-6.000000000000001,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.499859515916803,0.05193486285686546,-2.482489256491044e-08,-0.1014687119079322,0.658401208633294,none,panel,,True,1.1499999969977206,2.3316309498990853,0.6683690501009147
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=2.9,0.2,5.493313783015326,2.4000096177093706,2.5684442980233513,0.0005518411557570419,-0.05028512885804348,3.408608172312189e-05,6.491347675517484,0.0014415803287114058,0.3345650057053838,0.08316185544937098,-0.0414240664282327,0.00516153036513174,0.024538812647651436,-0.10431162704929607,0.0,0.06538506353545621,0.07679448708775051,-0.09382472319147228,-0.10471975511965978,-0.0005127246996581373,0.0,0.2,-0.2,0.0,4.4,-6.000000000000001,0.0,4.4,-4.4,-6.000000000000001,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.499963881872169,0.05149458155922196,0.0002217828232168846,-0.10177982290734316,0.6604235574048,none,panel,,True,1.1499903822906292,2.3184442980233513,0.6815557019766487
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=3.2,0.22,5.622638169503849,2.4000665230343534,2.55520739897642,0.003569016619067839,-0.05118775456495246,0.00021346796550125897,6.4915641161771305,0.00422414266587421,0.33171312179458146,0.22397793965486623,-0.0487139102863045,0.013058819165771021,0.04123652433881784,-0.10444203977336908,0.0,0.043334401973725206,0.07679448708775051,-0.09200973981146249,-0.10471975511965978,-0.001337144621425176,0.0,0.2,-0.2,0.0,4.4,-6.000000000000001,0.0,4.4,-4.4,-6.000000000000001,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.500035085519965,0.051054700105975716,0.0006498646403633207,-0.1022444351994778,0.6634350880323482,none,panel,,True,1.1499334769656464,2.30520739897642,0.6947926010235799
s1_latency_nominal_no_wind,bank_reversal,phi_ref_deg=3.5,0.24,5.751956631499258,2.400191297995978,2.5419000221411636,0.009365207830821266,-0.052232355306449624,0.0005341824594080715,6.491780085033565,0.007844081529431685,0.32893693591467416,0.3543675850717294,-0.05544648441312026,0.01931902259495885,0.05259867049172063,-0.10453078058160208,0.0,0.01871407419643978,0.07679448708775051,-0.09007984278491751,-0.10471975511965978,-0.0020885642925288126,0.0,0.0,-0.2,0.0,4.4,-6.000000000000001,0.0,4.4,-4.4,-6.000000000000001,0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.500113053621635,0.05062646262583099,0.0012067610776268986,-0.10286786079713726,0.6674740906662575,none,panel,,True,1.1498087020040217,2.2919000221411636,0.7080999778588364
