scenario_id,primitive,phase,t_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,desired_delta_a_cmd_rad,target_delta_a_cmd_rad,desired_delta_e_cmd_rad,target_delta_e_cmd_rad,desired_delta_r_cmd_rad,target_delta_r_cmd_rad,command_norm_a,command_norm_e,command_norm_r,delta_a_target_deg,delta_e_target_deg,delta_r_target_deg,aileron_l_deg,aileron_r_deg,elevator_deg,rudder_deg,latency_mode,latency_s,latency_range_s,onset_latency_s,half_response_s,actuator_tau_s,vicon_filter_cutoff_hz,speed_m_s,alpha_rad,beta_rad,gamma_rad,sink_rate_m_s,wind_model,wind_mode,wind_param_label,inside_safe_volume,min_wall_distance_m,floor_margin_m,ceiling_margin_m
s4_gaussian_single_panel_randomised_control_reference,nominal_glide,trim,0.0,1.45,2.4,2.7,0.0,-0.048082795413418776,0.0,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,0.0,-0.10060848524273196,-0.10060848524273196,-0.0,-0.0,0.0,-0.19214805292042555,-0.0,0.0,-5.764441587612767,-0.0,0.0,-0.0,-5.764441587612767,-0.0,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.499344660722357,0.05230343194841389,0.0,-0.10038622736183266,0.6578564029119558,single_gaussian_var_randomised,panel,"{""centre_shift_m"":[0.18018547853037414,-0.14233615491214652],""residual_scale"":""not_applied"",""strength_scale"":1.003546487410077,""temporal_variation_scale"":""not_applied"",""vertical_decay_scale"":""not_applied"",""width_scale"":1.1345948341411731}",True,0.19999999999999996,2.45,0.5499999999999998
s4_gaussian_single_panel_randomised_control_reference,nominal_glide,trim,0.02,1.5793297532600683,2.4000000154276626,2.6868186435765757,9.817292984003434e-07,-0.04815898766476183,8.952948152884833e-08,6.490657344785319,1.4178850246724403e-06,0.34797633693062524,0.00010454667076015311,-0.005420326361818383,9.517278930456988e-06,0.0,-0.10060848524273196,0.0,-1.1141877584895552e-05,-1.1141877584895552e-05,-0.10012238517932831,-0.10012238517932832,-6.364777997353224e-07,-6.364777997353224e-07,-2.4553175440997295e-05,-0.19121967018528988,-1.04192833367448e-06,-0.0006383825614659297,-5.736590105558697,-3.64674916786068e-05,-0.0006383825614659297,-0.0006383825614659297,-5.736590105558697,-3.64674916786068e-05,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.499340734147638,0.05259469665213182,2.1720620403761313e-07,-0.1007536843170799,0.6600355587181719,single_gaussian_var_randomised,panel,"{""centre_shift_m"":[0.18018547853037414,-0.14233615491214652],""residual_scale"":""not_applied"",""strength_scale"":1.003546487410077,""temporal_variation_scale"":""not_applied"",""vertical_decay_scale"":""not_applied"",""width_scale"":1.1345948341411731}",True,0.3293297532600683,2.4368186435765757,0.5631813564234243
s4_gaussian_single_panel_randomised_control_reference,nominal_glide,trim,0.04,1.7086558470530535,2.4000000729525444,2.673602442078621,4.447999235022831e-06,-0.04826970146359237,4.125913983946443e-07,6.490632003649402,3.3111109046394435e-06,0.3486886370602248,0.0002585153387511373,-0.00461365382563344,2.4276554484831496e-05,-3.560261380304608e-06,-0.10045315744725826,-2.033793059161636e-07,-2.8965133339629714e-05,-2.8965133339629714e-05,-0.10010890463279379,-0.10010890463279379,-1.609413975709623e-06,-1.609413975709623e-06,-6.382999589978668e-05,-0.19119392423789128,-2.6346465227866227e-06,-0.001659579893394454,-5.735817727136738,-9.221262829753179e-05,-0.001659579893394454,-0.001659579893394454,-5.735817727136738,-9.221262829753179e-05,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.499394949790608,0.05276922738179144,5.054251771284388e-07,-0.10103892884710404,0.6614617199419156,single_gaussian_var_randomised,panel,"{""centre_shift_m"":[0.18018547853037414,-0.14233615491214652],""residual_scale"":""not_applied"",""strength_scale"":1.003546487410077,""temporal_variation_scale"":""not_applied"",""vertical_decay_scale"":""not_applied"",""width_scale"":1.1345948341411731}",True,0.4586558470530535,2.423602442078621,0.5763975579213789
s4_gaussian_single_panel_randomised_control_reference,nominal_glide,trim,0.06,1.8379802344531513,2.400000209636188,2.6603637587876907,1.1994394363043808e-05,-0.048324230069794374,1.1381880782114945e-06,6.490651845135918,6.791571824529354e-06,0.34914529078389983,0.0005317422053586658,-7.962276598809208e-05,5.145404451789942e-05,-1.167810182678233e-05,-0.1003431553411446,-6.52661834475009e-07,-6.157029658999725e-05,-6.157029658999725e-05,-0.1004316840616327,-0.1004316840616327,-3.400698111697026e-06,-3.4006981116970263e-06,-0.00013568146684521412,-0.19181038753742838,-5.567018548524235e-06,-0.003527718137975567,-5.754311626122852,-0.00019484564919834823,-0.003527718137975567,-0.003527718137975567,-5.754311626122852,-0.00019484564919834823,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.499527250525918,0.05297359290584526,1.035700559522325e-06,-0.10129782298423323,0.6622713935465115,single_gaussian_var_randomised,panel,"{""centre_shift_m"":[0.18018547853037414,-0.14233615491214652],""residual_scale"":""not_applied"",""strength_scale"":1.003546487410077,""temporal_variation_scale"":""not_applied"",""vertical_decay_scale"":""not_applied"",""width_scale"":1.1345948341411731}",True,0.5879802344531513,2.4103637587876907,0.5896362412123093
s4_gaussian_single_panel_randomised_control_reference,nominal_glide,trim,0.08,1.9673049127369175,2.400000506308993,2.6471175107795646,2.7068803692682865e-05,-0.04825175112234821,2.62931479724984e-06,6.490691862947276,1.35609736708364e-05,0.3494729175615568,0.0010436397958368394,0.008257696650834898,0.00010346305918549237,-2.7620590230614044e-05,-0.10037144369579579,-1.5307658483561947e-06,-0.00012331214216856196,-0.00012331214216856196,-0.10114710222061449,-0.10114710222061449,-6.833665665211751e-06,-6.833665665211751e-06,-0.00027174097342214565,-0.19317673557398424,-1.1186862892002672e-05,-0.007065265308975787,-5.795302067219527,-0.00039154020122009355,-0.007065265308975787,-0.007065265308975787,-5.795302067219527,-0.00039154020122009355,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.499761755422686,0.05329095194629883,2.072810436974965e-06,-0.10154270310516887,0.6621319035952008,single_gaussian_var_randomised,panel,"{""centre_shift_m"":[0.18018547853037414,-0.14233615491214652],""residual_scale"":""not_applied"",""strength_scale"":1.003546487410077,""temporal_variation_scale"":""not_applied"",""vertical_decay_scale"":""not_applied"",""width_scale"":1.1345948341411731}",True,0.7173049127369175,2.3971175107795646,0.6028824892204354
s4_gaussian_single_panel_randomised_control_reference,nominal_glide,trim,0.1,2.0966324364219724,2.4000011191256214,2.633888943375487,5.617102865315373e-05,-0.04796208252151285,5.580408460114511e-06,6.49072621519073,2.6271817163704545e-05,0.3495568084353466,0.001986722700454779,0.022153031056064212,0.0002009910374147151,-5.819774692527559e-05,-0.1006192966334335,-3.225247705450858e-06,-0.00023799199010268553,-0.00023799199010268553,-0.10245994445573978,-0.10245994445573978,-1.3271983018236407e-05,-1.3271983018236407e-05,-0.0005244590996462746,-0.19568407954862424,-2.1726531791835602e-05,-0.01363593659080314,-5.8705223864587275,-0.000760428612714246,-0.01363593659080314,-0.01363593659080314,-5.8705223864587275,-0.000760428612714246,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.500139818106651,0.0538145228280604,4.04239043929917e-06,-0.10177660549152298,0.6603442392534978,single_gaussian_var_randomised,panel,"{""centre_shift_m"":[0.18018547853037414,-0.14233615491214652],""residual_scale"":""not_applied"",""strength_scale"":1.003546487410077,""temporal_variation_scale"":""not_applied"",""vertical_decay_scale"":""not_applied"",""width_scale"":1.1345948341411731}",True,0.8466324364219724,2.383888943375487,0.6161110566245132
s4_gaussian_single_panel_randomised_control_reference,nominal_glide,trim,0.12,2.2259664023208168,2.4000023325419546,2.6207216717397,0.00011062081835401535,-0.047313880914755316,1.1241936447167145e-05,6.490717808457708,4.898050579054467e-05,0.3491476372275864,0.0036593450592129536,0.0449872902446852,0.0003776022059018844,-0.00011564897051916939,-0.1012074548955008,-6.435568718198569e-06,-0.0004433690787691061,-0.0004433690787691061,-0.10474164173852943,-0.10474164173852943,-2.4916735722980954e-05,-2.4916735722980954e-05,-0.0009770452684643512,-0.2000418003629681,-4.0789251319133106e-05,-0.02540317698007313,-6.001254010889043,-0.0014276237961696587,-0.02540317698007313,-0.02540317698007313,-6.001254010889043,-0.0014276237961696587,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.500730445804445,0.05468948707017182,7.640064292353659e-06,-0.10200336849473393,0.6557433945664557,single_gaussian_var_randomised,panel,"{""centre_shift_m"":[0.18018547853037414,-0.14233615491214652],""residual_scale"":""not_applied"",""strength_scale"":1.003546487410077,""temporal_variation_scale"":""not_applied"",""vertical_decay_scale"":""not_applied"",""width_scale"":1.1345948341411731}",True,0.9759664023208168,2.3707216717397,0.6292783282603001
s4_gaussian_single_panel_randomised_control_reference,nominal_glide,trim,0.14,2.355312063181116,2.400004645245572,2.607688979117329,0.00020902996175194851,-0.04607994300822697,2.1786302230927084e-05,6.490608924654179,8.752688356785063e-05,0.34787214088834095,0.006502112711342769,0.08202343957188496,0.0006861741934916826,-0.00022036823673451733,-0.10233676446044102,-1.2341017297106406e-05,-0.0007965322443606408,-0.0007965322443606408,-0.10857537481157538,-0.10857537481157538,-4.5210200815946096e-05,-4.5210200815946096e-05,-0.0017553052249210726,-0.20736369119180983,-7.401010564836063e-05,-0.04563793584794789,-6.220910735754295,-0.002590353697692622,-0.04563793584794789,-0.04563793584794789,-6.220910735754295,-0.002590353697692622,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.501637235037826,0.05614653184939813,1.400821183707788e-05,-0.10222647655683705,0.6464839434857594,single_gaussian_var_randomised,panel,"{""centre_shift_m"":[0.18018547853037414,-0.14233615491214652],""residual_scale"":""not_applied"",""strength_scale"":1.003546487410077,""temporal_variation_scale"":""not_applied"",""vertical_decay_scale"":""not_applied"",""width_scale"":1.1345948341411731}",True,1.105312063181116,2.357688979117329,0.642311020882671
s4_gaussian_single_panel_randomised_control_reference,nominal_glide,trim,0.16,2.484677073023523,2.4000089061081527,2.594910200930981,0.0003804665751783206,-0.04390636150777184,4.090677101102594e-05,6.490312003022803,0.00014947503829418574,0.3452122006990826,0.011128231044854064,0.14072234169233366,0.0012076595352880836,-0.00040447495029719796,-0.10433024207053634,-2.2843994357535728e-05,-0.0013791497071102307,-0.001379149707110231,-0.11481032671672778,-0.11481032671672778,-7.935896536732931e-05,-7.935896536732932e-05,-0.0030392099051584557,-0.21927157217955265,-0.0001299123937735096,-0.07901945753411986,-6.5781471653865795,-0.0045469337820728374,-0.07901945753411986,-0.07901945753411986,-6.5781471653865795,-0.0045469337820728374,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.502995982433511,0.058533313165604804,2.504571328764275e-05,-0.10243967995889472,0.6297539772359468,single_gaussian_var_randomised,panel,"{""centre_shift_m"":[0.18018547853037414,-0.14233615491214652],""residual_scale"":""not_applied"",""strength_scale"":1.003546487410077,""temporal_variation_scale"":""not_applied"",""vertical_decay_scale"":""not_applied"",""width_scale"":1.1345948341411731}",True,1.1499910938918472,2.344910200930981,0.6550897990690192
s4_gaussian_single_panel_randomised_control_reference,nominal_glide,trim,0.18,2.614072173566282,2.400016527935625,2.582573142058346,0.0006680634404070037,-0.040265500204549096,7.48174209161069e-05,6.489702813525092,0.00024288992075737967,0.34050594644161614,0.018333170978003462,0.23104942981276871,0.0020630481767448523,-0.000715921281366519,-0.10767903497764388,-4.0902716252664935e-05,-0.002300961506085249,-0.0023009615060852495,-0.12461936138627677,-0.12461936138627679,-0.00013499555857938934,-0.00013499555857938934,-0.005070591658490395,-0.23800544843497465,-0.00022099073598885944,-0.13183538312075027,-7.14016345304924,-0.0077346757596100804,-0.13183538312075027,-0.13183538312075027,-7.14016345304924,-0.0077346757596100804,nominal,0.111,0.101000:0.121000,0.075,0.111,0.051937021472002694,20.0,6.504950158397869,0.06234421983009223,4.3991937794974474e-05,-0.10260973549029519,0.601470561619719,single_gaussian_var_randomised,panel,"{""centre_shift_m"":[0.18018547853037414,-0.14233615491214652],""residual_scale"":""not_applied"",""strength_scale"":1.003546487410077,""temporal_variation_scale"":""not_applied"",""vertical_decay_scale"":""not_applied"",""width_scale"":1.1345948341411731}",True,1.149983472064375,2.332573142058346,0.667426857941654
