split,session_label,calibration_profile_hash,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,replay_status,replay_policy,replay_dt_s,alignment_window_s,alignment_elapsed_s,alignment_sample_count,alignment_method,replay_command_source,actual_termination_group,sim_first_exit_reason,sim_first_exit_time_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,actual_x_end_m,actual_y_end_m,actual_z_end_m,sim_x_end_m,sim_y_end_m,sim_z_end_m,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_glide_ratio_x_over_altloss,sim_glide_ratio_x_over_altloss,glide_ratio_residual_actual_minus_sim,actual_final_phi_deg,sim_final_phi_deg,actual_final_theta_deg,sim_final_theta_deg,actual_final_psi_deg,sim_final_psi_deg,max_abs_sim_phi_deg,max_abs_sim_theta_deg,max_abs_sim_p_rad_s,max_abs_sim_q_rad_s,max_abs_sim_r_rad_s
heldout,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v001,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1513954,24,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.405,1.5276528,2.328928467,2.385767034,1.651389997,5.569593333,3.031241229,0.5226862173,0.48563715,1.3116633,-1.338958907,11.38080413,14.07569594,-15.57649318,5.927079753,3.435220393,0.385102216,5.899676516,4.45703869,-0.03314817951,3.598151285,3.570748049,0.02740323654,1.049453359,2.071271656,-1.021818297,1.266287781,1.684538177,-0.4182503955,0.8289107194,1.102697011,-0.2737862919,2.8414957,2.119719278,0.7217764211,54.1163167,33.39559497,-29.06220453,-2.39052816,0.6891936255,104.9194096,38.24245024,32.31032053,1.40392517,1.3116633,2.229662712
train,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v002,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1518833,25,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.885,1.252033,2.110275926,2.249039654,1.464637496,5.665123065,0.9838026357,0.1104701019,0.3024649862,0.00699666851,-0.9545587879,8.21557256,-8.000878532,-0.8036435923,6.610438375,2.894930679,0.739510033,8.025841723,3.340385993,0.4318067677,4.500162449,5.915565797,-1.415403348,0.645891025,1.091346338,-0.4454553133,0.7251274628,1.032830728,-0.3077032653,0.5791600244,0.8249229279,-0.2457629034,6.206029532,5.727526918,0.4785026143,2.508813611,3.357972214,-7.785842867,18.50297453,-12.61622253,13.06576431,8.485339662,18.50297453,0.5030551883,0.9428525341,0.9877235951
train,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1507948,25,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,1.01,1.4019639,2.22336245,2.324182818,1.478904878,5.67564088,2.545454057,0.6890445577,-0.2144071483,0.4060793967,-1.641654902,1.04293234,-2.729513501,-14.05927591,6.601986653,4.172701406,0.5038975579,7.239186043,2.045774259,0.2214381039,4.378624203,5.015823593,-0.6371993899,1.848518587,-0.2784085594,2.126927147,0.9750073202,1.257466774,-0.2824594541,0.6954582213,0.8969323492,-0.2014741279,4.490862901,3.988831908,0.5020309931,23.43190799,5.831189092,-26.97597145,32.6891196,-42.28702233,5.99960228,19.85971566,32.6891196,1.325648766,0.8961082097,1.641654902
train,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1552674,25,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.36,1.461225,2.194930795,2.300726877,1.564258036,5.758360838,1.409928329,1.039362857,0.03744567483,0.8945951038,-0.5099540557,-0.7621678918,7.269160952,-6.148901721,6.214737658,3.192346876,0.3964261434,6.014137664,2.901622052,0.1325075307,4.019806862,3.819206868,0.2005999941,0.8916199995,0.6008951756,0.2907248239,1.167831893,1.431750506,-0.2639186127,0.7992142846,0.9798289146,-0.18061463,3.442110878,2.667508657,0.7746022212,-1.345594094,10.5144626,-21.31486811,35.10835751,-28.76846849,24.46263345,13.23881252,37.72342031,0.5884292643,1.576888461,0.7269782842
heldout,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1532323,25,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.27,1.4633325,2.172799331,2.291582944,1.480772664,5.19943295,3.06240702,1.140921648,-0.04029394773,1.24799631,-1.210660352,-0.1552058818,6.966605258,-18.73501815,6.406231333,4.163512092,0.3891906427,6.087298366,3.405774578,-0.1410935832,4.233432002,3.914499036,0.3189329663,1.871929148,1.114191635,0.7577375133,1.091582021,1.621866247,-0.530284226,0.7459562477,1.108337474,-0.3623812264,3.878253692,2.413576979,1.464676713,13.61884809,21.10824065,-23.16001735,28.00756714,-40.06072816,49.49667335,23.78576,31.95015409,0.9623215308,1.325970787,1.326715045
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v001,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1550138,26,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,1.06,1.2450946,2.214380996,2.244233689,1.42553393,5.884759529,1.293454209,0.8024784159,-0.03943791838,0.7975849266,-0.8713547207,6.405540514,2.888894667,-8.113507519,6.605002223,2.480886105,0.7137017796,6.906805173,2.987751745,0.8880797652,4.390621227,4.692424178,-0.3018029509,0.2366524159,0.7435180561,-0.5068656402,0.7118321501,0.5374541645,0.1743779856,0.5717092903,0.4316572929,0.1400519973,6.168056931,8.730836019,-2.562779088,20.62370713,28.01674703,-21.80679381,24.81041185,-0.3374037699,40.09157762,28.01674703,26.48713556,0.855587862,0.9312353014,1.021948302
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v002,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1558807,21,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.105,1.4464832,2.223856096,2.115745672,1.474987754,5.807067143,2.007584704,0.2423321088,0.6572962959,0.7185015023,-1.30125753,16.37248182,3.976474411,-11.62757136,5.772558134,1.792611104,0.3761332299,6.705453683,4.77622899,-0.1203620345,3.548702038,4.481597587,-0.9328955489,-0.3231345678,2.660483319,-2.983617886,1.098854524,1.595349788,-0.4964952645,0.7596732019,1.102916224,-0.3432430217,3.229455729,2.809162993,0.420292736,42.68150748,42.66534416,-7.778893711,-23.42760252,35.13254747,101.4646927,46.82741642,23.42760252,0.9138085946,1.075988853,2.100327872
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1555286,26,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.83,1.5467092,2.367132569,2.189925894,1.436635787,6.658588631,0.6231419074,1.116905269,0.3546468506,0.8704367787,-0.2071693866,0.5809706871,2.618710554,-0.04058762482,6.614225466,2.655122822,0.527280452,8.261825794,2.818277484,0.759958129,4.247092897,5.894693225,-1.647600328,0.4651969273,0.6283515891,-0.1631546618,0.9093553351,0.676677658,0.2326776771,0.5879290917,0.4374950753,0.1504340163,4.670443701,8.711227798,-4.040784097,22.30866354,1.14208142,-26.03879478,32.02972758,0.5953268888,7.440290225,2.509271967,32.02972758,0.3546468506,0.8719293523,0.425353842
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1504339,21,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.02,1.1937389,2.117410946,2.31309579,1.432133468,4.654937438,1.941202629,0.8750942884,-0.09587625657,0.5495614838,-0.6744312816,-2.481127828,-1.876789682,-13.4229244,5.85120592,3.315207602,0.3957346631,6.044430866,2.408482096,0.06902785197,3.733794973,3.92701992,-0.1932249464,1.002111812,0.09538630666,0.9067255058,1.036398805,1.363105616,-0.3267068111,0.8681955538,1.141879197,-0.2736836432,3.602662367,2.88093591,0.7217264571,-2.196152183,3.554010266,-16.15052408,25.624686,-21.39585697,9.194479947,12.57599725,25.624686,0.6974628999,0.9174585292,0.7783961306
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.15,0.1503889,25,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.17,1.423081,2.094390732,2.35022973,1.49397222,4.57097687,3.52589782,0.6290277657,-0.08564948479,0.1355257144,-1.165260352,-3.299825876,-3.166165027,-26.02269683,6.371566249,3.770032232,0.3872944312,6.91249346,1.912674354,-0.1296978717,4.277175517,4.818102728,-0.5409272109,1.419802502,-0.4375553755,1.857357878,1.106677789,1.623670092,-0.516992303,0.7776632454,1.140954093,-0.3632908478,3.864878793,2.967414841,0.8974639516,24.18012466,7.758944251,-21.29408355,29.55973531,-16.60423903,6.665836081,22.23171561,29.55973531,1.400049091,0.4387274404,1.411128922
