iteration,parameter,cd0_strip_scale,drag_area_fuse_scale,efficiency_strip_scale,delta_a_trim_rad,delta_e_trim_rad,delta_r_trim_rad,train_count,train_objective,train_dx_mae_m,train_dy_mae_m,train_altitude_loss_mae_m,train_sink_mae_m_s,train_dx_mean_m,train_dy_mean_m,train_altitude_loss_mean_m,train_sink_mean_m_s
0,cd0_strip_scale,4,10,0.75,0,0,0,75,7.068935791,0.2517502636,0.7609511376,0.131085186,0.1105658472,-0.1307532513,-0.3914559006,-0.06796486019,-0.05594178078
1,drag_area_fuse_scale,4,5,0.75,0,0,0,75,7.050385471,0.2541012218,0.7631435705,0.129973792,0.1096270634,-0.1376719041,-0.3937292381,-0.06362307524,-0.05219943467
2,efficiency_strip_scale,4,5,0.55,0,0,0,75,6.959897913,0.24408015,0.7522535727,0.1275533817,0.1077693147,-0.1195651264,-0.3859146931,-0.07285146059,-0.06024887185
3,delta_e_trim_rad,4,5,0.55,0,0,0,75,6.959897913,0.24408015,0.7522535727,0.1275533817,0.1077693147,-0.1195651264,-0.3859146931,-0.07285146059,-0.06024887185
4,delta_a_trim_rad,4,5,0.55,-0.08,0,0,75,6.427043255,0.2494723383,0.7294774997,0.1307891908,0.1105361798,-0.09829479288,-0.2026537048,-0.07793925215,-0.06455569653
5,delta_r_trim_rad,4,5,0.55,-0.08,0,-0.08,75,6.123365196,0.2425344828,0.7229386547,0.1233165941,0.1049261917,-0.1165815045,-0.1674221919,-0.06581119494,-0.05494489895
6,cd0_strip_scale,3.5,5,0.55,-0.08,0,-0.08,75,6.028997122,0.2588814853,0.7342799898,0.1185002754,0.1011954313,-0.1630606074,-0.1688496584,-0.03904946452,-0.03201591152
7,drag_area_fuse_scale,3.5,3,0.55,-0.08,0,-0.08,75,6.02432122,0.2600543567,0.735076068,0.1182917553,0.1010451468,-0.1659160923,-0.1693021063,-0.03719346002,-0.03042961775
8,efficiency_strip_scale,3.5,3,0.43,-0.08,0,-0.08,75,5.95523793,0.2471747639,0.7189452557,0.1184269009,0.1010397678,-0.1457351461,-0.1575626241,-0.04873297583,-0.0402606318
9,delta_e_trim_rad,3.5,3,0.43,-0.08,0.03,-0.08,75,5.657844962,0.2134922101,0.6840106297,0.1254068789,0.1058376142,-0.01086799229,-0.164088419,-0.0788914172,-0.06483609197
10,delta_a_trim_rad,3.5,3,0.43,-0.1,0.03,-0.08,75,5.548110871,0.2141003058,0.6688233216,0.1273544859,0.1077875984,-0.02248203315,-0.09473112333,-0.08197571799,-0.06787338291
11,delta_r_trim_rad,3.5,3,0.43,-0.1,0.03,-0.12,75,5.414811543,0.2105020935,0.6691845836,0.1237588424,0.1051108815,-0.03140708231,-0.0765914679,-0.07690968664,-0.06393339595
12,cd0_strip_scale,2.5,3,0.43,-0.1,0.03,-0.12,75,5.114247669,0.2301811289,0.688501752,0.1136834268,0.09752534688,-0.1208391824,-0.06727069995,-0.02294744429,-0.01750394064
13,drag_area_fuse_scale,2.5,1,0.43,-0.1,0.03,-0.12,75,5.110609703,0.2311682517,0.6891673545,0.1136870581,0.09756184289,-0.1235961075,-0.06737850237,-0.02106898998,-0.01589286697
14,efficiency_strip_scale,2.5,1,0.31,-0.1,0.03,-0.12,75,5.038441313,0.2101489978,0.6692648796,0.1122798845,0.09607383134,-0.08725999248,-0.05801945236,-0.04362304015,-0.03515804111
15,delta_e_trim_rad,2.5,1,0.31,-0.1,0.045,-0.12,75,5.036678809,0.2002348216,0.6602229358,0.1166089569,0.09928923466,-0.03073326536,-0.06989551532,-0.06042419291,-0.04918393091
16,delta_a_trim_rad,2.5,1,0.31,-0.1,0.045,-0.12,75,5.036678809,0.2002348216,0.6602229358,0.1166089569,0.09928923466,-0.03073326536,-0.06989551532,-0.06042419291,-0.04918393091
17,delta_r_trim_rad,2.5,1,0.31,-0.1,0.045,-0.16,75,4.925714724,0.1986604816,0.6587336975,0.1142275617,0.09755240841,-0.03684253287,-0.04860930369,-0.05737860226,-0.0468788936
