split,session_label,calibration_profile_hash,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,replay_status,replay_policy,replay_dt_s,alignment_window_s,alignment_elapsed_s,alignment_sample_count,alignment_method,replay_command_source,actual_termination_group,sim_first_exit_reason,sim_first_exit_time_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,actual_x_end_m,actual_y_end_m,actual_z_end_m,sim_x_end_m,sim_y_end_m,sim_z_end_m,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_glide_ratio_x_over_altloss,sim_glide_ratio_x_over_altloss,glide_ratio_residual_actual_minus_sim,actual_final_phi_deg,sim_final_phi_deg,actual_final_theta_deg,sim_final_theta_deg,actual_final_psi_deg,sim_final_psi_deg,max_abs_sim_phi_deg,max_abs_sim_theta_deg,max_abs_sim_p_rad_s,max_abs_sim_q_rad_s,max_abs_sim_r_rad_s
heldout,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v001,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.250985,32,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,left_or_high_y_wall,1.075,1.4280632,2.702809837,2.441526017,1.72400513,5.065553145,3.158842148,0.8367234767,0.4109178318,1.255303019,-1.094200145,11.92598536,21.46288716,-18.49943236,5.927079753,3.435220393,0.385102216,5.747137451,5.205579239,-0.0494448054,3.224269916,3.044327614,0.179942302,0.9936943759,2.764053222,-1.770358846,1.338902914,1.773449936,-0.4345470214,0.9375655884,1.241856758,-0.3042911696,2.408143176,1.716613225,0.6915299504,54.1163167,39.96493115,-29.06220453,-22.64492127,0.6891936255,117.0421939,45.18943185,36.85335543,0.9943172138,1.365218024,2.807844507
train,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v002,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2066013,32,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.835,1.197315,2.420965056,2.290281817,1.405082426,5.604062692,1.338415749,0.4250266632,0.163796326,0.2445737483,-1.019786765,7.711893253,-4.810253313,-4.245736973,6.610438375,2.894930679,0.739510033,7.914049265,3.193525112,0.6682003707,4.189473319,5.493084209,-1.303610891,0.6046488624,0.9032432953,-0.2985944328,0.6655723931,0.7368820553,-0.07130966223,0.5558874591,0.6154454386,-0.05955797951,6.294541905,7.454495831,-1.159953927,2.508813611,10.97096832,-7.785842867,21.21885867,-12.61622253,17.88603369,11.06043614,21.21885867,0.9713825199,0.8354985144,1.127707057
train,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2039504,33,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.99,1.3488083,2.51944919,2.376600323,1.440167177,5.403946985,2.836988052,1.168728869,-0.1915481869,0.7120595604,-1.506921465,0.184896694,2.081549632,-17.38357872,6.601986653,4.172701406,0.5038975579,7.141909694,2.415410482,0.3092972923,4.082537464,4.622460505,-0.5399230413,1.796101083,0.03881015893,1.757290924,0.9362696194,1.130869885,-0.1946002656,0.6941458022,0.8384215051,-0.1442757029,4.360429281,4.087526395,0.2729028858,23.43190799,15.1314832,-26.97597145,33.66954787,-42.28702233,23.01766316,18.14608606,33.67331296,1.357358406,1.096680059,1.506921465
train,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2059093,33,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.365,1.4105831,2.471866082,2.339119032,1.571723775,5.535419409,1.527922958,1.336450824,0.02707212733,1.029638249,-0.5043185998,-1.089178121,11.42796303,-7.666319522,6.214737658,3.192346876,0.3964261434,6.337080872,3.247858135,0.2707329426,3.742871575,3.865214789,-0.122343214,0.8532278447,0.9087391035,-0.05551125879,1.175297631,1.300990832,-0.1256932008,0.8331998527,0.9223071168,-0.08910726408,3.184615944,2.970977731,0.2136382137,-1.345594094,19.33360217,-21.31486811,30.68162082,-28.76846849,41.17791116,21.33036843,32.51268097,0.3711001894,1.210765141,0.8674564762
heldout,20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2038576,33,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.3,1.4127072,2.486100618,2.356757429,1.491028796,4.955419911,3.238861797,1.487055551,-0.007340721629,1.421171038,-1.087864228,-0.5769001359,12.60567699,-20.86173615,6.406231333,4.163512092,0.3891906427,6.304244664,3.45945072,0.06746944271,3.920130715,3.818144046,0.1019866692,1.806754663,1.102693292,0.7040613713,1.101838154,1.423559354,-0.3217212,0.7799479989,1.007681814,-0.2277338149,3.557809921,2.68211089,0.875699031,13.61884809,25.2274683,-23.16001735,28.4667772,-40.06072816,53.4479946,27.61005821,34.33141836,1.043132914,1.421171038,1.386671781
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v001,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2024132,33,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,front_wall,none_before_actual_remaining_duration,,1.1976952,2.477086972,2.253371466,1.413668942,5.765224708,1.359954162,1.068264587,-0.0226693798,0.8969044779,-0.7648949319,6.277674037,6.312578802,-8.866325074,6.605002223,2.480886105,0.7137017796,6.352505019,2.811522976,0.6812296987,4.127915251,3.875418048,0.2524972031,0.2275146386,0.5581515099,-0.3306368713,0.6999671625,0.7324392434,-0.03247208096,0.584428461,0.6115406018,-0.02711214085,5.897298434,5.29111197,0.6061864642,20.62370713,21.36586351,-21.80679381,33.14309007,-0.3374037699,35.75717495,21.36586351,33.88697555,0.890518462,1.65010185,0.8469806858
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v002,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2011224,28,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.98,1.4012415,2.489591288,2.12752462,1.475431057,5.780200535,2.228346693,0.6330372206,0.5609146918,0.9394910178,-1.227322837,16.51962913,8.88268126,-13.02925829,5.772558134,1.792611104,0.3761332299,7.06563867,4.282417938,0.4302860399,3.282966846,4.576047382,-1.293080536,-0.3349135161,2.154893318,-2.489806834,1.099297827,1.045145017,0.05415280998,0.784517035,0.7458707275,0.03864630757,2.986421664,4.378385112,-1.391963448,42.68150748,41.9863207,-7.778893711,-0.9331382003,35.13254747,85.20365351,41.99376769,24.4524206,0.9983410451,0.9394910178,1.695154262
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2037818,34,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,front_wall,floor,1.3,1.498456,2.691966786,2.218207456,1.426898305,6.495458742,0.8097699731,1.624655726,0.3384988616,1.14483936,-0.2822155896,1.249265095,8.224283082,-1.505975694,6.614225466,2.655122822,0.527280452,6.302409187,4.852796362,-0.3381719348,3.92225868,3.6104424,0.3118162798,0.4369153655,2.634588906,-2.19767354,0.8996178535,1.76507024,-0.8654523868,0.6003632095,1.177925972,-0.5775627625,4.359916452,2.045495028,2.314421424,22.30866354,38.50357385,-26.03879478,-24.99095898,0.5953268888,109.3930781,47.36189742,32.58743805,1.030007921,1.675912384,2.655493675
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.205264,26,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.025,1.1389088,2.384653634,2.361173882,1.388575148,4.479313984,2.042785286,1.167688929,-0.04738985782,0.7456447524,-0.6160656133,-2.362782488,2.111573642,-14.9903583,5.85120592,3.315207602,0.3957346631,6.32582398,2.603602138,0.2030030142,3.466552285,3.941170346,-0.4746180602,0.9540337199,0.2424282559,0.711605464,0.9928404846,1.185572133,-0.1927316489,0.871747136,1.040971967,-0.1692248307,3.491550092,3.324277144,0.1672729483,-2.196152183,7.156770318,-16.15052408,25.15939607,-21.39585697,15.28657221,10.97070442,25.15939607,0.616494989,0.7683272116,0.8821000761
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,ok,dry_air_current_model_aligned_first_motion_window_same_command_history_remaining_duration,0.005,0.2,0.2031564,34,target_pose_plus_regressed_world_velocity_and_so3_rate_over_first_window,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.005,1.3703135,2.400774662,2.419080207,1.452243549,4.438374482,3.639042603,0.9754268436,-0.02082636206,0.4235353923,-0.9704593591,-3.090880704,0.5532862378,-27.46415539,6.371566249,3.770032232,0.3872944312,7.229665011,2.915260182,0.1572570301,3.970791588,4.82889035,-0.858098762,1.350952025,0.4961799741,0.8547720505,1.064949117,1.294986519,-0.2300374011,0.7771572836,0.9450293809,-0.1678720972,3.728620948,3.728911676,-0.0002907284218,24.18012466,26.42878021,-21.29408355,24.16356633,-16.60423903,44.78340629,26.42878021,25.07548125,0.9414826191,0.6369434429,1.67895778
