model_id,split,regime,sample_count,throw_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg
baseline_active,train,attached,201,7,0.2422459222,0.595536798,0.2917649491,0.4158242142,8.552971835,9.193922347,6.622153898
baseline_active,train,transition,690,7,0.2719329592,0.605135984,0.4573863789,0.6533156762,7.527156128,18.57765881,7.507853412
baseline_active,train,post_stall,112,2,0.1778010607,0.5926906585,0.1681852412,0.3113279862,6.297050733,9.923914674,5.109561054
baseline_active,heldout,attached,29,3,0.121434912,0.2315185224,0.1407302794,0.2846540113,3.353062174,4.787285507,5.301557154
baseline_active,heldout,transition,344,3,0.7956796084,0.416567178,0.4283363595,0.7150198145,10.34734401,11.87522566,7.985150185
baseline_active,heldout,post_stall,0,0,,,,,,,
coefficient_candidate,train,attached,201,7,0.2441750394,0.6148788877,0.2648229294,0.385975038,9.507142222,8.425834934,6.535789864
coefficient_candidate,train,transition,690,7,0.2661425166,0.6172557857,0.4446374232,0.6319479016,8.08252423,18.22767058,7.492633668
coefficient_candidate,train,post_stall,112,2,0.1387934883,0.6251696949,0.1462908111,0.2620394663,9.413487167,13.60337863,5.631034112
coefficient_candidate,heldout,attached,29,3,0.1214231889,0.2315215055,0.1407110187,0.2846144001,3.353089987,4.787009182,5.301763241
coefficient_candidate,heldout,transition,344,3,0.789579486,0.4164668846,0.422666107,0.7092558564,10.37202203,14.28516652,7.76561712
coefficient_candidate,heldout,post_stall,0,0,,,,,,,
