model_id,split,regime,sample_count,throw_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg
baseline_active,train,attached,2248,63,0.2511058262,0.416936481,0.364653497,0.4898189134,6.364325176,10.99469193,5.003548313
baseline_active,train,transition,7358,63,0.324006289,0.4972529245,0.4728771654,0.6955260103,8.133674317,19.82959998,8.141395926
baseline_active,train,post_stall,891,19,0.5482404834,0.8092869209,0.519868518,0.6689091759,11.02863462,20.21081414,8.664350156
baseline_active,heldout,attached,394,11,0.2083771917,0.3209813931,0.2671313596,0.4471590924,4.018770931,10.19843642,2.186834666
baseline_active,heldout,transition,1260,11,0.4077579816,0.5833909868,0.5055552571,0.7629533451,9.085726746,19.92068083,8.327112514
baseline_active,heldout,post_stall,251,5,0.6323851485,0.7296520403,0.6720021755,0.9166492765,9.604644499,19.43020304,7.232722732
coefficient_candidate,train,attached,2248,63,0.1476496891,0.4865914672,0.1444142228,0.2551473307,9.703794471,4.630075129,8.313530029
coefficient_candidate,train,transition,7358,63,0.1824840482,0.561097227,0.231430279,0.3815870668,13.0834255,7.655861432,11.49672316
coefficient_candidate,train,post_stall,891,19,0.3075520267,0.9131052582,0.197907689,0.2903770674,13.99744089,7.839018362,9.744774386
coefficient_candidate,heldout,attached,394,11,0.08758222921,0.4016289201,0.08673060661,0.2434892074,9.337700744,3.569060599,6.9231978
coefficient_candidate,heldout,transition,1260,11,0.1719855242,0.6858024504,0.2267011617,0.3934553509,17.77247796,5.781217174,13.84452906
coefficient_candidate,heldout,post_stall,251,5,0.3615237634,0.8507008057,0.3566427242,0.5263964003,22.67536066,3.937755363,11.63578236
lateral_diagnostic_candidate,train,attached,2248,63,0.1706978812,0.4074112604,0.2058761684,0.3063949184,11.4525433,11.74579248,34.25626678
lateral_diagnostic_candidate,train,transition,7358,63,0.1534979953,0.4078356934,0.2565036404,0.3910391789,23.37741238,17.18767907,38.72960657
lateral_diagnostic_candidate,train,post_stall,891,19,0.1756882232,0.6067954987,0.1935441453,0.2652594482,33.53910267,16.86223191,37.58153702
lateral_diagnostic_candidate,heldout,attached,394,11,0.1511085679,0.2913115875,0.1232546156,0.2581537883,12.9102621,9.850201224,18.4094697
lateral_diagnostic_candidate,heldout,transition,1260,11,0.1728424316,0.4410971116,0.2530599053,0.4004329887,26.0625237,16.63882678,39.09033138
lateral_diagnostic_candidate,heldout,post_stall,251,5,0.2513123254,0.5029951448,0.3204993609,0.4638044618,29.68269089,18.23442355,32.88343703
