candidate_id,baseline_model_id,term,regime_family,split,fit_sample_count,fit_used_sample_count,fit_coefficient,fit_sign,parameter_keys_json,baseline_dy_mae_m,candidate_dy_mae_m,delta_dy_mae_m,baseline_roll_mae_deg,candidate_roll_mae_deg,delta_roll_mae_deg,baseline_yaw_mae_deg,candidate_yaw_mae_deg,delta_yaw_mae_deg,baseline_dx_mae_m,candidate_dx_mae_m,delta_dx_mae_m,baseline_altitude_loss_mae_m,candidate_altitude_loss_mae_m,delta_altitude_loss_mae_m,baseline_sink_mae_m_s,candidate_sink_mae_m_s,delta_sink_mae_m_s,baseline_pitch_mae_deg,candidate_pitch_mae_deg,delta_pitch_mae_deg,accepted,acceptance_reason
attached_CY_beta,primary_longitudinal,CY_beta,attached,train,2311,2310,-1.185951556,negative,"[""side_force_beta_coeff""]",1.5767532,0.925019832,-0.6517333681,26.02720489,23.61924086,-2.407964028,23.51136807,11.11679661,-12.39457146,0.630121907,0.6610246887,0.03090278178,0.6965684563,0.6531462909,-0.04342216546,0.447312174,0.4151265194,-0.0321856546,5.822187899,5.57712839,-0.2450595092,,
attached_CY_beta,primary_longitudinal,CY_beta,attached,heldout,2311,2310,-1.185951556,negative,"[""side_force_beta_coeff""]",1.612228602,0.8052553084,-0.8069732933,28.15740301,23.55741848,-4.599984534,27.09823695,10.63681631,-16.46142063,0.4075358813,0.3639996583,-0.04353622299,0.3434580162,0.2353459658,-0.1081120504,0.3088797992,0.219214658,-0.08966514121,5.437063205,5.129029656,-0.3080335491,True,heldout_lateral_improved_with_longitudinal_tolerance
transition_CY_beta,primary_longitudinal,CY_beta,transition,train,5180,5179,0.02007900411,positive,"[""transition_side_force_beta_coeff""]",1.5767532,1.581343374,0.004590174349,26.02720489,26.0361301,0.008925212227,23.51136807,23.64632923,0.134961154,0.630121907,0.6299866147,-0.0001352922613,0.6965684563,0.6967871698,0.0002187134588,0.447312174,0.4475103964,0.0001982224814,5.822187899,5.824035628,0.001847729386,,
transition_CY_beta,primary_longitudinal,CY_beta,transition,heldout,5180,5179,0.02007900411,positive,"[""transition_side_force_beta_coeff""]",1.612228602,1.617408541,0.005179939011,28.15740301,28.15472129,-0.00268172329,27.09823695,27.25022333,0.1519863813,0.4075358813,0.4087723667,0.001236485401,0.3434580162,0.3444071091,0.0009490929115,0.3088797992,0.3096582735,0.0007784743231,5.437063205,5.455739565,0.01867635995,False,rejected_lateral_metrics_not_all_improved
post_stall_CY_beta,primary_longitudinal,CY_beta,post_stall,train,891,891,0.3924071754,positive,"[""post_stall_side_force_beta_rbf_20_coeff""]",1.5767532,1.649503351,0.07275015079,26.02720489,25.85558888,-0.1716160049,23.51136807,25.67110262,2.15973455,0.630121907,0.6268041853,-0.003317721676,0.6965684563,0.698883881,0.002315424645,0.447312174,0.4494794906,0.002167316597,5.822187899,5.786543764,-0.03564413475,,
post_stall_CY_beta,primary_longitudinal,CY_beta,post_stall,heldout,891,891,0.3924071754,positive,"[""post_stall_side_force_beta_rbf_20_coeff""]",1.612228602,1.724424672,0.1121960704,28.15740301,27.77171393,-0.3856890781,27.09823695,30.01446903,2.916232083,0.4075358813,0.4169482539,0.00941237259,0.3434580162,0.3530536097,0.009595593446,0.3088797992,0.3167375042,0.007857705053,5.437063205,5.662021047,0.2249578414,False,rejected_lateral_metrics_not_all_improved
attached_CY_p,primary_longitudinal,CY_p,attached,train,2311,2311,-2.731369127,negative,"[""side_force_p_hat_coeff""]",1.5767532,1.529274747,-0.0474784526,26.02720489,29.71121159,3.684006698,23.51136807,20.15671033,-3.354657741,0.630121907,0.6608996586,0.03077775168,0.6965684563,0.6646662693,-0.03190218701,0.447312174,0.418770227,-0.02854194695,5.822187899,6.848351328,1.026163429,,
attached_CY_p,primary_longitudinal,CY_p,attached,heldout,2311,2311,-2.731369127,negative,"[""side_force_p_hat_coeff""]",1.612228602,1.524484598,-0.08774400322,28.15740301,32.47402448,4.316621469,27.09823695,21.50478583,-5.593451119,0.4075358813,0.3944116819,-0.01312419935,0.3434580162,0.2695772862,-0.07388073005,0.3088797992,0.2465831463,-0.06229665285,5.437063205,6.229479278,0.7924160733,False,rejected_lateral_metrics_not_all_improved
transition_CY_p,primary_longitudinal,CY_p,transition,train,5180,5177,2.263530469,positive,"[""transition_side_force_p_hat_coeff""]",1.5767532,1.607172568,0.0304193684,26.02720489,26.00074058,-0.02646431112,23.51136807,24.54563577,1.034267694,0.630121907,0.6359971157,0.005875208765,0.6965684563,0.7032830413,0.006714584966,0.447312174,0.4530822737,0.005770099708,5.822187899,5.863130868,0.04094296903,,
transition_CY_p,primary_longitudinal,CY_p,transition,heldout,5180,5177,2.263530469,positive,"[""transition_side_force_p_hat_coeff""]",1.612228602,1.689824931,0.07759632886,28.15740301,27.79987139,-0.3575316262,27.09823695,29.58587568,2.487638731,0.4075358813,0.4386735076,0.03113762633,0.3434580162,0.3677398482,0.024281832,0.3088797992,0.3289575205,0.0200777213,5.437063205,5.658382416,0.2213192107,False,rejected_lateral_metrics_not_all_improved
