model_id,split,regime,sample_count,throw_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg
baseline_active,train,attached,116,14,0.09695483429,0.008961405627,0.01141335049,0.2966548439,0.6565762732,2.273884092,0.1967092957
baseline_active,train,transition,532,20,0.08532344806,0.09980203982,0.07826325676,0.3881402473,3.507574749,4.804727325,0.9424508608
baseline_active,train,post_stall,2851,20,0.3498300345,0.5613607462,0.2734293472,0.4380016814,23.29767066,10.19946787,9.468024785
baseline_active,heldout,attached,65,8,0.01866203669,0.01110558288,0.01043726237,0.2470965464,0.5433015752,1.631614467,0.3059785683
baseline_active,heldout,transition,265,10,0.2094612717,0.2406973343,0.1836549853,0.4787660186,7.089628424,9.904043333,3.748940345
baseline_active,heldout,post_stall,1420,10,0.4226724755,0.7662403252,0.2769398659,0.4124858829,25.75306531,12.0346116,9.053939693
coefficient_candidate,train,attached,116,14,0.09692982104,0.008847960459,0.0112982524,0.294704453,0.6621966621,2.273844498,0.1997135677
coefficient_candidate,train,transition,532,20,0.08316153704,0.08035586375,0.06560651414,0.3449143747,3.592975289,4.830700167,1.461414306
coefficient_candidate,train,post_stall,2851,20,0.3336067501,0.3493294408,0.2119495339,0.3450522073,26.72626098,11.44260469,17.05381159
coefficient_candidate,heldout,attached,65,8,0.0186590764,0.01107352257,0.01040586043,0.2462923904,0.5442051755,1.630080666,0.3077582968
coefficient_candidate,heldout,transition,265,10,0.2047440465,0.2234476483,0.1744297208,0.4462158434,7.11106007,10.02322565,3.029058351
coefficient_candidate,heldout,post_stall,1420,10,0.4080883199,0.5402138905,0.2083569653,0.3200248767,28.30005906,13.55099094,15.02111925
