row_index,kept,filter_reason,session_label,case_id,throw_id,alignment_window_s,alignment_elapsed_s,u0_m_s,v0_m_s,w0_m_s,speed0_m_s,p0_rad_s,q0_rad_s,r0_rad_s
0,False,aligned_w_outside_launch_gate,20260604_185934,C0_neutral,v001,0.1,0.1049555,4.543059555,0.3501702742,1.008779882,4.66686685,0.8850947776,0.6644454536,-0.2129036861
1,True,kept,20260604_185934,C0_neutral,v002,0.1,0.1017122,5.393306976,0.2077081235,0.6692751748,5.438642483,0.770448234,0.4730944814,0.1967483098
2,True,kept,20260604_185934,C0_neutral,v003,0.1,0.1022381,4.984180242,0.2389354419,0.8595942556,5.063402523,0.3826443851,0.45672402,-0.3368165108
3,True,kept,20260604_185934,C0_neutral,v004,0.1,0.1115102,4.748928641,0.7221450788,0.7594198629,4.863181601,0.2260635069,0.420556655,-0.2971842651
4,True,kept,20260604_185934,C0_neutral,v005,0.1,0.1022643,5.323614437,0.5023281757,0.8535000711,5.414948443,0.4425860529,0.7011548706,-0.5628248258
5,False,aligned_v_outside_launch_gate,20260604_185934,C0_neutral,v006,0.1,0.1268128,5.623978617,1.917732218,0.5411629165,5.966547549,0.5698531312,0.5496923114,-0.7536135144
6,True,kept,20260604_185934,C0_neutral,v007,0.1,0.1049613,5.195145241,0.7026505528,0.6590089159,5.283705577,0.6260639921,0.4958612866,-0.4170625811
7,False,aligned_u_outside_launch_gate,20260604_185934,C0_neutral,v008,0.1,0.1400685,0.9721909615,0.2445794314,0.1511750445,1.013818651,0.111272998,0.1422934544,-0.09681879415
8,False,aligned_u_outside_launch_gate,20260604_185934,C0_neutral,v009,0.1,0.1361248,3.677703651,1.045884071,0.4535392762,3.850334467,0.2710363971,0.3863579992,-0.2184873
9,False,aligned_w_outside_launch_gate,20260604_185934,C0_neutral,v010,0.1,0.1036912,5.149037042,1.238403229,1.018297939,5.392880094,0.02937204106,0.8467017677,-0.1347035395
10,True,kept,20260604_190407,C0_neutral,v001,0.1,0.1016245,4.580654621,0.8240074788,0.8690114713,4.734613608,0.7879344265,0.5705010801,-0.1641870389
11,False,aligned_w_outside_launch_gate,20260604_190407,C0_neutral,v002,0.1,0.1031908,4.97722127,0.7757127111,0.9282428727,5.122118372,0.4655994559,0.5241966979,0.08648629311
12,True,kept,20260604_190407,C0_neutral,v003,0.1,0.105335,5.195213361,1.000837892,0.5645296267,5.320771753,0.7277024476,0.3716790503,-0.3296287942
13,True,kept,20260604_190407,C0_neutral,v004,0.1,0.1018438,5.684932567,0.630110198,0.7467790258,5.768290567,0.1556025182,0.8356557346,-0.1451507923
14,False,aligned_w_outside_launch_gate,20260604_190407,C0_neutral,v005,0.1,0.1054788,5.929172756,0.609645104,0.9622552935,6.037606477,0.07093798243,1.036286832,-0.07785320873
15,True,kept,20260604_190407,C0_neutral,v006,0.1,0.1001807,5.949342633,1.147838748,0.6313905667,6.091868811,0.3297163619,0.9365422858,-0.6450873485
16,True,kept,20260604_190407,C0_neutral,v007,0.1,0.1015873,5.178424088,1.026968341,0.2771449929,5.286544179,0.4228927406,0.3157839684,-0.4339224949
17,True,kept,20260604_190407,C0_neutral,v008,0.1,0.1022722,5.42540112,0.9699276001,0.5669914484,5.540506851,0.8489056121,0.4611101205,-0.3488468343
18,True,kept,20260604_190407,C0_neutral,v009,0.1,0.1021409,4.852660972,1.188257266,0.7611395839,5.053672655,0.5691859532,0.6037771507,-0.2294247765
19,True,kept,20260604_190407,C0_neutral,v010,0.1,0.1040429,4.840901927,1.484048865,0.2791261316,5.070960846,0.3103298945,-0.008689681561,-0.4743625987
20,True,kept,20260604_191406,C0_neutral,v001,0.1,0.1010652,5.052514397,1.200002064,0.6851686229,5.238068607,0.03561776411,0.5556169967,-0.3627814936
21,True,kept,20260604_191406,C0_neutral,v002,0.1,0.1033392,4.506674167,1.187765421,0.7206770405,4.715959515,0.3725207107,0.519339903,-0.139955435
22,False,aligned_w_outside_launch_gate,20260604_191406,C0_neutral,v003,0.1,0.100444,4.947658717,1.138830854,1.137633454,5.202929211,-0.293738627,0.8630849411,0.1222829735
23,True,kept,20260604_191406,C0_neutral,v004,0.1,0.1007974,4.981281033,1.311758349,0.5874867923,5.184497221,0.05482608641,0.7118871169,-0.2887745536
24,True,kept,20260604_191406,C0_neutral,v005,0.1,0.100655,6.0870436,0.9667917309,0.8334062783,6.21943342,0.4126846312,1.065161364,-0.2886462755
25,True,kept,20260604_191406,C0_neutral,v006,0.1,0.10468,5.269519955,1.086574152,0.7343442466,5.430262002,0.2826620462,0.7667848453,-0.1303910549
26,True,kept,20260604_191406,C0_neutral,v007,0.1,0.1012948,5.029480009,1.431317029,0.7650760032,5.284853725,0.06857240438,0.3530357154,-0.5187013629
27,False,aligned_v_outside_launch_gate,20260604_191406,C0_neutral,v008,0.1,0.1141751,5.288296354,1.521964301,0.4222859752,5.519128473,0.08373848095,0.5508105017,-0.4076415956
28,False,aligned_w_outside_launch_gate,20260604_191406,C0_neutral,v009,0.1,0.1004655,5.790927828,0.8098222082,1.061122725,5.942780372,-0.1024410709,0.9700773953,0.01148813585
29,True,kept,20260604_191406,C0_neutral,v010,0.1,0.1034737,5.921309479,1.359592156,0.7140338847,6.117208609,-0.1845665696,0.9448682801,-0.3976002443
30,False,aligned_v_outside_launch_gate,20260604_195702,C0_neutral,v001,0.1,0.1041406,4.468433221,1.652145915,0.3445464762,4.77652529,0.1332522657,0.1339542087,-0.5399488753
31,True,kept,20260604_195702,C0_neutral,v002,0.1,0.1004006,5.178211767,0.9952682749,0.4898895506,5.295698992,0.161312056,0.373626537,-0.4678047978
32,True,kept,20260604_195702,C0_neutral,v003,0.1,0.1082812,5.730605719,0.4301826793,0.5224106694,5.77042563,0.6778534671,0.2718416148,-0.1579335629
33,True,kept,20260604_195702,C0_neutral,v004,0.1,0.1341591,5.054958437,1.266110433,0.4641091633,5.231733723,0.08475659991,0.4031579258,-0.04984857316
34,True,kept,20260604_195702,C0_neutral,v005,0.1,0.1158391,5.184625383,0.3642605848,0.673627355,5.240877784,0.5182877082,0.4905516416,-0.1067141489
