iteration,pass_index,group,candidate_scale,selected,objective,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,final_theta_mae_deg,final_phi_mae_deg,final_psi_mae_deg,group_scales_json
0,0,initial_grouped_candidate,,True,81.57201508,0.853452042,1.169296588,1.159724806,0.830687112,63.43640357,74.24431857,105.1103957,"{""attached_lateral"": 1.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.5, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
1,1,attached_lateral,-0.25,False,101.3889934,1.375026069,1.679147533,2.392499822,1.550898554,27.21377057,7.665809615,19.87733146,"{""attached_lateral"": -0.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.5, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
1,1,attached_lateral,0,False,97.67421879,1.288654883,1.568717787,2.346696023,1.499040487,26.36906393,11.54901239,16.63916121,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.5, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
1,1,attached_lateral,0.25,False,93.34390017,1.148394064,1.541889627,2.243625395,1.431645656,25.13707078,17.46824522,18.35684546,"{""attached_lateral"": 0.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.5, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
1,1,attached_lateral,0.5,False,88.87084218,1.065370954,1.631840488,2.085367428,1.347244565,24.65815217,15.59089519,27.39059547,"{""attached_lateral"": 0.5, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.5, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
1,1,attached_lateral,0.75,False,88.03600078,0.9137925709,1.326897266,1.864261883,1.223474571,14.93772842,30.05792762,66.53620196,"{""attached_lateral"": 0.75, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.5, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
1,1,attached_lateral,1,False,81.57201508,0.853452042,1.169296588,1.159724806,0.830687112,63.43640357,74.24431857,105.1103957,"{""attached_lateral"": 1.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.5, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
1,1,attached_lateral,1.25,True,38.65030916,0.3404062657,1.153684314,0.3708335245,0.3316492792,48.73223236,56.91982421,61.08153403,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.5, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
2,1,post_stall_longitudinal,-0.25,False,38.83602564,0.3401290111,1.153188929,0.370058507,0.3308694278,50.84163308,55.97726123,60.64716541,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.5, ""post_stall_longitudinal"": -0.25, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
2,1,post_stall_longitudinal,0,False,38.74686647,0.3402247773,1.153289984,0.3700971622,0.3309347456,50.03411053,56.27806264,60.77316472,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.5, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
