model_id,split,regime,sample_count,throw_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg
baseline_active,train,attached,599,17,0.3047324058,0.4521375282,0.4930650668,0.5883153471,6.632105037,11.6719848,3.400238063
baseline_active,train,transition,1855,17,0.3796118449,0.6022282976,0.5743451259,0.8220305099,6.27114043,23.31417922,6.795153988
baseline_active,train,post_stall,377,8,0.68206117,0.973054069,0.7396766789,0.916389363,4.169269114,26.19965946,8.03123382
baseline_active,heldout,attached,296,10,0.241879295,0.4173667559,0.2935439293,0.4080770791,5.580137559,8.019384798,2.626945146
baseline_active,heldout,transition,1203,10,0.33602972,0.6301139081,0.3595722746,0.5145762464,12.19614224,14.98881383,9.365206951
baseline_active,heldout,post_stall,231,4,0.4304259812,0.7609667707,0.3813793289,0.5653034991,13.9102309,17.91995935,5.428200959
coefficient_candidate,train,attached,598,17,0.1211195993,0.3368159085,0.2058761774,0.2943305203,18.67950789,18.27142321,21.1035325
coefficient_candidate,train,transition,1855,17,0.2003548126,0.3762515813,0.3633671212,0.5574775173,24.53441118,26.3922949,32.62920277
coefficient_candidate,train,post_stall,377,8,0.1726640413,0.7951645747,0.3322176033,0.4765705888,35.22894724,33.29268984,55.47754948
coefficient_candidate,heldout,attached,296,10,0.0954200266,0.3221567734,0.06250740533,0.1661784131,13.56528758,15.38563242,14.11681445
coefficient_candidate,heldout,transition,1203,10,0.1694366615,0.3510879391,0.2107411112,0.3300830297,27.47394228,26.41020365,37.36655583
coefficient_candidate,heldout,post_stall,231,4,0.1955982769,0.3906179347,0.2202383018,0.319663182,40.79971163,21.98637866,46.26010222
