model_id,model_role,matched_candidate_id,split,regime,report_regime,sample_count,throw_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg
jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1623557766,0.2309670391,0.1683850624,0.2607941361,4.597081172,3.90250298,1.914939378
jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1772430154,0.2547653318,0.2948599102,0.4519789797,4.481927343,6.55645413,2.969166866
jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.34421081,0.2777031665,0.3813196102,0.5631217041,8.240876082,5.115279635,7.892956603
jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1586896481,0.2470483382,0.1710531232,0.2635489626,7.127103076,4.042338389,1.816799581
jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1690416616,0.2489763856,0.2943663953,0.451839225,8.499749735,6.693256697,3.268270879
jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.326953252,0.2352323772,0.3779740116,0.5583980604,13.50180598,4.849727907,3.97791032
jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L01_proposal_stage_9_stage9_post_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1458656112,0.2330333211,0.1490043787,0.2433129332,4.512945718,3.941666751,1.960264909
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1612810051,0.2565806664,0.2723098534,0.4242678096,4.442778424,6.759790381,2.971955555
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.3130284248,0.2882587514,0.3350173995,0.4977853736,8.363205091,5.776469959,8.296746446
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s1_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
