iteration,stage,objective_mode,parameter,cd0_strip_scale,drag_area_fuse_scale,efficiency_strip_scale,roll_moment_bias_coeff,yaw_moment_bias_coeff,delta_a_trim_rad,delta_e_trim_rad,delta_r_trim_rad,train_count,train_objective,train_dx_mae_m,train_dy_mae_m,train_altitude_loss_mae_m,train_sink_mae_m_s,train_final_phi_mae_deg,train_final_theta_mae_deg,train_final_psi_mae_deg,train_dx_mean_m,train_dy_mean_m,train_altitude_loss_mean_m,train_sink_mean_m_s,train_final_phi_mean_deg,train_final_theta_mean_deg,train_final_psi_mean_deg
0,baseline,combined,baseline,3,5,0.31,0,0,0,0,0,64,24.13518304,0.2217014158,0.5176081963,0.1525602991,0.1434303849,24.32341908,40.55585597,35.5581258,0.1176436212,-0.4799532613,-0.08184387773,-0.0741191649,-22.6175763,-40.55585597,-35.19230593
1,longitudinal,longitudinal,cd0_strip_scale,3,5,0.31,0,0,0,0,0,64,13.77131841,0.2217014158,0.5176081963,0.1525602991,0.1434303849,24.32341908,40.55585597,35.5581258,0.1176436212,-0.4799532613,-0.08184387773,-0.0741191649,-22.6175763,-40.55585597,-35.19230593
2,longitudinal,longitudinal,drag_area_fuse_scale,3,5,0.31,0,0,0,0,0,64,13.77131841,0.2217014158,0.5176081963,0.1525602991,0.1434303849,24.32341908,40.55585597,35.5581258,0.1176436212,-0.4799532613,-0.08184387773,-0.0741191649,-22.6175763,-40.55585597,-35.19230593
3,longitudinal,longitudinal,efficiency_strip_scale,3,5,1,0,0,0,0,0,64,12.45577406,0.2264052829,0.5371313304,0.1467876388,0.1389701777,25.36860218,39.18191671,37.28983053,0.05640153646,-0.4985390877,-0.04898316769,-0.04341184092,-23.9214381,-39.11880175,-36.92482714
4,lateral_aero_bias_pair,lateral,roll_yaw_moment_bias_coeff,3,5,1,-0.02,0,0,0,0,64,4.437230211,0.236326477,0.3771769534,0.1605565078,0.1539727021,15.01974748,46.32015641,17.11648624,0.06275107064,0.1673915837,-0.04816429771,-0.04126262851,-1.510789744,-46.32015641,-14.26206356
5,lateral_aero_bias,lateral,roll_moment_bias_coeff,3,5,1,-0.02,0,0,0,0,64,4.437230211,0.236326477,0.3771769534,0.1605565078,0.1539727021,15.01974748,46.32015641,17.11648624,0.06275107064,0.1673915837,-0.04816429771,-0.04126262851,-1.510789744,-46.32015641,-14.26206356
6,lateral_aero_bias,lateral,yaw_moment_bias_coeff,3,5,1,-0.02,0,0,0,0,64,4.437230211,0.236326477,0.3771769534,0.1605565078,0.1539727021,15.01974748,46.32015641,17.11648624,0.06275107064,0.1673915837,-0.04816429771,-0.04126262851,-1.510789744,-46.32015641,-14.26206356
7,refine_1_longitudinal,longitudinal,cd0_strip_scale,2,5,1,-0.02,0,0,0,0,64,13.35312575,0.2633367149,0.3882069728,0.1659184374,0.1602555954,15.22450133,46.18032288,17.35908989,-0.006749112632,0.1868408471,-0.01304066451,-0.007732754722,-1.088596368,-46.18032288,-13.93460144
8,refine_1_longitudinal,longitudinal,drag_area_fuse_scale,2,3,1,-0.02,0,0,0,0,64,13.34499638,0.2643126071,0.3885191192,0.1662477107,0.1606021988,15.2311131,46.18065323,17.36544897,-0.008961971855,0.1871445354,-0.01183218602,-0.00657875116,-1.073505167,-46.18065323,-13.91966154
9,refine_1_longitudinal,longitudinal,efficiency_strip_scale,2,3,1.12,-0.02,0,0,0,0,64,13.33960932,0.2657488033,0.3901926931,0.1668547928,0.1611709113,15.25871244,46.13362057,17.34584126,-0.01184357636,0.1898078423,-0.01080336245,-0.005558577141,-0.9513321722,-46.13362057,-13.75425526
