compact_library_id,primitive_variant_id,primitive_id,entry_role,controller_id,continuation_probability,terminal_useful_probability,hard_failure_risk,expected_energy_residual_m,expected_lift_dwell_time_s,minimum_wall_margin_class,known_failure_boundaries,claim_status
postw3lib_506082307066,primvar_energy_retaining_bank_inflight_only_6af6433af4fc,energy_retaining_bank,inflight_only,lqrta_energy_retaining_bank_799781835147,0.1,0.6,0.3,-0.2101057409609164,0.3371666666666667,unsafe_negative_margin,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,simulation_only_W3_derived_outcome_smoke
postw3lib_74ab983fd422,primvar_energy_retaining_bank_inflight_only_d94abe9663e0,energy_retaining_bank,inflight_only,lqrta_energy_retaining_bank_cb8806f679ea,0.0583333333333333,0.5916666666666667,0.35,-0.2446529015163345,0.3278333333333333,unsafe_negative_margin,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,simulation_only_W3_derived_outcome_smoke
postw3lib_3dc85a099189,primvar_energy_retaining_bank_inflight_only_ffbac52c8a05,energy_retaining_bank,inflight_only,lqrta_energy_retaining_bank_f070df89773d,0.0666666666666666,0.6416666666666667,0.2916666666666667,-0.2247773270657323,0.3563333333333334,unsafe_negative_margin,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,simulation_only_W3_derived_outcome_smoke
postw3lib_ec4fb24dbdb9,primvar_energy_retaining_bank_inflight_only_2bfb12941462,energy_retaining_bank,inflight_only,lqrta_energy_retaining_bank_d900ab349d59,0.0916666666666666,0.5916666666666667,0.3166666666666666,-0.2038099425830631,0.3245,unsafe_negative_margin,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,simulation_only_W3_derived_outcome_smoke
postw3lib_a6629043b6f6,primvar_glide_launch_capable_ae800d158abe,glide,launch_capable,lqrta_glide_3b5087a1988e,0.2,0.305,0.495,-0.2075188046134409,0.2609,unsafe_negative_margin,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,simulation_only_W3_derived_outcome_smoke
postw3lib_ee901c3f3847,primvar_glide_launch_capable_be81295c8871,glide,launch_capable,lqrta_glide_9bc19d0ed82a,0.165,0.325,0.51,-0.2311071598601985,0.2835000000000001,unsafe_negative_margin,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,simulation_only_W3_derived_outcome_smoke
postw3lib_2c30e1803eed,primvar_glide_launch_capable_665367d67b57,glide,launch_capable,lqrta_glide_afb58358f208,0.155,0.3,0.545,-0.2259023520233812,0.2804,unsafe_negative_margin,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,simulation_only_W3_derived_outcome_smoke
postw3lib_c3f2114b30aa,primvar_glide_launch_capable_b42f9fd3b50c,glide,launch_capable,lqrta_glide_34dfb234d334,0.18,0.3,0.52,-0.2217272638371721,0.2584000000000001,unsafe_negative_margin,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,simulation_only_W3_derived_outcome_smoke
postw3lib_6ee85f7ad3b4,primvar_lift_dwell_arc_inflight_only_cc79048e860d,lift_dwell_arc,inflight_only,lqrta_lift_dwell_arc_47abf378668a,0.05,0.7083333333333334,0.2416666666666666,-0.2281502595284073,0.3615000000000001,unsafe_negative_margin,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,simulation_only_W3_derived_outcome_smoke
postw3lib_05375aec91e8,primvar_lift_dwell_arc_inflight_only_ecf52612e6e5,lift_dwell_arc,inflight_only,lqrta_lift_dwell_arc_e8faf897618f,0.0416666666666666,0.65,0.3083333333333333,-0.2272966833067863,0.3403333333333334,unsafe_negative_margin,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,simulation_only_W3_derived_outcome_smoke
