chunk_index,start_row,row_count,status,relative_path,checksum_sha256,error_type,error
0,0,1000,skipped,lqr_tuning_rows/c00000.csv.gz,19c9b520efcac22efbdc74ff51d4c88606bfbfc04fa9cc0de38e03176bf6d5bb,,
1,1000,1000,skipped,lqr_tuning_rows/c00001.csv.gz,971ffa51f6ab341932d594ff79b6ca79434eed004e8098d32bb87331cd9456cb,,
2,2000,1000,skipped,lqr_tuning_rows/c00002.csv.gz,ab7f55dc01ae5e4d71b93f39acd1c660366a96c94a2f48352c9704e390da8efd,,
3,3000,1000,skipped,lqr_tuning_rows/c00003.csv.gz,48abbff676c3c73c183b30bb849a1f00c8cd1d534b6f3b1ab710ad472aad87d7,,
4,4000,1000,skipped,lqr_tuning_rows/c00004.csv.gz,367ae9cc4bc929097e830bd1122fe4591d83dcd6511b322eddbf8ebe49386519,,
5,5000,1000,skipped,lqr_tuning_rows/c00005.csv.gz,117a93baff7a41c6298344c6af94469de1f4d3b77cbc88dbdeaaf6b17d505bb8,,
6,6000,1000,skipped,lqr_tuning_rows/c00006.csv.gz,3abb60f143a031eb2fe3670bfbba69b5b6412e4b626dc7ef9f059f44deb435fd,,
7,7000,1000,skipped,lqr_tuning_rows/c00007.csv.gz,e79d10d8a84bc873183110a49e03b998212291c7798c5956600f17722ebe5305,,
8,8000,1000,skipped,lqr_tuning_rows/c00008.csv.gz,eacf945d281cffbc61d08dc97acb074b5dae56ae448f24a0b74c1300f49d3b9d,,
9,9000,1000,skipped,lqr_tuning_rows/c00009.csv.gz,d95e817ef53e0b5fa103e082d22bdc03d6df4ac9abcfd2790fde3b028039d88b,,
10,10000,1000,skipped,lqr_tuning_rows/c00010.csv.gz,7ef21428ea7acc1dbb272ff448e73834db35b5c34bff8a9626713ce65d861e8c,,
11,11000,1000,skipped,lqr_tuning_rows/c00011.csv.gz,21247396b4c34a14f81d3760fe4ce0fc15658b01cbfa982d42049fad6b8dbabd,,
12,12000,800,skipped,lqr_tuning_rows/c00012.csv.gz,41619d02d15196fc7aaf4b4a136cf937ab2d82c12aaf2b8231e6bbaa487a2080,,
