value,row_count,coverage_axis
energy_retaining_bank,30,primitive_id
glide,30,primitive_id
lift_dwell_arc,30,primitive_id
lift_entry,30,primitive_id
mild_turn_left,30,primitive_id
mild_turn_right,30,primitive_id
recovery,30,primitive_id
safe_exit_or_recovery_handoff,30,primitive_id
inflight_only,150,entry_role
launch_capable,30,entry_role
terminal_or_recovery,60,entry_role
0,120,candidate_index
1,120,candidate_index
launch_gate,240,start_state_family
W0,80,W_layer
W1,160,W_layer
dry_air,80,environment_mode
gaussian_four,80,environment_mode
gaussian_single,80,environment_mode
solved,240,lqr_synthesis_status
active_timing_aware_w01,240,controller_design_role
history_backed_fifo,30,timing_state_source
not_evaluated_blocked_before_rollout,210,timing_state_source
True,240,active_timing_aware_controller_used
False,240,baseline_controller_active
accepted,2,outcome_class
failed,28,outcome_class
rejected,210,outcome_class
blocked,210,boundary_use_class
continuation_valid,2,boundary_use_class
hard_failure,28,boundary_use_class
