primitive_id,entry_role,entry_role_compatible,row_count
energy_retaining_bank,inflight_only,False,48
energy_retaining_bank,inflight_only,True,72
glide,launch_capable,True,120
lift_dwell_arc,inflight_only,False,48
lift_dwell_arc,inflight_only,True,72
lift_entry,inflight_only,False,48
lift_entry,inflight_only,True,72
mild_turn_left,inflight_only,False,48
mild_turn_left,inflight_only,True,72
mild_turn_right,inflight_only,False,48
mild_turn_right,inflight_only,True,72
recovery,terminal_or_recovery,False,96
recovery,terminal_or_recovery,True,24
safe_exit_or_recovery_handoff,terminal_or_recovery,False,96
safe_exit_or_recovery_handoff,terminal_or_recovery,True,24
