chunk_index,status,row_start,row_stop,row_count,partition_path,manifest_path,byte_count,checksum_sha256,duration_s
0,complete,0,1000,1000,w01_primitive_rows/c00000.csv.gz,chunk_manifests/w01_primitive_rows/c00000.json,2445555,4b6d9e612c3cd8734034c573438dc29dd2e6b82a0417732217ccb20e19ddf6cc,114.43823623657227
1,complete,1000,2000,1000,w01_primitive_rows/c00001.csv.gz,chunk_manifests/w01_primitive_rows/c00001.json,2475709,d37164f02c3aca81b429fb3a25710c45eb4d2918afc336ab6ea8f8e3c1dc91a9,133.53856110572815
2,complete,2000,3000,1000,w01_primitive_rows/c00002.csv.gz,chunk_manifests/w01_primitive_rows/c00002.json,2474709,78b568d488ad5d1545ad54698e872c6211eebc824bb6ce7123ebd675390c242c,157.7893946170807
3,complete,3000,4000,1000,w01_primitive_rows/c00003.csv.gz,chunk_manifests/w01_primitive_rows/c00003.json,2444646,b2fc952eddd5142898ed0a166a76b5752d42c3eef57913bfa1b4ff157164dcbf,116.03430914878845
4,complete,4000,5000,1000,w01_primitive_rows/c00004.csv.gz,chunk_manifests/w01_primitive_rows/c00004.json,2467079,2955e444829037c9b9c40ad6f693920091f8b64b69bddf0955af1b63bfc1508a,132.26661586761475
5,complete,5000,6000,1000,w01_primitive_rows/c00005.csv.gz,chunk_manifests/w01_primitive_rows/c00005.json,2473635,d54dd10d96fe2aa0df71f49660b8698c379062754093f350e81526542ba60da6,157.21632885932922
6,complete,6000,7000,1000,w01_primitive_rows/c00006.csv.gz,chunk_manifests/w01_primitive_rows/c00006.json,2455891,9d99810fb3dae3e0f60bca46926e657b6187e95671f7c251c0449239a43e74e7,117.91160082817078
7,complete,7000,8000,1000,w01_primitive_rows/c00007.csv.gz,chunk_manifests/w01_primitive_rows/c00007.json,2459163,3f92af5a97cd3a774d1b4d0425a06bb0a5994db980bffa08e8ffb6a59c38cb16,130.4893982410431
8,complete,8000,9000,1000,w01_primitive_rows/c00008.csv.gz,chunk_manifests/w01_primitive_rows/c00008.json,2477142,3307a797d8c0b1743954fb42693fae11ac0246480fca4867883eeade4e1d6dbf,121.6676893234253
9,complete,9000,10000,1000,w01_primitive_rows/c00009.csv.gz,chunk_manifests/w01_primitive_rows/c00009.json,2468559,515ab4fd67ed4b535fbcebdc10a65b9b2a7992bed0e8a91e7c3cf303ea405880,84.08784461021423
