primitive_id,entry_role,transition_entry_class,transition_exit_class,transition_chain_compatible,transition_failure_reason,row_count
energy_retaining_bank,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,360
energy_retaining_bank,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,173
energy_retaining_bank,transition_object,boundary_near,safe_terminal,True,,427
energy_retaining_bank,transition_object,inflight_stable,boundary_near,True,,3300
energy_retaining_bank,transition_object,inflight_stable,inflight_stable,True,,378
energy_retaining_bank,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,162
energy_retaining_bank,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,1774
energy_retaining_bank,transition_object,launch_gate,inflight_stable,True,,790
energy_retaining_bank,transition_object,launch_gate,post_launch_degraded,True,,1276
energy_retaining_bank,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,598
energy_retaining_bank,transition_object,recoverable_degraded,inflight_stable,True,,156
energy_retaining_bank,transition_object,recoverable_degraded,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,206
glide,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,360
glide,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,174
glide,transition_object,boundary_near,safe_terminal,True,,426
glide,transition_object,inflight_stable,boundary_near,True,,3297
glide,transition_object,inflight_stable,inflight_stable,True,,379
glide,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,164
glide,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,1774
glide,transition_object,launch_gate,inflight_stable,True,,792
glide,transition_object,launch_gate,post_launch_degraded,True,,1274
glide,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,597
glide,transition_object,recoverable_degraded,inflight_stable,True,,153
glide,transition_object,recoverable_degraded,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,210
lift_dwell_arc,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,360
lift_dwell_arc,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,172
lift_dwell_arc,transition_object,boundary_near,safe_terminal,True,,428
lift_dwell_arc,transition_object,inflight_stable,boundary_near,True,,3299
lift_dwell_arc,transition_object,inflight_stable,inflight_stable,True,,391
lift_dwell_arc,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,150
lift_dwell_arc,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,1774
lift_dwell_arc,transition_object,launch_gate,inflight_stable,True,,794
lift_dwell_arc,transition_object,launch_gate,post_launch_degraded,True,,1272
lift_dwell_arc,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,599
lift_dwell_arc,transition_object,recoverable_degraded,inflight_stable,True,,157
lift_dwell_arc,transition_object,recoverable_degraded,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,204
lift_entry,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,359
lift_entry,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,172
lift_entry,transition_object,boundary_near,safe_terminal,True,,429
lift_entry,transition_object,inflight_stable,boundary_near,True,,3301
lift_entry,transition_object,inflight_stable,inflight_stable,True,,380
lift_entry,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,159
lift_entry,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,1775
lift_entry,transition_object,launch_gate,inflight_stable,True,,792
lift_entry,transition_object,launch_gate,post_launch_degraded,True,,1273
lift_entry,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,597
lift_entry,transition_object,recoverable_degraded,inflight_stable,True,,159
lift_entry,transition_object,recoverable_degraded,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,204
mild_turn_left,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,360
mild_turn_left,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,173
mild_turn_left,transition_object,boundary_near,safe_terminal,True,,427
mild_turn_left,transition_object,inflight_stable,boundary_near,True,,3299
mild_turn_left,transition_object,inflight_stable,inflight_stable,True,,389
mild_turn_left,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,152
mild_turn_left,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,1772
mild_turn_left,transition_object,launch_gate,inflight_stable,True,,797
mild_turn_left,transition_object,launch_gate,post_launch_degraded,True,,1271
mild_turn_left,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,599
mild_turn_left,transition_object,recoverable_degraded,inflight_stable,True,,160
mild_turn_left,transition_object,recoverable_degraded,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,201
