coverage_axis,value,row_count
outcome_class,accepted,2035
outcome_class,blocked,23040
outcome_class,failed,10936
outcome_class,weak,15189
failure_label,entry_role_not_launch_capable,23040
failure_label,floor_violation,998
failure_label,model_boundary_only,597
failure_label,speed_low,1197
failure_label,success,2035
failure_label,terminal_recovery_limited,5902
failure_label,xy_boundary_terminal,17431
boundary_use_class,blocked,23040
boundary_use_class,continuation_valid,2632
boundary_use_class,episode_terminal_useful,14592
boundary_use_class,hard_failure,10936
environment_mode,w3_randomised_four,25600
environment_mode,w3_randomised_single,25600
start_state_family,inflight_boundary_near,5120
start_state_family,inflight_lift_region,7680
start_state_family,inflight_nominal,12800
start_state_family,inflight_recovery_edge,5120
start_state_family,launch_gate,20480
timing_state_source,history_backed_fifo,28160
timing_state_source,not_evaluated_blocked_before_rollout,23040
source_evidence_label,,51200
