chunk_index,status,row_start,row_stop,row_count,partition_path,manifest_path,byte_count,checksum_sha256,duration_s
0,complete,0,800,800,w3_survival_rows/c00000.csv.gz,chunk_manifests/w3_survival_rows/c00000.json,1641450,2db60919be04f6a60805f255e3deb2f3041c8c143bacc8e89b9d27003cb7fe8e,76.16734027862549
1,complete,800,1600,800,w3_survival_rows/c00001.csv.gz,chunk_manifests/w3_survival_rows/c00001.json,1627882,110b805929379d3aec422ed8b829ea2df9d704cea34e3d323682dd3b6dcc29d9,75.60019755363464
2,complete,1600,2400,800,w3_survival_rows/c00002.csv.gz,chunk_manifests/w3_survival_rows/c00002.json,1632456,460436d1e5ce2be4a341f79a5f0aedba77718cb0ccb54402b74d99ab01d17ee5,76.6140763759613
3,complete,2400,3200,800,w3_survival_rows/c00003.csv.gz,chunk_manifests/w3_survival_rows/c00003.json,1635184,146b8a215befe2ea569112630e5d68de7c64766b2bb24e0fea39c009e26d131e,76.12980794906616
4,complete,3200,4000,800,w3_survival_rows/c00004.csv.gz,chunk_manifests/w3_survival_rows/c00004.json,1636854,2e3a189dc15bc12a635bbff26ad5900db33ea58c46bae096b675b2825efb147e,78.24002313613892
5,complete,4000,4800,800,w3_survival_rows/c00005.csv.gz,chunk_manifests/w3_survival_rows/c00005.json,1638824,9dc6ed09c8b9258eab20ae183436453407bc3fbedff912abd0f03b23a1bcf082,75.37746071815491
6,complete,4800,5600,800,w3_survival_rows/c00006.csv.gz,chunk_manifests/w3_survival_rows/c00006.json,1632520,2f5f6a59d9936c619c3e5a1267ad4ee33a90450083581074a78e5d3ce4e211cd,79.6890811920166
7,complete,5600,6400,800,w3_survival_rows/c00007.csv.gz,chunk_manifests/w3_survival_rows/c00007.json,1633725,1d51284a5f33b13d01dd8fdbb17a2b12a6a80a00035eb75bed8429c07ebf247f,69.83893775939941
8,complete,6400,7200,800,w3_survival_rows/c00008.csv.gz,chunk_manifests/w3_survival_rows/c00008.json,1634916,0663604be2ae34d0c2c0318b2449598d6851379a45a1e29d4a7cec79a39d302f,50.549638986587524
9,complete,7200,8000,800,w3_survival_rows/c00009.csv.gz,chunk_manifests/w3_survival_rows/c00009.json,1641292,1ba7747a31491ca764662cefd78cd62c623a707ba5f2aad9caa0f5bc4b3442a1,65.02971124649048
10,complete,8000,8800,800,w3_survival_rows/c00010.csv.gz,chunk_manifests/w3_survival_rows/c00010.json,1631404,1e55e651bce0935aafcaec57dea5cdd435d59514a1387688da4d509ab9af941a,65.09779763221741
11,complete,8800,9600,800,w3_survival_rows/c00011.csv.gz,chunk_manifests/w3_survival_rows/c00011.json,1640397,10e415f2334d96bf39a8079eae9d81fa4bca41d89f6f43a25344a5a7316ddb16,64.75575947761536
12,complete,9600,10400,800,w3_survival_rows/c00012.csv.gz,chunk_manifests/w3_survival_rows/c00012.json,1648319,9bf8841e41b922217fe6a9240622cff3ae8c9b1398cf978b674266fdeab4ea13,64.30623030662537
13,complete,10400,11200,800,w3_survival_rows/c00013.csv.gz,chunk_manifests/w3_survival_rows/c00013.json,1646074,9d3e4c617fd00ac4a28205ab1f14eb90548c8d7faa4600bbf068799e09ac5927,64.43331289291382
14,complete,11200,12000,800,w3_survival_rows/c00014.csv.gz,chunk_manifests/w3_survival_rows/c00014.json,1641416,f89a9db9c7c34fe0bd8f0ac5528135654defb8ac3466e48bf05ce096b4fbadc3,64.45858883857727
15,complete,12000,12800,800,w3_survival_rows/c00015.csv.gz,chunk_manifests/w3_survival_rows/c00015.json,1639727,34cff5f8e85ae1fff112db7e7b65f70f3b3e4890fd6f830b362a9dfdb8b16488,67.26749205589294
16,complete,12800,13600,800,w3_survival_rows/c00016.csv.gz,chunk_manifests/w3_survival_rows/c00016.json,1642373,c144d4053f3432136ab3acb7987a1109814c22fabba6eb9e46bb3cc07653ec57,57.47005534172058
17,complete,13600,14400,800,w3_survival_rows/c00017.csv.gz,chunk_manifests/w3_survival_rows/c00017.json,1652980,e9b9ea8811c92f2773d06f09105266e717b87847c708bb631d1e52866ebf8c97,55.66580605506897
18,complete,14400,15200,800,w3_survival_rows/c00018.csv.gz,chunk_manifests/w3_survival_rows/c00018.json,1635736,02275df85bceb216392b39b3c10363aed81f17920e5b9a6ae0438ea4a9cac49f,51.84609770774841
19,complete,15200,16000,800,w3_survival_rows/c00019.csv.gz,chunk_manifests/w3_survival_rows/c00019.json,1639838,585ecf6a56d3d4cced424157f2787f7df17e9f9cefd4fc00a0a8c21301b5d579,54.448025703430176
20,complete,16000,16800,800,w3_survival_rows/c00020.csv.gz,chunk_manifests/w3_survival_rows/c00020.json,1638313,6360a187474a1e67042b778e0d19d5d19ac1354959a12727449a584c61ca2579,54.06003379821777
21,complete,16800,17600,800,w3_survival_rows/c00021.csv.gz,chunk_manifests/w3_survival_rows/c00021.json,1653522,9cce7c4847451faf5da78e9492706a00901792b3ad92c37c868f5fa6704595cc,53.5021493434906
22,complete,17600,17920,320,w3_survival_rows/c00022.csv.gz,chunk_manifests/w3_survival_rows/c00022.json,667162,5eaa26862cfa469746dcd5d0eb2165362d57850a9c766572ed9c1046224617a9,24.383710145950317
