primitive_id,entry_role,start_state_family,environment_mode,transition_entry_class,transition_exit_class,transition_pair,transition_failure_reason,row_count,transition_chain_compatible_count,hard_failure_count
energy_retaining_bank,transition_object,inflight_boundary_near,dry_air,boundary_near,boundary_near,boundary_near->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,576,0,0
energy_retaining_bank,transition_object,inflight_boundary_near,dry_air,boundary_near,safe_terminal,boundary_near->safe_terminal,,704,704,0
energy_retaining_bank,transition_object,inflight_boundary_near,w3_randomised_four,boundary_near,boundary_near,boundary_near->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,576,0,0
energy_retaining_bank,transition_object,inflight_boundary_near,w3_randomised_four,boundary_near,safe_terminal,boundary_near->safe_terminal,,704,704,0
energy_retaining_bank,transition_object,inflight_boundary_near,w3_randomised_single,boundary_near,boundary_near,boundary_near->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,576,0,0
energy_retaining_bank,transition_object,inflight_boundary_near,w3_randomised_single,boundary_near,safe_terminal,boundary_near->safe_terminal,,704,704,0
energy_retaining_bank,transition_object,inflight_lift_region,dry_air,inflight_stable,boundary_near,inflight_stable->boundary_near,,528,528,0
energy_retaining_bank,transition_object,inflight_lift_region,dry_air,inflight_stable,inflight_stable,inflight_stable->inflight_stable,,132,132,0
energy_retaining_bank,transition_object,inflight_lift_region,w3_randomised_four,inflight_stable,boundary_near,inflight_stable->boundary_near,,539,539,0
energy_retaining_bank,transition_object,inflight_lift_region,w3_randomised_four,inflight_stable,inflight_stable,inflight_stable->inflight_stable,,110,110,0
energy_retaining_bank,transition_object,inflight_lift_region,w3_randomised_four,inflight_stable,recoverable_degraded,inflight_stable->recoverable_degraded,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,11,0,0
energy_retaining_bank,transition_object,inflight_lift_region,w3_randomised_single,inflight_stable,boundary_near,inflight_stable->boundary_near,,528,528,0
energy_retaining_bank,transition_object,inflight_lift_region,w3_randomised_single,inflight_stable,inflight_stable,inflight_stable->inflight_stable,,3,3,0
energy_retaining_bank,transition_object,inflight_lift_region,w3_randomised_single,inflight_stable,recoverable_degraded,inflight_stable->recoverable_degraded,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,129,0,0
energy_retaining_bank,transition_object,inflight_nominal,dry_air,inflight_stable,boundary_near,inflight_stable->boundary_near,,594,594,0
energy_retaining_bank,transition_object,inflight_nominal,dry_air,inflight_stable,inflight_stable,inflight_stable->inflight_stable,,65,65,0
energy_retaining_bank,transition_object,inflight_nominal,dry_air,inflight_stable,recoverable_degraded,inflight_stable->recoverable_degraded,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,1,0,0
