diagnostic_version,environment_block_id,library_size_case_id,policy_id,paired_case_count,neutral_mission_success_rate,controlled_mission_success_rate,mission_success_delta_control_minus_neutral,neutral_safe_geometric_rate,controlled_safe_success_rate,safe_success_delta_control_minus_neutral,neutral_wrong_wall_exit_rate,controlled_wrong_wall_exit_rate,neutral_floor_or_ceiling_rate,controlled_floor_or_ceiling_rate,neutral_mean_score,controlled_mean_launch_score,score_delta_control_minus_neutral,neutral_mean_terminal_specific_energy_m,controlled_mean_terminal_specific_energy_m
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l0_dry_air_fixed,balanced_cluster,no_memory_baseline,50,0.68,0.78,0.09999999999999998,0.74,0.78,0.040000000000000036,0.06,0.0,0.26,0.0,57.333520355817846,90.03270119872303,32.699180842905186,2.6380650799216006,2.689169663342944
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l0_dry_air_fixed,balanced_cluster,spatial_flow_belief_memory_h10,50,0.68,0.78,0.09999999999999998,0.74,0.78,0.040000000000000036,0.06,0.0,0.26,0.0,57.33352035581785,90.00867190510897,32.675151549291115,2.6380650799216006,2.687789894618059
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l0_dry_air_fixed,balanced_cluster,spatial_flow_belief_memory_h3,50,0.68,0.78,0.09999999999999998,0.74,0.78,0.040000000000000036,0.06,0.0,0.26,0.0,57.333520355817846,90.0220206194286,32.688500263610756,2.6380650799216006,2.688338077853876
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l0_dry_air_fixed,balanced_cluster,spatial_flow_belief_memory_h30,50,0.68,0.78,0.09999999999999998,0.74,0.78,0.040000000000000036,0.06,0.0,0.26,0.0,57.33352035581785,90.01775234285513,32.68423198703728,2.638065079921601,2.687425179468373
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l1_single_fan_fixed_nominal,balanced_cluster,no_memory_baseline,50,0.5,0.72,0.21999999999999997,0.66,0.72,0.05999999999999994,0.16,0.02,0.34,0.0,24.545727627602663,88.50320680144483,63.957479173842174,2.831603480709595,2.8516002104579417
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l1_single_fan_fixed_nominal,balanced_cluster,spatial_flow_belief_memory_h10,50,0.5,0.72,0.21999999999999997,0.66,0.72,0.05999999999999994,0.16,0.02,0.34,0.0,24.545727627602663,88.53718308729945,63.991455459696795,2.831603480709595,2.8569673315623008
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l1_single_fan_fixed_nominal,balanced_cluster,spatial_flow_belief_memory_h3,50,0.5,0.72,0.21999999999999997,0.66,0.72,0.05999999999999994,0.16,0.02,0.34,0.0,24.545727627602663,88.5447382341566,63.99901060655394,2.831603480709595,2.8567586473239004
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l1_single_fan_fixed_nominal,balanced_cluster,spatial_flow_belief_memory_h30,50,0.5,0.72,0.21999999999999997,0.66,0.74,0.07999999999999996,0.16,0.04,0.34,0.0,24.545727627602663,87.5447382341566,62.99901060655394,2.831603480709595,2.8559454356945237
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l2_four_fan_fixed_nominal,balanced_cluster,no_memory_baseline,50,0.38,0.74,0.36,0.58,0.86,0.28,0.2,0.12,0.42,0.0,1.6663143835470726,93.4971838052917,91.83086942174462,2.8504232384247725,3.017592257172215
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l2_four_fan_fixed_nominal,balanced_cluster,spatial_flow_belief_memory_h10,50,0.38,0.76,0.38,0.58,0.86,0.28,0.2,0.1,0.42,0.0,1.6663143835470708,97.38452281111202,95.71820842756495,2.8504232384247725,3.0197294129475707
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l2_four_fan_fixed_nominal,balanced_cluster,spatial_flow_belief_memory_h3,50,0.38,0.76,0.38,0.58,0.86,0.28,0.2,0.1,0.42,0.0,1.6663143835470715,97.37998007471325,95.71366569116617,2.8504232384247725,3.0199500651134525
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l2_four_fan_fixed_nominal,balanced_cluster,spatial_flow_belief_memory_h30,50,0.38,0.76,0.38,0.58,0.86,0.28,0.2,0.1,0.42,0.0,1.6663143835470715,97.3927009661171,95.72638658257003,2.8504232384247725,3.0206583004704988
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l3_fan_parameter_uncertainty,balanced_cluster,no_memory_baseline,50,0.44,0.72,0.27999999999999997,0.58,0.78,0.20000000000000007,0.14,0.08,0.42,0.0,11.522669442434715,89.71324221816045,78.19057277572573,2.763944605476948,2.8884351610536605
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l3_fan_parameter_uncertainty,balanced_cluster,spatial_flow_belief_memory_h10,50,0.44,0.72,0.27999999999999997,0.58,0.78,0.20000000000000007,0.14,0.08,0.42,0.0,11.522669442434715,89.8936034463156,78.37093400388088,2.763944605476948,2.8916084230895898
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l3_fan_parameter_uncertainty,balanced_cluster,spatial_flow_belief_memory_h3,50,0.44,0.72,0.27999999999999997,0.58,0.78,0.20000000000000007,0.14,0.08,0.42,0.0,11.522669442434715,89.72358722322069,78.20091778078597,2.763944605476947,2.8885606967142707
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l3_fan_parameter_uncertainty,balanced_cluster,spatial_flow_belief_memory_h30,50,0.44,0.72,0.27999999999999997,0.58,0.78,0.20000000000000007,0.14,0.08,0.42,0.0,11.522669442434715,89.67970893488116,78.15703949244644,2.763944605476948,2.8906833733171893
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l4_local_fan_position_uncertainty,balanced_cluster,no_memory_baseline,50,0.46,0.74,0.27999999999999997,0.58,0.76,0.18000000000000005,0.12,0.04,0.42,0.0,15.27286319463426,95.78566206221669,80.51279886758243,2.773225388005755,2.8789970862117498
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l4_local_fan_position_uncertainty,balanced_cluster,spatial_flow_belief_memory_h10,50,0.46,0.72,0.25999999999999995,0.58,0.74,0.16000000000000003,0.12,0.06,0.42,0.0,15.27286319463426,91.33038903172805,76.05752583709379,2.773225388005755,2.887412141299167
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l4_local_fan_position_uncertainty,balanced_cluster,spatial_flow_belief_memory_h3,50,0.46,0.72,0.25999999999999995,0.58,0.74,0.16000000000000003,0.12,0.06,0.42,0.0,15.27286319463426,91.34321705480805,76.0703538601738,2.773225388005755,2.8802521315649523
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l4_local_fan_position_uncertainty,balanced_cluster,spatial_flow_belief_memory_h30,50,0.46,0.72,0.25999999999999995,0.58,0.74,0.16000000000000003,0.12,0.06,0.42,0.0,15.27286319463426,91.31341524468557,76.04055205005132,2.773225388005755,2.882850641361415
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l5_active_fan_count_uncertainty,balanced_cluster,no_memory_baseline,50,0.62,0.78,0.16000000000000003,0.7,0.8,0.10000000000000009,0.08,0.02,0.3,0.0,45.61941739650074,95.4911498820557,49.87173248555496,2.7280543219536626,2.78758312322276
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l5_active_fan_count_uncertainty,balanced_cluster,spatial_flow_belief_memory_h10,50,0.62,0.76,0.14,0.7,0.8,0.10000000000000009,0.08,0.04,0.3,0.0,45.61941739650074,92.1159254817913,46.49650808529056,2.7280543219536635,2.7916525659476488
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l5_active_fan_count_uncertainty,balanced_cluster,spatial_flow_belief_memory_h3,50,0.62,0.76,0.14,0.7,0.8,0.10000000000000009,0.08,0.04,0.3,0.0,45.61941739650074,92.13191651725782,46.512499120757084,2.7280543219536635,2.7912446734122707
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l5_active_fan_count_uncertainty,balanced_cluster,spatial_flow_belief_memory_h30,50,0.62,0.78,0.16000000000000003,0.7,0.8,0.10000000000000009,0.08,0.02,0.3,0.0,45.61941739650074,95.46523419122762,49.845816794726886,2.7280543219536626,2.789994290311664
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l6_environment_only_full_uncertainty,balanced_cluster,no_memory_baseline,50,0.52,0.74,0.21999999999999997,0.66,0.76,0.09999999999999998,0.14,0.02,0.34,0.0,27.62279384823812,90.13226991354676,62.50947606530865,2.6826290563710926,2.7606094972909236
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l6_environment_only_full_uncertainty,balanced_cluster,spatial_flow_belief_memory_h10,50,0.52,0.74,0.21999999999999997,0.66,0.76,0.09999999999999998,0.14,0.02,0.34,0.0,27.622793848238118,90.84096329731244,63.218169449074324,2.682629056371092,2.7646647707196887
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l6_environment_only_full_uncertainty,balanced_cluster,spatial_flow_belief_memory_h3,50,0.52,0.72,0.19999999999999996,0.66,0.76,0.09999999999999998,0.14,0.04,0.34,0.0,27.62279384823812,87.45731744286113,59.83452359462301,2.682629056371092,2.768588951898908
r11_balanced_true_neutral_intervention_diagnostic_v1,r11_l6_environment_only_full_uncertainty,balanced_cluster,spatial_flow_belief_memory_h30,50,0.52,0.74,0.21999999999999997,0.66,0.76,0.09999999999999998,0.14,0.02,0.34,0.0,27.62279384823812,90.90392504578789,63.28113119754977,2.682629056371092,2.7611552588462085
