diagnostic_version,outer_case_index,environment_block_id,paired_start_condition_index,neutral_status,neutral_policy_id,initial_launch_speed_m_s,termination_cause,trajectory_status,mission_success,front_wall_terminal_success,wrong_wall_exit,floor_or_ceiling_violation,hard_failure,safe_geometric,terminal_wall_face,episode_flight_time_s,start_specific_energy_m,terminal_specific_energy_m,net_specific_energy_delta_m,final_exit_x_w_m,final_exit_y_w_m,final_exit_z_w_m,min_wall_margin_m,floor_margin_m,ceiling_margin_m,max_abs_surface_rad,neutral_diagnostic_score,wind_mode,environment_instance_id,W_layer,environment_mode,fan_count,active_fan_count,path_points_json
r11_balanced_true_neutral_intervention_diagnostic_v1,0,r11_l0_dry_air_fixed,0,complete,true_neutral_open_loop,6.2913783052715555,wall_boundary_exit_retained,finite_neutral_rollout,False,False,True,False,False,True,side_wall_y_min,1.32,3.7557707644389597,2.0626201533980044,-1.6931506110409553,5.679902745728544,-0.014492960622041258,1.1180842193950784,-0.014492960622041258,0.7180842193950784,1.2656411788977247,0.0,-50.0,none,W0_dry_air_s22000020,W0,dry_air,0,0,"[[1.216717778721598,1.9316107324162222,1.7376789094200902],[1.331260264163773,1.9462054697958913,1.7837544569328208],[1.8845724456617534,1.966626089217208,1.9591403530290918],[2.386194769271725,1.9141624180372094,2.084318680586035],[2.831943906331481,1.8081351746500511,2.1723392242014143],[3.227034450482909,1.6645487115775166,2.223201144189669],[3.581477432616598,1.498632183286495,2.2329626317421516],[3.9021944440970815,1.3211366373232363,2.2024136523925546],[4.192982908121573,1.1383761581175107,2.13741730632025],[4.4596680665931245,0.9544644418472171,2.0413822015282204],[4.709100422760405,0.7705413536434587,1.9159455677625044],[4.94854172861863,0.5853237911995731,1.7620108263162308],[5.1854400558363904,0.3956827299668581,1.5791276179759544],[5.426973242438444,0.19752611650634508,1.3646331675739052],[5.679902745728544,-0.014492960622041258,1.1180842193950784]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,1,r11_l0_dry_air_fixed,3,complete,true_neutral_open_loop,6.235436254627058,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,1.34,3.443949936919763,1.8144190586014788,-1.6295308783182842,6.63065388922558,0.09469954815539394,0.997444439094385,-0.030653889225580322,0.5974444390943849,1.6913669534372457,0.0,114.14419058601479,none,W0_dry_air_s22000061,W0,dry_air,0,0,"[[1.3293256952967845,1.8323772392295308,1.4615876987692469],[1.4457976756804285,1.8209886478944644,1.4999194963952192],[2.0077580253488896,1.7246952579473473,1.6215496494689339],[2.5254354455056482,1.589487758795399,1.6994841825488642],[3.002682148844274,1.437411669840252,1.7555055841206848],[3.446974506798511,1.2810751645484848,1.7913269827750156],[3.863734920000418,1.1274466307752997,1.8075783402753134],[4.25675505337474,0.9799294083020234,1.8036358296488555],[4.629721244423409,0.8396409859231666,1.7715720037150264],[4.983534461447355,0.7070968856040096,1.7111369016895224],[5.318584435182084,0.5820390661797746,1.627227067428733],[5.638400206583704,0.46299223357786917,1.5200254294423552],[5.948585748817935,0.34775978381050765,1.388013522851456],[6.2558643188203025,0.23374034372391395,1.228892158824387],[6.567271085091673,0.118196676447176,1.0392784391001426],[6.63065388922558,0.09469954815539394,0.997444439094385]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,2,r11_l0_dry_air_fixed,5,complete,true_neutral_open_loop,7.757970281372746,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,0.96,4.827393235689758,3.3727209915237486,-1.4546722441660096,6.663533964097294,2.6701677182607098,2.3720479973521686,-0.06353396409729406,1.3587559902153745,1.1109148046335386,0.0,120.0,none,W0_dry_air_s22000102,W0,dry_air,0,0,"[[1.2014463458789975,2.0304453358913244,1.7587559902153744],[1.3500235546271389,2.0232570291003884,1.7981821364883706],[2.07611194817129,2.005437131047337,1.9407588877616877],[2.7559668461124613,2.0316235162436644,2.0600642355296634],[3.388419096657675,2.096242604334277,2.1631994716575744],[3.9795266382029655,2.18317847403229,2.2473344363927787],[4.535430821361651,2.279041633232104,2.3115006819876105],[5.060929549692316,2.3755755349790033,2.355940954784577],[5.559652181064356,2.468582607175201,2.3814522907435034],[6.034475843036659,2.55639977670461,2.3890851953664614],[6.487783460027056,2.63872049546142,2.380048346991102],[6.663533964097294,2.6701677182607098,2.3720479973521686]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,3,r11_l0_dry_air_fixed,8,complete,true_neutral_open_loop,7.271907406914219,floor_margin_stop,finite_neutral_rollout,False,False,False,True,False,False,none,0.74,4.190135561712889,2.7892146465134586,-1.4009209151994306,6.101912513485295,0.6698529079450237,0.38425858010316377,0.039748023060061755,-0.01574141989683625,2.0060266004288154,0.0,-80.0,none,W0_dry_air_s22000143,W0,dry_air,0,0,"[[1.2397480230600617,1.969559549813186,1.4939733995711848],[1.379735879311393,1.9334065736615453,1.487266765839715],[2.068095174856585,1.7698535210076336,1.3822282109258661],[2.7435067674728524,1.609551178252241,1.241070890222547],[3.405750123542966,1.4370253305542233,1.0929721829972185],[4.056436636562419,1.2536272176819363,0.9391738293709121],[4.699219307619236,1.0664090890546287,0.7773549769654422],[5.337681405176006,0.8819266719316042,0.6054791637749912],[5.9745498595943145,0.704343852121359,0.42231013435819154],[6.101912513485295,0.6698529079450237,0.38425858010316377]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,4,r11_l0_dry_air_fixed,10,complete,true_neutral_open_loop,7.9405809451807965,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,0.84,5.000448456279666,3.5537961451752462,-1.4466523111044198,6.651914646288701,1.5903400773849778,2.039993868768942,-0.05191464628870168,1.385649021866877,1.410496441168989,0.0,120.0,none,W0_dry_air_s22000184,W0,dry_air,0,0,"[[1.274554826627862,2.0738364507561506,1.785649021866877],[1.4250432060110225,2.044537509053066,1.820509098657752],[2.1659887542601646,1.947912546750146,1.9239957469521232],[2.87608619964115,1.892682665234859,1.989800184916056],[3.5538982759908833,1.847295595198601,2.0381126293314207],[4.201461033805133,1.8006120638811844,2.0703143943111955],[4.821382706545417,1.7509608612863024,2.08688701296956],[5.416489327392718,1.6998040403874572,2.0882517385676875],[5.98957146334155,1.648992666384518,2.0748525107795346],[6.543276751393721,1.5998824883729834,2.0471901262908507],[6.651914646288701,1.5903400773849778,2.039993868768942]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,5,r11_l0_dry_air_fixed,13,complete,true_neutral_open_loop,4.884483329326275,floor_margin_stop,finite_neutral_rollout,False,False,False,True,False,False,none,1.26,2.8010420781351546,1.525741222499728,-1.2753008556354266,5.81223355787422,0.8673705142439236,0.393926290746906,0.16154350590360722,-0.006073709253094028,1.7374651478842875,0.0,-80.0,none,W0_dry_air_s22000225,W0,dry_air,0,0,"[[1.3615435059036072,1.9786871851524883,1.5846135630731153],[1.4445785545243943,1.9398157695328941,1.6153635872818504],[1.8594823010027965,1.7634648385194795,1.7105497298633023],[2.263396813259735,1.6195199195242593,1.7526578986944858],[2.650943990894908,1.502044961464831,1.7619429666782707],[3.021834144884799,1.4018655723602402,1.737637784434584],[3.376299656183179,1.3129951014541994,1.6782041324681782],[3.714219870522282,1.2349637314634114,1.5903986812618398],[4.038039585731266,1.1659282505720563,1.4772024548509828],[4.352730844604515,1.1035811640342708,1.3389788607221325],[4.664967811375476,1.045749698865158,1.1746516206362279],[4.982253293487425,0.9907405521245853,0.9813314298964786],[5.311916845143237,0.9363056030947398,0.7561694789699067],[5.664034964656187,0.8858785642569177,0.5035050980357069],[5.81223355787422,0.8673705142439236,0.393926290746906]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,6,r11_l0_dry_air_fixed,15,complete,true_neutral_open_loop,7.9103672515567345,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,0.78,4.585579442859766,2.9785164507667363,-1.6070629920930295,6.625236963385721,0.4186498214969186,0.74035149293114,-0.025236963385721012,0.34035149293114,2.10480208674011,0.0,120.0,none,W0_dry_air_s22000266,W0,dry_air,0,0,"[[1.3459265357453853,1.9312902338465372,1.39519791325989],[1.490648943852158,1.870913281743381,1.3829198101852145],[2.208764924890052,1.60595325111628,1.3343628721213072],[2.9155918875191453,1.3852123681908106,1.2762634822548413],[3.6085716062280224,1.1906296894702681,1.2057464151694843],[4.28695678783033,1.0105202177777408,1.123875650590977],[4.951401743013983,0.8388512090188244,1.0311612625706499],[5.603383103680413,0.6731278593892251,0.9278040218103069],[6.244734560974894,0.5125738064532639,0.8138381344171958],[6.625236963385721,0.4186498214969186,0.74035149293114]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,7,r11_l0_dry_air_fixed,18,complete,true_neutral_open_loop,5.379504780312634,floor_margin_stop,finite_neutral_rollout,False,False,False,True,False,False,none,1.04,3.0607072422926014,1.4575854628646023,-1.603121779427999,5.879960724148003,2.4170393247204487,0.386226266530443,0.19735446796803857,-0.013773733469557015,1.9147747868104297,0.0,-80.0,none,W0_dry_air_s22000307,W0,dry_air,0,0,"[[1.3973544679680385,2.1966717446938926,1.5852252131895703],[1.496783870131227,2.233738792289116,1.570568068950324],[1.9924683499938052,2.374781822763919,1.4978250307411762],[2.4751565547380636,2.4597619608088697,1.4277099583204056],[2.936831897577839,2.50617715674085,1.3550133067073988],[3.3753373290810478,2.5260046592378345,1.2774432953399242],[3.7939451427192377,2.5291945588367613,1.1882195584170672],[4.198634845818655,2.5222968677594544,1.0801147127357857],[4.596174575823663,2.512078680086909,0.9488306584048333],[4.992525396247878,2.496998085958082,0.7930070294594548],[5.39227236221768,2.4696842201402522,0.6166528058332944],[5.798067357564158,2.4274904782614484,0.4256376440573763],[5.879960724148003,2.4170393247204487,0.386226266530443]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,8,r11_l0_dry_air_fixed,21,complete,true_neutral_open_loop,4.804748838946783,floor_margin_stop,finite_neutral_rollout,False,False,False,True,False,False,none,1.02,2.795298008854937,1.3807838015059062,-1.4145142073490309,5.733543293726908,0.8741852025727871,0.3757194706305707,0.09449388153863003,-0.024280529369429316,1.881740602972775,0.0,-80.0,none,W0_dry_air_s22000348,W0,dry_air,0,0,"[[1.29449388153863,2.147102199396998,1.618259397027225],[1.3830071127521508,2.1133983342798586,1.6020025667772286],[1.8254384462245832,1.9553329603973029,1.5049056475834999],[2.2678691764656977,1.81218105334846,1.3948315254604566],[2.7104194493483744,1.6799525796812884,1.2772290524173187],[3.153134203001072,1.5549704196876402,1.154154972316222],[3.595870154632445,1.4344335070770897,1.02765640907835],[4.037813155247667,1.3166597898356263,0.9006980643376625],[4.4755468030813805,1.2014161050624663,0.774646086163491],[4.904728838330534,1.0891587031872807,0.6447971560735528],[5.323488670077553,0.9802666971008146,0.5132276970096279],[5.733543293726908,0.8741852025727871,0.3757194706305707]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,9,r11_l0_dry_air_fixed,23,complete,true_neutral_open_loop,7.392307456997559,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,0.78,4.476922166235313,2.9810543841743944,-1.4958677820609183,6.641753938426008,1.7566817155602945,0.6332153628113826,-0.04175393842600794,0.23321536281138255,1.8092591259889288,0.0,120.0,none,W0_dry_air_s22000389,W0,dry_air,0,0,"[[1.3718843081906091,2.1641505097851934,1.6907408740110712],[1.5182156318775144,2.1775362507574085,1.6864834225848855],[2.234088322437704,2.206352111535624,1.6014544203342023],[2.93088410994648,2.1821370203768677,1.4871304027509724],[3.6128771349848376,2.126395520647012,1.3603109065478762],[4.283633339293346,2.0551061918095104,1.2218115315271447],[4.945910525418124,1.9767664650405163,1.0722568518376019],[5.601767624020327,1.894713773594418,0.9119906371708563],[6.252831931108833,1.8095196351565794,0.7410133694221759],[6.641753938426008,1.7566817155602945,0.6332153628113826]]"
