scenario_index,scenario_name,scenario_description,hold_seconds,command_dt_seconds,ramp_levels,surface_index,surface_name,positive_full_valid,negative_full_valid,min_deflection_deg,max_deflection_deg,positive_range_deg,negative_range_deg,lookup_rmse_deg,linear_fit_rmse_deg,return_hysteresis_deg,repeatability_std_deg,run_data_mat,calibration_mat
1,fast_coarse,"Short holds with aileron-informed coarse steps above the effective input gap.",1.25,0.015,[0 0.15 0.3 0.5 0.75 1],1,Aileron_L,1,1,-28.7416063241788,18.3986547831129,18.3986547831129,28.7416063241788,1.30706784452268,3.49463895929782,1.00641580664413,0.39480020474739,C_Overall_Latency\data\raw\20260509_235125_deflection_fast_coarse\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_fast_coarse_deflection\surface_calibration.mat
1,fast_coarse,"Short holds with aileron-informed coarse steps above the effective input gap.",1.25,0.015,[0 0.15 0.3 0.5 0.75 1],2,Aileron_R,0,0,-23.8768283047529,30.5957044146662,30.5957044146662,23.8768283047529,1.47898851298585,6.16715372265834,3.27431437483009,1.37405683420027,C_Overall_Latency\data\raw\20260509_235125_deflection_fast_coarse\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_fast_coarse_deflection\surface_calibration.mat
1,fast_coarse,"Short holds with aileron-informed coarse steps above the effective input gap.",1.25,0.015,[0 0.15 0.3 0.5 0.75 1],3,Rudder,1,0,-23.031021667023,40.4202097421962,40.4202097421962,23.031021667023,2.11138213859987,7.50406136081877,2.97620658296412,1.4656175425184,C_Overall_Latency\data\raw\20260509_235125_deflection_fast_coarse\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_fast_coarse_deflection\surface_calibration.mat
1,fast_coarse,"Short holds with aileron-informed coarse steps above the effective input gap.",1.25,0.015,[0 0.15 0.3 0.5 0.75 1],4,Elevator,1,1,-37.5144374249059,26.7692811909172,26.7692811909172,37.5144374249059,3.04823579907564,8.20548608926735,6.59888592795426,1.67052475288511,C_Overall_Latency\data\raw\20260509_235125_deflection_fast_coarse\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_fast_coarse_deflection\surface_calibration.mat
2,medium_nominal,"Moderate holds using the aileron deadband estimate as the first useful increment.",1.5,0.02,[0 0.1 0.2 0.3 0.45 0.6 0.8 1],1,Aileron_L,1,1,-25.5101679797582,18.3274718389899,18.3274718389899,25.5101679797582,1.4231974807534,4.33647973903367,1.37616243909262,1.00263029899344,C_Overall_Latency\data\raw\20260509_235125_deflection_medium_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_medium_nominal_deflection\surface_calibration.mat
2,medium_nominal,"Moderate holds using the aileron deadband estimate as the first useful increment.",1.5,0.02,[0 0.1 0.2 0.3 0.45 0.6 0.8 1],2,Aileron_R,1,0,-25.3979282806206,34.8709036066934,34.8709036066934,25.3979282806206,1.44824953273244,3.30121600787442,1.6286851392311,0.958605996662189,C_Overall_Latency\data\raw\20260509_235125_deflection_medium_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_medium_nominal_deflection\surface_calibration.mat
2,medium_nominal,"Moderate holds using the aileron deadband estimate as the first useful increment.",1.5,0.02,[0 0.1 0.2 0.3 0.45 0.6 0.8 1],3,Rudder,1,1,-26.9825389720031,41.0852671128136,41.0852671128136,26.9825389720031,3.07614512395975,5.88047819106057,4.35099199952685,2.64854851307428,C_Overall_Latency\data\raw\20260509_235125_deflection_medium_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_medium_nominal_deflection\surface_calibration.mat
2,medium_nominal,"Moderate holds using the aileron deadband estimate as the first useful increment.",1.5,0.02,[0 0.1 0.2 0.3 0.45 0.6 0.8 1],4,Elevator,1,0,-37.6121075920004,26.4439918877778,26.4439918877778,37.6121075920004,5.11104512521562,14.6270095578109,5.46704792623059,1.48688237966583,C_Overall_Latency\data\raw\20260509_235125_deflection_medium_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_medium_nominal_deflection\surface_calibration.mat
3,baseline_nominal,"Baseline calibration with command points matched to the aileron response.",2,0.025,[0 0.1 0.2 0.3 0.45 0.6 0.8 1],1,Aileron_L,1,1,-27.7096259905965,18.9226257250636,18.9226257250636,27.7096259905965,1.59032969701619,3.61756135105653,1.20237798501693,0.660733094661605,C_Overall_Latency\data\raw\20260509_235125_deflection_baseline_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_baseline_nominal_deflection\surface_calibration.mat
3,baseline_nominal,"Baseline calibration with command points matched to the aileron response.",2,0.025,[0 0.1 0.2 0.3 0.45 0.6 0.8 1],2,Aileron_R,1,0,-12.7417087847685,35.3336514032834,35.3336514032834,12.7417087847685,1.14084884633271,3.28861192979991,1.12231496641148,0.485002513544818,C_Overall_Latency\data\raw\20260509_235125_deflection_baseline_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_baseline_nominal_deflection\surface_calibration.mat
3,baseline_nominal,"Baseline calibration with command points matched to the aileron response.",2,0.025,[0 0.1 0.2 0.3 0.45 0.6 0.8 1],3,Rudder,1,1,-26.0935004614286,40.8801890004975,40.8801890004975,26.0935004614286,3.23415379007066,8.22955838962017,4.99494267221057,2.91093509044997,C_Overall_Latency\data\raw\20260509_235125_deflection_baseline_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_baseline_nominal_deflection\surface_calibration.mat
3,baseline_nominal,"Baseline calibration with command points matched to the aileron response.",2,0.025,[0 0.1 0.2 0.3 0.45 0.6 0.8 1],4,Elevator,1,0,-38.2959961716134,24.0283410736887,24.0283410736887,38.2959961716134,5.02677922175518,11.7140647747231,5.86695195751475,3.10963609683811,C_Overall_Latency\data\raw\20260509_235125_deflection_baseline_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_baseline_nominal_deflection\surface_calibration.mat
4,slow_nominal,"Longer holds at the aileron-informed command levels to reduce settling sensitivity.",2.5,0.03,[0 0.1 0.2 0.3 0.45 0.6 0.8 1],1,Aileron_L,1,1,-24.4374548595253,19.4111028760951,19.4111028760951,24.4374548595253,1.29995195759911,4.84556428903857,1.23005057079036,1.224319506744,C_Overall_Latency\data\raw\20260509_235125_deflection_slow_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_slow_nominal_deflection\surface_calibration.mat
4,slow_nominal,"Longer holds at the aileron-informed command levels to reduce settling sensitivity.",2.5,0.03,[0 0.1 0.2 0.3 0.45 0.6 0.8 1],2,Aileron_R,1,0,-6.10779391117577,34.5100819433964,34.5100819433964,6.10779391117577,1.84167077282365,3.3861834449249,3.60556632845214,1.84397068349458,C_Overall_Latency\data\raw\20260509_235125_deflection_slow_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_slow_nominal_deflection\surface_calibration.mat
4,slow_nominal,"Longer holds at the aileron-informed command levels to reduce settling sensitivity.",2.5,0.03,[0 0.1 0.2 0.3 0.45 0.6 0.8 1],3,Rudder,1,1,-22.8346158472132,47.151903944474,47.151903944474,22.8346158472132,3.24024600139702,6.88774498732873,5.14263475667827,2.06777096737022,C_Overall_Latency\data\raw\20260509_235125_deflection_slow_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_slow_nominal_deflection\surface_calibration.mat
4,slow_nominal,"Longer holds at the aileron-informed command levels to reduce settling sensitivity.",2.5,0.03,[0 0.1 0.2 0.3 0.45 0.6 0.8 1],4,Elevator,1,1,-41.2540657712312,22.6907827998429,22.6907827998429,41.2540657712312,3.78117440947783,5.32720564015846,6.21275092594537,3.24613102275322,C_Overall_Latency\data\raw\20260509_235125_deflection_slow_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_slow_nominal_deflection\surface_calibration.mat
5,fine_deadband,"Low-end aileron gap check around 0.05 to 0.15, then regular calibration levels.",2,0.02,[0 0.05 0.075 0.1 0.125 0.15 0.2 0.3 0.45 0.6 0.8 1],1,Aileron_L,1,1,-26.5567330857505,17.7565831655059,17.7565831655059,26.5567330857505,2.26681317703538,5.29122026838631,2.35518175947917,1.98913798559618,C_Overall_Latency\data\raw\20260509_235125_deflection_fine_deadband\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_fine_deadband_deflection\surface_calibration.mat
5,fine_deadband,"Low-end aileron gap check around 0.05 to 0.15, then regular calibration levels.",2,0.02,[0 0.05 0.075 0.1 0.125 0.15 0.2 0.3 0.45 0.6 0.8 1],2,Aileron_R,1,0,-8.13410028315475,35.6348550670171,35.6348550670171,8.13410028315475,2.90335828696678,4.2143139331678,3.66255015046997,2.62684023377004,C_Overall_Latency\data\raw\20260509_235125_deflection_fine_deadband\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_fine_deadband_deflection\surface_calibration.mat
5,fine_deadband,"Low-end aileron gap check around 0.05 to 0.15, then regular calibration levels.",2,0.02,[0 0.05 0.075 0.1 0.125 0.15 0.2 0.3 0.45 0.6 0.8 1],3,Rudder,1,1,-21.6606811998302,47.1326152804594,47.1326152804594,21.6606811998302,3.81404762956907,11.308664799253,5.94115077959083,3.13728435313943,C_Overall_Latency\data\raw\20260509_235125_deflection_fine_deadband\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_fine_deadband_deflection\surface_calibration.mat
5,fine_deadband,"Low-end aileron gap check around 0.05 to 0.15, then regular calibration levels.",2,0.02,[0 0.05 0.075 0.1 0.125 0.15 0.2 0.3 0.45 0.6 0.8 1],4,Elevator,1,1,-38.876368680545,23.202954764978,23.202954764978,38.876368680545,4.81905740925525,8.11565489342513,5.70534333353073,5.28890667075633,C_Overall_Latency\data\raw\20260509_235125_deflection_fine_deadband\run_data.mat,C_Overall_Latency\data\processed\20260509_235125_deflection_fine_deadband_deflection\surface_calibration.mat
