event_id,surface_index,surface_name,command_level_norm,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count,settled_deflection_deg,lookup_deflection_deg,lookup_error_deg,linear_fitted_deflection_deg,linear_fit_error_deg,valid,rejection_reason
1,1,Aileron_L,0,positive_first,positive,outbound,1,23,-2.64961166417157,0.0203986512684016,-2.67001031543997,0,-2.64961166417157,1,
2,1,Aileron_L,0.05,positive_first,positive,outbound,2,23,-3.06106869122561,-2.92842419424311,-0.132644496982499,0,-3.06106869122561,1,
3,1,Aileron_L,0.075,positive_first,positive,outbound,3,23,-3.69022185805493,-1.69092376225722,-1.9992980957977,0,-3.69022185805493,1,
4,1,Aileron_L,0.1,positive_first,positive,outbound,4,23,-3.73165807157132,2.11738183722213,-5.84903990879346,0,-3.73165807157132,1,
5,1,Aileron_L,0.125,positive_first,positive,outbound,5,23,-0.569918882507987,2.33723408128753,-2.90715296379552,0,-0.569918882507987,1,
6,1,Aileron_L,0.15,positive_first,positive,outbound,6,23,1.20223077358411,0.957627842902717,0.244602930681389,0,1.20223077358411,1,
7,1,Aileron_L,0.2,positive_first,positive,outbound,7,23,0.404576523248255,2.32665409639675,-1.9220775731485,0,0.404576523248255,1,
8,1,Aileron_L,0.3,positive_first,positive,outbound,8,23,4.54452703693143,3.35188202140595,1.19264501552548,0,4.54452703693143,1,
9,1,Aileron_L,0.45,positive_first,positive,outbound,9,23,9.69589915476962,8.73879246309088,0.957106691678732,0,9.69589915476962,1,
10,1,Aileron_L,0.6,positive_first,positive,outbound,10,23,10.6748301112024,9.61308475190179,1.0617453593006,1.56770792839395,9.10712218280845,1,
11,1,Aileron_L,0.8,positive_first,positive,outbound,11,23,12.6628045111178,13.0450828067982,-0.382278295680456,3.65798516625255,9.00481934486523,1,
12,1,Aileron_L,1,positive_first,positive,outbound,12,23,17.7565831655059,17.6130905252022,0.143492640303716,5.74826240411115,12.0083207613947,1,
13,1,Aileron_L,0.8,positive_first,positive,return,13,23,12.9212330376049,13.0450828067982,-0.123849769193319,3.65798516625255,9.26324787135236,1,
14,1,Aileron_L,0.6,positive_first,positive,return,14,23,8.92279868042145,9.61308475190179,-0.690286071480342,1.56770792839395,7.3550907520275,1,
15,1,Aileron_L,0.45,positive_first,positive,return,15,23,8.17206258471688,8.73879246309088,-0.566729878374005,0,8.17206258471688,1,
16,1,Aileron_L,0.3,positive_first,positive,return,16,23,2.15923700588047,3.35188202140595,-1.19264501552548,0,2.15923700588047,1,
17,1,Aileron_L,0.2,positive_first,positive,return,17,23,1.97686346073085,2.32665409639675,-0.349790635665908,0,1.97686346073085,1,
18,1,Aileron_L,0.15,positive_first,positive,return,18,23,0.713024912221328,0.957627842902717,-0.244602930681389,0,0.713024912221328,1,
19,1,Aileron_L,0.125,positive_first,positive,return,19,23,2.42861869122367,2.33723408128753,0.0913846099361342,0,2.42861869122367,1,
20,1,Aileron_L,0.1,positive_first,positive,return,20,23,1.98500429955896,2.11738183722213,-0.132377537663174,0,1.98500429955896,1,
21,1,Aileron_L,0.075,positive_first,positive,return,21,23,-2.2594074670606,-1.69092376225722,-0.568483704803382,0,-2.2594074670606,1,
