event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count
1,1,Aileron_L,0,11.2178393,13.2178393,positive_first,positive,outbound,1,23
2,1,Aileron_L,0.05,13.2178393,15.2178393,positive_first,positive,outbound,2,23
3,1,Aileron_L,0.075,15.2178393,17.2178393,positive_first,positive,outbound,3,23
4,1,Aileron_L,0.1,17.2178393,19.2178393,positive_first,positive,outbound,4,23
5,1,Aileron_L,0.125,19.2178393,21.2178393,positive_first,positive,outbound,5,23
6,1,Aileron_L,0.15,21.2178393,23.2178393,positive_first,positive,outbound,6,23
7,1,Aileron_L,0.2,23.2178393,25.2178393,positive_first,positive,outbound,7,23
8,1,Aileron_L,0.3,25.2178393,27.2178393,positive_first,positive,outbound,8,23
9,1,Aileron_L,0.45,27.2178393,29.2178393,positive_first,positive,outbound,9,23
10,1,Aileron_L,0.6,29.2178393,31.2178393,positive_first,positive,outbound,10,23
11,1,Aileron_L,0.8,31.2178393,33.2178393,positive_first,positive,outbound,11,23
12,1,Aileron_L,1,33.2178393,35.2178393,positive_first,positive,outbound,12,23
13,1,Aileron_L,0.8,35.2178393,37.2178393,positive_first,positive,return,13,23
14,1,Aileron_L,0.6,37.2178393,39.2178393,positive_first,positive,return,14,23
15,1,Aileron_L,0.45,39.2178393,41.2178393,positive_first,positive,return,15,23
16,1,Aileron_L,0.3,41.2178393,43.2178393,positive_first,positive,return,16,23
17,1,Aileron_L,0.2,43.2178393,45.2178393,positive_first,positive,return,17,23
18,1,Aileron_L,0.15,45.2178393,47.2178393,positive_first,positive,return,18,23
19,1,Aileron_L,0.125,47.2178393,49.2178393,positive_first,positive,return,19,23
20,1,Aileron_L,0.1,49.2178393,51.2178393,positive_first,positive,return,20,23
21,1,Aileron_L,0.075,51.2178393,53.2178393,positive_first,positive,return,21,23
22,1,Aileron_L,0.05,53.2178393,55.2178393,positive_first,positive,return,22,23
23,1,Aileron_L,0,55.2178393,57.2178393,positive_first,positive,return,23,23
24,1,Aileron_L,-0,57.2178393,59.2178393,positive_first,negative,outbound,1,23
25,1,Aileron_L,-0.05,59.2178393,61.2178393,positive_first,negative,outbound,2,23
26,1,Aileron_L,-0.075,61.2178393,63.2178393,positive_first,negative,outbound,3,23
27,1,Aileron_L,-0.1,63.2178393,65.2178393,positive_first,negative,outbound,4,23
28,1,Aileron_L,-0.125,65.2178393,67.2178393,positive_first,negative,outbound,5,23
29,1,Aileron_L,-0.15,67.2178393,69.2178393,positive_first,negative,outbound,6,23
30,1,Aileron_L,-0.2,69.2178393,71.2178393,positive_first,negative,outbound,7,23
31,1,Aileron_L,-0.3,71.2178393,73.2178393,positive_first,negative,outbound,8,23
32,1,Aileron_L,-0.45,73.2178393,75.2178393,positive_first,negative,outbound,9,23
33,1,Aileron_L,-0.6,75.2178393,77.2178393,positive_first,negative,outbound,10,23
