event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count
1,1,Aileron_L,0,11.1823168,12.6823168,positive_first,positive,outbound,1,15
2,1,Aileron_L,0.1,12.6823168,14.1823168,positive_first,positive,outbound,2,15
3,1,Aileron_L,0.2,14.1823168,15.6823168,positive_first,positive,outbound,3,15
4,1,Aileron_L,0.3,15.6823168,17.1823168,positive_first,positive,outbound,4,15
5,1,Aileron_L,0.45,17.1823168,18.6823168,positive_first,positive,outbound,5,15
6,1,Aileron_L,0.6,18.6823168,20.1823168,positive_first,positive,outbound,6,15
7,1,Aileron_L,0.8,20.1823168,21.6823168,positive_first,positive,outbound,7,15
8,1,Aileron_L,1,21.6823168,23.1823168,positive_first,positive,outbound,8,15
9,1,Aileron_L,0.8,23.1823168,24.6823168,positive_first,positive,return,9,15
10,1,Aileron_L,0.6,24.6823168,26.1823168,positive_first,positive,return,10,15
11,1,Aileron_L,0.45,26.1823168,27.6823168,positive_first,positive,return,11,15
12,1,Aileron_L,0.3,27.6823168,29.1823168,positive_first,positive,return,12,15
13,1,Aileron_L,0.2,29.1823168,30.6823168,positive_first,positive,return,13,15
14,1,Aileron_L,0.1,30.6823168,32.1823168,positive_first,positive,return,14,15
15,1,Aileron_L,0,32.1823168,33.6823168,positive_first,positive,return,15,15
16,1,Aileron_L,-0,33.6823168,35.1823168,positive_first,negative,outbound,1,15
17,1,Aileron_L,-0.1,35.1823168,36.6823168,positive_first,negative,outbound,2,15
18,1,Aileron_L,-0.2,36.6823168,38.1823168,positive_first,negative,outbound,3,15
19,1,Aileron_L,-0.3,38.1823168,39.6823168,positive_first,negative,outbound,4,15
20,1,Aileron_L,-0.45,39.6823168,41.1823168,positive_first,negative,outbound,5,15
21,1,Aileron_L,-0.6,41.1823168,42.6823168,positive_first,negative,outbound,6,15
22,1,Aileron_L,-0.8,42.6823168,44.1823168,positive_first,negative,outbound,7,15
23,1,Aileron_L,-1,44.1823168,45.6823168,positive_first,negative,outbound,8,15
