sample_index,sample_sequence,event_id,scheduled_time_s,write_start_host_s,write_stop_host_s,active_surface_index,active_surface_name,active_surface_mask,surface_norm_aileron_l,surface_norm_aileron_r,surface_norm_rudder,surface_norm_elevator,packet_surface_norm_aileron_l,packet_surface_norm_aileron_r,packet_surface_norm_rudder,packet_surface_norm_elevator,packet_code_aileron_l,packet_code_aileron_r,packet_code_rudder,packet_code_elevator,delta_a_cmd_rad,delta_e_cmd_rad,delta_r_cmd_rad,profile_mode,random_seed,description
1,0,NaN,6.5267562,6.5678824,6.5687237,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
2,1,NaN,6.5467562,6.5815761,6.582245,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
3,2,NaN,6.5667562,6.5943529,6.5951314,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
4,3,NaN,6.5867562,6.6065697,6.6072332,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
5,4,NaN,6.6067562,6.6185659,6.6192675,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
6,5,NaN,6.6267562,6.6295924,6.6303048,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
7,6,NaN,6.6467562,6.6533487,6.654025,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
8,7,NaN,6.6667562,6.6774439,6.6783716,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
9,8,NaN,6.6867562,6.6906449,6.6914453,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
10,9,NaN,6.7067562,6.7166359,6.7173447,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
11,10,NaN,6.7267562,6.7289874,6.7296448,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
12,11,NaN,6.7467562,6.750618,6.7513998,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
13,12,NaN,6.7667562,6.7751825,6.7760722,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
14,13,NaN,6.78675619999999,6.7879702,6.7887142,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
15,14,NaN,6.80675619999999,6.8097745,6.810466,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
16,15,NaN,6.82675619999999,6.8301756,6.8309259,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
17,16,NaN,6.84675619999999,6.851973,6.8526949,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
18,17,NaN,6.86675619999999,6.874187,6.8748316,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
19,18,NaN,6.88675619999999,6.887247,6.8881172,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
20,19,NaN,6.90675619999999,6.9096312,6.9103658,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
21,20,NaN,6.92675619999999,6.9319232,6.9326039,NaN,,0,0,0,0,0,0,-0,0,-0,32768,32768,32768,32768,NaN,NaN,NaN,latency,2,neutral
