event_id,surface_index,surface_name,command_level_norm,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count,settled_deflection_deg,fitted_deflection_deg,implementation_error_deg,valid,rejection_reason
1,1,Aileron_L,0,positive_first,positive,outbound,1,11,0.132994027372908,0,0.132994027372908,1,
2,1,Aileron_L,0.2,positive_first,positive,outbound,2,11,-2.46500578080616,0,-2.46500578080616,1,
3,1,Aileron_L,0.4,positive_first,positive,outbound,3,11,-6.52137625133842,0,-6.52137625133842,1,
4,1,Aileron_L,0.6,positive_first,positive,outbound,4,11,-11.3179861506871,0,-11.3179861506871,1,
5,1,Aileron_L,0.8,positive_first,positive,outbound,5,11,-17.1884712898402,0,-17.1884712898402,1,
6,1,Aileron_L,1,positive_first,positive,outbound,6,11,-22.8281514977562,0,-22.8281514977562,1,
7,1,Aileron_L,0.8,positive_first,positive,return,7,11,-19.874098165193,0,-19.874098165193,1,
8,1,Aileron_L,0.6,positive_first,positive,return,8,11,-11.2241902178273,0,-11.2241902178273,1,
9,1,Aileron_L,0.4,positive_first,positive,return,9,11,-3.13822973814633,0,-3.13822973814633,1,
10,1,Aileron_L,0.2,positive_first,positive,return,10,11,-2.32183898782259,0,-2.32183898782259,1,
11,1,Aileron_L,0,positive_first,positive,return,11,11,8.47132428182627,0,8.47132428182627,1,
12,1,Aileron_L,-0,positive_first,negative,outbound,1,11,8.03582012198649,0,8.03582012198649,1,
13,1,Aileron_L,-0.2,positive_first,negative,outbound,2,11,8.9355444872532,0,8.9355444872532,1,
14,1,Aileron_L,-0.4,positive_first,negative,outbound,3,11,11.5809325043031,0,11.5809325043031,1,
15,1,Aileron_L,-0.6,positive_first,negative,outbound,4,11,17.7338137161516,0,17.7338137161516,0,unstable_final_window
16,1,Aileron_L,-0.8,positive_first,negative,outbound,5,11,34.973607212559,0,34.973607212559,0,unstable_final_window
17,1,Aileron_L,-1,positive_first,negative,outbound,6,11,32.0284511383847,0,32.0284511383847,1,
18,1,Aileron_L,-0.8,positive_first,negative,return,7,11,34.3101330921488,0,34.3101330921488,0,unstable_final_window
19,1,Aileron_L,-0.6,positive_first,negative,return,8,11,10.1971922819101,0,10.1971922819101,1,
20,1,Aileron_L,-0.4,positive_first,negative,return,9,11,11.1509842932012,0,11.1509842932012,1,
21,1,Aileron_L,-0.2,positive_first,negative,return,10,11,9.28437012663589,0,9.28437012663589,1,
22,1,Aileron_L,-0,positive_first,negative,return,11,11,-0.272863475862524,0,-0.272863475862524,1,
23,1,Aileron_L,-0,negative_first,negative,outbound,1,11,-0.222676654446956,0,-0.222676654446956,1,
24,1,Aileron_L,-0.2,negative_first,negative,outbound,2,11,11.0085077772864,0,11.0085077772864,1,
25,1,Aileron_L,-0.4,negative_first,negative,outbound,3,11,12.1835217552136,0,12.1835217552136,0,unstable_final_window
26,1,Aileron_L,-0.6,negative_first,negative,outbound,4,11,16.6382662640329,0,16.6382662640329,1,
27,1,Aileron_L,-0.8,negative_first,negative,outbound,5,11,32.681277000941,0,32.681277000941,1,
28,1,Aileron_L,-1,negative_first,negative,outbound,6,11,27.642358748214,0,27.642358748214,0,unstable_final_window
29,1,Aileron_L,-0.8,negative_first,negative,return,7,11,36.498008156742,0,36.498008156742,1,
30,1,Aileron_L,-0.6,negative_first,negative,return,8,11,8.17774389092275,0,8.17774389092275,1,
31,1,Aileron_L,-0.4,negative_first,negative,return,9,11,10.5048916490398,0,10.5048916490398,1,
32,1,Aileron_L,-0.2,negative_first,negative,return,10,11,10.5831321538961,0,10.5831321538961,1,
33,1,Aileron_L,-0,negative_first,negative,return,11,11,-0.132994027372908,0,-0.132994027372908,1,
34,1,Aileron_L,0,negative_first,positive,outbound,1,11,-0.20928421468522,0,-0.20928421468522,1,
35,1,Aileron_L,0.2,negative_first,positive,outbound,2,11,-1.56301160385752,0,-1.56301160385752,1,
36,1,Aileron_L,0.4,negative_first,positive,outbound,3,11,-5.72753823944456,0,-5.72753823944456,1,
37,1,Aileron_L,0.6,negative_first,positive,outbound,4,11,-11.1191330332896,0,-11.1191330332896,1,
38,1,Aileron_L,0.8,negative_first,positive,outbound,5,11,-16.8811691238991,0,-16.8811691238991,1,
39,1,Aileron_L,1,negative_first,positive,outbound,6,11,-22.9977587481018,0,-22.9977587481018,1,
40,1,Aileron_L,0.8,negative_first,positive,return,7,11,-23.3157930846031,0,-23.3157930846031,1,
41,1,Aileron_L,0.6,negative_first,positive,return,8,11,-10.0859737052455,0,-10.0859737052455,1,
42,1,Aileron_L,0.4,negative_first,positive,return,9,11,-3.13227092112702,0,-3.13227092112702,1,
43,1,Aileron_L,0.2,negative_first,positive,return,10,11,-1.88375231545281,0,-1.88375231545281,1,
44,1,Aileron_L,0,negative_first,positive,return,11,11,8.56870524183883,0,8.56870524183883,1,
