scenario_index,scenario_name,scenario_description,hold_seconds,command_dt_seconds,ramp_levels,surface_index,surface_name,positive_full_valid,negative_full_valid,min_deflection_deg,max_deflection_deg,positive_range_deg,negative_range_deg,lookup_rmse_deg,linear_fit_rmse_deg,return_hysteresis_deg,repeatability_std_deg,run_data_mat,calibration_mat
1,fast_coarse,Short holds with coarse steps to expose settling limits.,1.25,0.015,[0 0.25 0.5 0.75 1],1,Aileron_L,1,0,-23.4341834548109,19.8417903045348,19.8417903045348,23.4341834548109,1.55297125928819,13.5663221612502,2.97824557349983,1.21253365207108,C_Overall_Latency\data\raw\20260509_190834_deflection_fast_coarse\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_fast_coarse_deflection\surface_calibration.mat
1,fast_coarse,Short holds with coarse steps to expose settling limits.,1.25,0.015,[0 0.25 0.5 0.75 1],2,Aileron_R,1,1,-30.0602882479261,14.461239572108,14.461239572108,30.0602882479261,3.14300994387383,13.9598820865335,1.80754471703028,1.04476504947052,C_Overall_Latency\data\raw\20260509_190834_deflection_fast_coarse\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_fast_coarse_deflection\surface_calibration.mat
1,fast_coarse,Short holds with coarse steps to expose settling limits.,1.25,0.015,[0 0.25 0.5 0.75 1],3,Rudder,1,1,-66.8490767745379,39.6303037655316,39.6303037655316,66.8490767745379,11.9184010899758,25.6010884750789,18.2197918658557,5.1090261637079,C_Overall_Latency\data\raw\20260509_190834_deflection_fast_coarse\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_fast_coarse_deflection\surface_calibration.mat
1,fast_coarse,Short holds with coarse steps to expose settling limits.,1.25,0.015,[0 0.25 0.5 0.75 1],4,Elevator,1,1,-0.77495430210641,1.21053953367819,1.21053953367819,0.77495430210641,0.138079973316896,0.577022068127345,0.169927106924256,0.107494365337782,C_Overall_Latency\data\raw\20260509_190834_deflection_fast_coarse\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_fast_coarse_deflection\surface_calibration.mat
2,medium_nominal,Moderate holds with nominal levels.,1.5,0.02,[0 0.2 0.4 0.6 0.8 1],1,Aileron_L,1,1,-24.8876301360917,33.7555680341181,33.7555680341181,24.8876301360917,1.27557224355654,15.5022628880511,2.0930549527411,1.13525128770264,C_Overall_Latency\data\raw\20260509_190834_deflection_medium_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_medium_nominal_deflection\surface_calibration.mat
2,medium_nominal,Moderate holds with nominal levels.,1.5,0.02,[0 0.2 0.4 0.6 0.8 1],2,Aileron_R,1,1,-25.5966413282346,23.8759688141994,23.8759688141994,25.5966413282346,2.40467381394872,4.54276202571845,4.1543381409094,2.50898824301305,C_Overall_Latency\data\raw\20260509_190834_deflection_medium_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_medium_nominal_deflection\surface_calibration.mat
2,medium_nominal,Moderate holds with nominal levels.,1.5,0.02,[0 0.2 0.4 0.6 0.8 1],3,Rudder,1,1,-25.6920588460659,74.7375019598131,74.7375019598131,25.6920588460659,20.2246922701599,29.2360161200394,6.59951129400077,2.74725117308012,C_Overall_Latency\data\raw\20260509_190834_deflection_medium_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_medium_nominal_deflection\surface_calibration.mat
2,medium_nominal,Moderate holds with nominal levels.,1.5,0.02,[0 0.2 0.4 0.6 0.8 1],4,Elevator,1,1,-0.665311389509993,1.39730104793054,1.39730104793054,0.665311389509993,0.14062585330516,0.647586556888334,0.193882145667068,0.151923460614631,C_Overall_Latency\data\raw\20260509_190834_deflection_medium_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_medium_nominal_deflection\surface_calibration.mat
3,baseline_nominal,Current baseline calibration.,2,0.025,[0 0.2 0.4 0.6 0.8 1],1,Aileron_L,1,0,-25.787555973369,23.2776044282865,23.2776044282865,25.787555973369,1.34564062901115,14.9160389373244,2.46307065465222,1.50678087644487,C_Overall_Latency\data\raw\20260509_190834_deflection_baseline_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_baseline_nominal_deflection\surface_calibration.mat
3,baseline_nominal,Current baseline calibration.,2,0.025,[0 0.2 0.4 0.6 0.8 1],2,Aileron_R,1,1,-23.3719309182903,23.8402717394754,23.8402717394754,23.3719309182903,2.60476391024245,8.49595334978509,2.94993373768694,2.87542223252379,C_Overall_Latency\data\raw\20260509_190834_deflection_baseline_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_baseline_nominal_deflection\surface_calibration.mat
3,baseline_nominal,Current baseline calibration.,2,0.025,[0 0.2 0.4 0.6 0.8 1],3,Rudder,1,1,-26.8932292584426,55.5306534533176,55.5306534533176,26.8932292584426,16.9411779361345,24.9526688327022,11.0434654516785,5.97478924783953,C_Overall_Latency\data\raw\20260509_190834_deflection_baseline_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_baseline_nominal_deflection\surface_calibration.mat
3,baseline_nominal,Current baseline calibration.,2,0.025,[0 0.2 0.4 0.6 0.8 1],4,Elevator,1,1,-0.684804632391669,1.17377278554754,1.17377278554754,0.684804632391669,0.123715010438392,0.643004049777563,0.191185644343727,0.14778193724628,C_Overall_Latency\data\raw\20260509_190834_deflection_baseline_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_baseline_nominal_deflection\surface_calibration.mat
4,slow_nominal,Longer holds to reduce settling sensitivity.,2.5,0.03,[0 0.2 0.4 0.6 0.8 1],1,Aileron_L,1,1,-27.2886047094925,24.4305347029726,24.4305347029726,27.2886047094925,1.54129105934621,14.5511182178828,2.41311624024215,1.40998635050457,C_Overall_Latency\data\raw\20260509_190834_deflection_slow_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_slow_nominal_deflection\surface_calibration.mat
4,slow_nominal,Longer holds to reduce settling sensitivity.,2.5,0.03,[0 0.2 0.4 0.6 0.8 1],2,Aileron_R,1,1,-29.3778377664966,20.7914644102656,20.7914644102656,29.3778377664966,2.37884478723081,4.95703731460733,3.35483918826337,1.90521364674676,C_Overall_Latency\data\raw\20260509_190834_deflection_slow_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_slow_nominal_deflection\surface_calibration.mat
4,slow_nominal,Longer holds to reduce settling sensitivity.,2.5,0.03,[0 0.2 0.4 0.6 0.8 1],3,Rudder,1,1,-62.0581437547761,31.3603526557327,31.3603526557327,62.0581437547761,9.77539655763059,28.9393080023453,1.11023990537586,0.27116376229203,C_Overall_Latency\data\raw\20260509_190834_deflection_slow_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_slow_nominal_deflection\surface_calibration.mat
4,slow_nominal,Longer holds to reduce settling sensitivity.,2.5,0.03,[0 0.2 0.4 0.6 0.8 1],4,Elevator,1,1,-0.801180558442902,1.13293052464655,1.13293052464655,0.801180558442902,0.107855011515086,0.60078036392263,0.127354262893156,0.113722060517738,C_Overall_Latency\data\raw\20260509_190834_deflection_slow_nominal\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_slow_nominal_deflection\surface_calibration.mat
5,fine_deadband,Finer low-end levels to estimate discrete/deadband behavior.,2,0.02,[0 0.05 0.1 0.15 0.2 0.3 0.45 0.6 0.8 1],1,Aileron_L,1,1,-29.2050435388078,22.1404257728282,22.1404257728282,29.2050435388078,1.84223275573259,11.8238509291192,1.63839600217084,1.14453113772886,C_Overall_Latency\data\raw\20260509_190834_deflection_fine_deadband\run_data.mat,C_Overall_Latency\data\processed\20260509_190834_deflection_fine_deadband_deflection\surface_calibration.mat
