surface_index,surface_name,command_level_norm,lookup_deflection_deg,lookup_std_deg,lookup_min_deg,lookup_max_deg,valid_hold_count,direction_groups,sweep_phases
1,Aileron_L,-1,22.1182686857635,0.0313348530296033,22.0961115986988,22.1404257728282,2,negative_first|positive_first,outbound
1,Aileron_L,-0.8,15.5891453071701,0.549598390314659,15.4176006504291,16.6096717856415,4,negative_first|positive_first,outbound|return
1,Aileron_L,-0.6,12.5462245651467,1.14453113772886,11.2270696165103,14.015922025467,4,negative_first|positive_first,outbound|return
1,Aileron_L,-0.45,15.2444857564663,1.86435075879992,13.8723527186995,17.9832364265415,4,negative_first|positive_first,outbound|return
1,Aileron_L,-0.3,9.91009372920162,0.220449629254075,9.67429276659791,10.1194053390311,4,negative_first|positive_first,outbound|return
1,Aileron_L,-0.2,5.4300625469033,1.57115858789591,4.43352448304783,7.98235513770877,4,negative_first|positive_first,outbound|return
1,Aileron_L,-0.15,6.63131273913693,5.01814661148971,-2.37929783109265,8.51967421759729,4,negative_first|positive_first,outbound|return
1,Aileron_L,-0.1,0.136320720926229,1.7764794734177,-2.09609106760914,2.25401979084075,4,negative_first|positive_first,outbound|return
1,Aileron_L,-0.05,0.132523033962974,1.30466219037079,-2.4110583089836,0.300632233444863,4,negative_first|positive_first,outbound|return
1,Aileron_L,0,0,1.96087759990534,-2.4769914871267,2.77198020216145,8,negative_first|positive_first,outbound|return
1,Aileron_L,0.05,-3.347205908152,2.67299904329457,-4.99283362855966,0.762749993303978,4,negative_first|positive_first,outbound|return
1,Aileron_L,0.1,-3.93484058972011,4.18330351126909,-6.54408907267412,3.19180966967417,4,negative_first|positive_first,outbound|return
1,Aileron_L,0.15,-4.41081927441234,0.99381212576208,-6.28472970302267,-4.13822232339327,4,negative_first|positive_first,outbound|return
1,Aileron_L,0.2,-2.95745989350104,1.6413386150738,-6.19129865472132,-2.81940396861172,4,negative_first|positive_first,outbound|return
1,Aileron_L,0.3,-8.60552530352361,0.332898274863892,-9.0591382506088,-8.27731072649937,4,negative_first|positive_first,outbound|return
1,Aileron_L,0.45,-13.5901563769204,0.921145823324539,-14.6866667236779,-12.8052433880481,4,negative_first|positive_first,outbound|return
1,Aileron_L,0.6,-16.0850350326972,1.12913912726728,-17.0906406166957,-15.0318944992133,4,negative_first|positive_first,outbound|return
1,Aileron_L,0.8,-23.5245680794346,0.661198398276935,-24.0753561768431,-22.6411103362296,4,negative_first|positive_first,outbound|return
1,Aileron_L,1,-29.1590357811333,0.0650647948776181,-29.2050435388078,-29.1130280234588,2,negative_first|positive_first,outbound
2,Aileron_R,-1,-28.4171709969282,0.525910552161412,-28.7890459146591,-28.0452960791973,2,negative_first|positive_first,outbound
2,Aileron_R,-0.8,-24.8225898950206,4.66027726884634,-29.346098601733,-20.709125788212,4,negative_first|positive_first,outbound|return
2,Aileron_R,-0.6,-14.39527875708,2.04136221315543,-16.5702505288077,-12.108842398149,4,negative_first|positive_first,outbound|return
2,Aileron_R,-0.45,-9.80838278326814,0.207167414457152,-10.0255599648144,-9.60916301821005,4,negative_first|positive_first,outbound|return
