event_id,surface_index,surface_name,command_level_norm,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count,settled_deflection_deg,lookup_deflection_deg,lookup_error_deg,linear_fitted_deflection_deg,linear_fit_error_deg,valid,rejection_reason
1,1,Aileron_L,0,positive_first,positive,outbound,1,11,-0.591265883388004,-5.55111512312578e-17,-0.591265883388004,0,-0.591265883388004,1,
2,1,Aileron_L,0.2,positive_first,positive,outbound,2,11,3.90864995716779,4.96052501482624,-1.05187505765845,0,3.90864995716779,1,
3,1,Aileron_L,0.4,positive_first,positive,outbound,3,11,10.9262509136298,9.6232164436786,1.30303446995118,0,10.9262509136298,1,
4,1,Aileron_L,0.6,positive_first,positive,outbound,4,11,14.9532250872542,14.174221320487,0.779003766767245,8.0629932512743,6.89023183597993,1,
5,1,Aileron_L,0.8,positive_first,positive,outbound,5,11,20.1060545000423,21.2437815529863,-1.13772705294402,16.1259865025486,3.98006799749368,1,
6,1,Aileron_L,1,positive_first,positive,outbound,6,11,22.337582319652,22.0443945459414,0.293187773710557,22.337582319652,0,1,
7,1,Aileron_L,0.8,positive_first,positive,return,7,11,21.7915678287191,21.2437815529863,0.547786275732779,16.1259865025486,5.66558132617048,1,
8,1,Aileron_L,0.6,positive_first,positive,return,8,11,13.5452400663022,14.174221320487,-0.628981254184811,8.0629932512743,5.48224681502787,1,
9,1,Aileron_L,0.4,positive_first,positive,return,9,11,9.7213024851864,9.6232164436786,0.0980860415077931,0,9.7213024851864,1,
10,1,Aileron_L,0.2,positive_first,positive,return,10,11,5.83758990006521,4.96052501482624,0.877064885238978,0,5.83758990006521,1,
11,1,Aileron_L,0,positive_first,positive,return,11,11,-1.27717472529753,-5.55111512312578e-17,-1.27717472529753,0,-1.27717472529753,1,
12,1,Aileron_L,-0,positive_first,negative,outbound,1,11,-1.16055278363899,-5.55111512312578e-17,-1.16055278363899,0,-1.16055278363899,1,
13,1,Aileron_L,-0.2,positive_first,negative,outbound,2,11,-11.7872859629078,-10.7389780959811,-1.04830786692675,0,-11.7872859629078,1,
14,1,Aileron_L,-0.4,positive_first,negative,outbound,3,11,-11.4771566760702,-11.1129538958445,-0.364202780225714,-8.07010331458701,-3.4070533614832,1,
15,1,Aileron_L,-0.6,positive_first,negative,outbound,4,11,-20.1164482569554,-19.5514591676381,-0.564989089317216,-16.140206629174,-3.97624162778134,1,
16,1,Aileron_L,-0.8,positive_first,negative,outbound,5,11,-24.1946388834224,-23.1380256232835,-1.05661326013887,-24.210309943761,0.0156710603386472,1,
17,1,Aileron_L,-1,positive_first,negative,outbound,6,11,-29.9618249076305,-28.2459947030763,-1.71583020455412,-29.9618249076305,0,1,
18,1,Aileron_L,-0.8,positive_first,negative,return,7,11,-22.3138093381162,-23.1380256232835,0.824216285167338,-24.210309943761,1.89650060564485,1,
19,1,Aileron_L,-0.6,positive_first,negative,return,8,11,-18.9700137780384,-19.5514591676381,0.581445389599754,-16.140206629174,-2.82980714886437,1,
20,1,Aileron_L,-0.4,positive_first,negative,return,9,11,-10.5927650519126,-11.1129538958445,0.520188843931926,-8.07010331458701,-2.52266173732556,1,
