t_read_host_s,line_text
0.248299,"HELLO_EVENT,Nano33IoT_Command_Path_V1,1000000,12674976"
0.998163,"RX_EVENT,0,0,13429335,32768,32768,32768,32768"
0.998163,"OK_EVENT,SET_NEUTRAL"
1.0124275,"COMMIT_EVENT,0,0,13429335,13442260,520,1500,1500,1500,1500,1500,1500,1500,1500"
6.5158692,"RX_EVENT,0,2,18946196,32768,34406,32768,32768"
6.5335663,"COMMIT_EVENT,0,2,18946196,18962260,796,1500,1525,1500,1500,1500,1500,1500,1500"
6.5335663,"RX_EVENT,1,2,18965730,32768,36044,32768,32768"
6.5509136,"COMMIT_EVENT,1,2,18965730,18982260,797,1500,1550,1500,1500,1500,1500,1500,1500"
6.5509136,"RX_EVENT,2,2,18983845,32768,36044,32768,32768"
6.5674843,"RX_EVENT,3,2,18999909,32768,36044,32768,32768"
6.5674843,"COMMIT_EVENT,3,2,18999909,19002260,798,1500,1550,1500,1500,1500,1500,1500,1500"
6.5839142,"RX_EVENT,4,2,19016513,32768,36044,32768,32768"
6.5839142,"COMMIT_EVENT,4,2,19016513,19022260,799,1500,1550,1500,1500,1500,1500,1500,1500"
6.6009075,"RX_EVENT,5,2,19032911,32768,36044,32768,32768"
6.6158316,"COMMIT_EVENT,5,2,19032911,19042260,800,1500,1550,1500,1500,1500,1500,1500,1500"
6.6158316,"RX_EVENT,6,2,19049752,32768,36044,32768,32768"
6.6321051,"COMMIT_EVENT,6,2,19049752,19062260,801,1500,1550,1500,1500,1500,1500,1500,1500"
6.6321051,"RX_EVENT,7,2,19064685,32768,36044,32768,32768"
6.6461089,"COMMIT_EVENT,7,2,19064685,19082260,802,1500,1550,1500,1500,1500,1500,1500,1500"
6.6618467,"RX_EVENT,8,2,19094973,32768,36044,32768,32768"
6.676398,"COMMIT_EVENT,8,2,19094973,19102260,803,1500,1550,1500,1500,1500,1500,1500,1500"
6.676398,"RX_EVENT,9,2,19110690,32768,36044,32768,32768"
6.6900003,"COMMIT_EVENT,9,2,19110690,19122260,804,1500,1550,1500,1500,1500,1500,1500,1500"
6.6900003,"RX_EVENT,10,2,19125291,32768,36044,32768,32768"
6.7040572,"COMMIT_EVENT,10,2,19125291,19142261,805,1500,1550,1500,1500,1500,1500,1500,1500"
6.7307786,"RX_EVENT,11,2,19152984,32768,36044,32768,32768"
6.7307786,"COMMIT_EVENT,11,2,19152984,19162260,806,1500,1550,1500,1500,1500,1500,1500,1500"
6.743038,"RX_EVENT,12,2,19166172,32768,36044,32768,32768"
6.7584136,"COMMIT_EVENT,12,2,19166172,19182260,807,1500,1550,1500,1500,1500,1500,1500,1500"
6.7584136,"RX_EVENT,13,2,19191878,32768,36044,32768,32768"
6.7749007,"COMMIT_EVENT,13,2,19191878,19202260,808,1500,1550,1500,1500,1500,1500,1500,1500"
6.7749007,"RX_EVENT,14,2,19207262,32768,36044,32768,32768"
