frame_number,t_capture_host_s,state_ready_host_s,subject_name,surface_index,surface_name,surface_angle_rad,surface_angle_deg,surface_rate_radps,surface_rate_degps,quality_flag
2730101,6.44688847999912,6.4552027,Aileron_L,1,Aileron_L,-0.00485077794067035,-0.277929103355572,NaN,NaN,ok
2730101,6.44688847999912,6.4552027,Aileron_R,2,Aileron_R,0.0257699552291353,1.47650967287054,NaN,NaN,ok
2730101,6.44688847999912,6.4552027,Rudder,3,Rudder,-0.0412326002751953,-2.36245397411865,NaN,NaN,ok
2730101,6.44688847999912,6.4552027,Elevator,4,Elevator,0.00167974096190848,0.0962420677926012,NaN,NaN,ok
2730115,6.49267985749944,6.5011419,Aileron_L,1,Aileron_L,0.0208571556499786,1.19502699139121,0.56141428788573,32.1666692541949,ok
2730115,6.49267985749944,6.5011419,Aileron_R,2,Aileron_R,-0.0140441968925935,-0.804673208596353,-0.869468321223801,-49.8168652264487,ok
2730115,6.49267985749944,6.5011419,Rudder,3,Rudder,-0.00189631874634344,-0.108651060777018,0.8590325007929,49.2189367600017,ok
2730115,6.49267985749944,6.5011419,Elevator,4,Elevator,-0.00129159552594738,-0.0740029724747644,-0.0648885587212369,-3.71784055341369,ok
2730120,6.51202661499978,6.52045,Aileron_L,1,Aileron_L,0.000782341767476602,0.0448248814132145,-1.0376319588513,-59.4519319300718,ok
2730120,6.51202661499978,6.52045,Aileron_R,2,Aileron_R,0.0123751349910797,0.709043005893531,1.36556897884334,78.2413391217132,ok
2730120,6.51202661499978,6.52045,Rudder,3,Rudder,-0.0973811093619235,-5.57952657074012,-4.93544153917716,-282.779970228402,ok
2730120,6.51202661499978,6.52045,Elevator,4,Elevator,0.00151353517683184,0.086719177777051,0.144992291484993,8.30744636402075,ok
2730125,6.52895299749951,6.5371664,Aileron_L,1,Aileron_L,0.0375861318111679,2.15352672100232,2.17434469794603,124.580774398955,ok
2730125,6.52895299749951,6.5371664,Aileron_R,2,Aileron_R,0.00270892378994159,0.155209900186236,-0.57107365979075,-32.7201104970998,ok
2730125,6.52895299749951,6.5371664,Rudder,3,Rudder,0.0191038486066519,1.09456989761803,6.88185783172769,394.301408967048,ok
2730125,6.52895299749951,6.5371664,Elevator,4,Elevator,0.00133747542546869,0.0766316970818202,-0.0104014990424545,-0.595961995742008,ok
2730131,6.54561074000127,6.5539539,Aileron_L,1,Aileron_L,0.0999946302614529,5.7292702879524,3.74651597860221,214.659553452232,ok
2730131,6.54561074000127,6.5539539,Aileron_R,2,Aileron_R,0.00254955537366319,0.1460787625458,-0.00956722774779088,-0.548161771588869,ok
2730131,6.54561074000127,6.5539539,Rudder,3,Rudder,0.0835652883268043,4.78793833491973,3.86975844495985,221.720826631308,ok
