event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count
1,1,Aileron_L,0,11.2034527,11.9534527,positive_first,positive,outbound,1,15
2,1,Aileron_L,0.05,11.9534527,12.7034527,positive_first,positive,outbound,2,15
3,1,Aileron_L,0.1,12.7034527,13.4534527,positive_first,positive,outbound,3,15
4,1,Aileron_L,0.2,13.4534527,14.2034527,positive_first,positive,outbound,4,15
5,1,Aileron_L,0.4,14.2034527,14.9534527,positive_first,positive,outbound,5,15
6,1,Aileron_L,0.6,14.9534527,15.7034527,positive_first,positive,outbound,6,15
7,1,Aileron_L,0.8,15.7034527,16.4534527,positive_first,positive,outbound,7,15
8,1,Aileron_L,1,16.4534527,17.2034527,positive_first,positive,outbound,8,15
9,1,Aileron_L,0.8,17.2034527,17.9534527,positive_first,positive,return,9,15
10,1,Aileron_L,0.6,17.9534527,18.7034527,positive_first,positive,return,10,15
11,1,Aileron_L,0.4,18.7034527,19.4534527,positive_first,positive,return,11,15
12,1,Aileron_L,0.2,19.4534527,20.2034527,positive_first,positive,return,12,15
13,1,Aileron_L,0.1,20.2034527,20.9534527,positive_first,positive,return,13,15
14,1,Aileron_L,0.05,20.9534527,21.7034527,positive_first,positive,return,14,15
15,1,Aileron_L,0,21.7034527,22.4534527,positive_first,positive,return,15,15
16,1,Aileron_L,-0,22.4534527,23.2034527,positive_first,negative,outbound,1,15
17,1,Aileron_L,-0.05,23.2034527,23.9534527,positive_first,negative,outbound,2,15
18,1,Aileron_L,-0.1,23.9534527,24.7034527,positive_first,negative,outbound,3,15
19,1,Aileron_L,-0.2,24.7034527,25.4534527,positive_first,negative,outbound,4,15
20,1,Aileron_L,-0.4,25.4534527,26.2034527,positive_first,negative,outbound,5,15
21,1,Aileron_L,-0.6,26.2034527,26.9534527,positive_first,negative,outbound,6,15
22,1,Aileron_L,-0.8,26.9534527,27.7034527,positive_first,negative,outbound,7,15
23,1,Aileron_L,-1,27.7034527,28.4534527,positive_first,negative,outbound,8,15
24,1,Aileron_L,-0.8,28.4534527,29.2034527,positive_first,negative,return,9,15
25,1,Aileron_L,-0.6,29.2034527,29.9534527,positive_first,negative,return,10,15
26,1,Aileron_L,-0.4,29.9534527,30.7034527,positive_first,negative,return,11,15
27,1,Aileron_L,-0.2,30.7034527,31.4534527,positive_first,negative,return,12,15
28,1,Aileron_L,-0.1,31.4534527,32.2034527,positive_first,negative,return,13,15
29,1,Aileron_L,-0.05,32.2034527,32.9534527,positive_first,negative,return,14,15
