sample_index,sample_sequence,event_id,scheduled_time_s,write_start_host_s,write_stop_host_s,active_surface_index,active_surface_name,active_surface_mask,surface_norm_aileron_l,surface_norm_aileron_r,surface_norm_rudder,surface_norm_elevator,packet_surface_norm_aileron_l,packet_surface_norm_aileron_r,packet_surface_norm_rudder,packet_surface_norm_elevator,packet_code_aileron_l,packet_code_aileron_r,packet_code_rudder,packet_code_elevator,delta_a_cmd_rad,delta_e_cmd_rad,delta_r_cmd_rad,profile_mode,random_seed,description
1,0,NaN,6.196518,6.2199816,6.2208956,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
2,1,NaN,6.216518,6.2357822,6.2365361,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
3,2,NaN,6.236518,6.2504619,6.2511453,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
4,3,NaN,6.256518,6.2640317,6.2648495,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
5,4,NaN,6.276518,6.2772849,6.2780781,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
6,5,NaN,6.296518,6.3038985,6.3046429,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
7,6,NaN,6.316518,6.3168238,6.3176008,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
8,7,NaN,6.336518,6.3442025,6.3450622,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
9,8,NaN,6.356518,6.3574762,6.3582335,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
10,9,NaN,6.376518,6.3814546,6.3821854,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
11,10,NaN,6.396518,6.4045776,6.4052812,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
12,11,NaN,6.416518,6.4170656,6.4177693,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
13,12,NaN,6.436518,6.4393152,6.4400276,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
14,13,NaN,6.45651799999999,6.4593452,6.4600199,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
15,14,NaN,6.47651799999999,6.4802666,6.4809011,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
16,15,NaN,6.49651799999999,6.5022003,6.5029887,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
17,16,NaN,6.51651799999999,6.5269262,6.5279348,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
18,17,NaN,6.53651799999999,6.5413014,6.5419988,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
19,18,NaN,6.55651799999999,6.5666934,6.5675711,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
20,19,NaN,6.57651799999999,6.5805357,6.5814899,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
21,20,NaN,6.59651799999999,6.6104168,6.6112717,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
22,21,NaN,6.61651799999999,6.6234895,6.6242462,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
23,22,NaN,6.63651799999999,6.6501268,6.6509415,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
24,23,NaN,6.65651799999999,6.6613155,6.6620611,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
25,24,NaN,6.67651799999999,6.6863849,6.6871438,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
26,25,NaN,6.69651799999999,6.6982475,6.6989174,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
27,26,NaN,6.71651799999999,6.7218305,6.7227733,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
28,27,NaN,6.73651799999999,6.7471867,6.7479405,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
29,28,NaN,6.75651799999999,6.7615318,6.7623409,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
30,29,NaN,6.77651799999999,6.7907064,6.7915903,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
31,30,NaN,6.79651799999999,6.805149,6.805898,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
32,31,NaN,6.81651799999999,6.8169327,6.8178227,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
33,32,NaN,6.83651799999999,6.8446674,6.8456095,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
34,33,NaN,6.85651799999999,6.8577011,6.8584962,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
35,34,NaN,6.87651799999999,6.8841149,6.884877,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
36,35,NaN,6.89651799999999,6.9069583,6.9076087,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
37,36,NaN,6.91651799999998,6.9190198,6.9198095,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
38,37,NaN,6.93651799999998,6.9449048,6.9456183,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
39,38,NaN,6.95651799999998,6.9674903,6.9682408,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
40,39,NaN,6.97651799999998,6.9816372,6.982488,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
41,40,NaN,6.99651799999998,6.9975151,6.9985413,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
42,41,NaN,7.01651799999998,7.027426,7.0283327,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
43,42,NaN,7.03651799999998,7.0435137,7.0444685,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
44,43,NaN,7.05651799999998,7.059543,7.0604514,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
45,44,NaN,7.07651799999998,7.0914146,7.0923265,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
46,45,NaN,7.09651799999998,7.1064754,7.1074248,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
47,46,NaN,7.11651799999998,7.1241062,7.1251239,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
48,47,NaN,7.13651799999998,7.1404698,7.1414147,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
49,48,NaN,7.15651799999998,7.1668116,7.1676351,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
50,49,NaN,7.17651799999998,7.1799925,7.180801,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
51,50,NaN,7.19651799999998,7.2049902,7.2057155,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
52,51,NaN,7.21651799999998,7.2170439,7.2177263,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
53,52,NaN,7.23651799999998,7.2390868,7.2399785,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
54,53,NaN,7.25651799999998,7.2610355,7.261705,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
55,54,NaN,7.27651799999998,7.2833259,7.2840397,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
56,55,NaN,7.29651799999998,7.2969393,7.2976327,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
57,56,NaN,7.31651799999998,7.3210724,7.3218719,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
58,57,NaN,7.33651799999998,7.3441008,7.3449225,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
59,58,NaN,7.35651799999998,7.357105,7.3578453,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
60,59,NaN,7.37651799999998,7.3825956,7.3834018,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
61,60,NaN,7.39651799999997,7.4050379,7.405824,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
62,61,NaN,7.41651799999997,7.4176266,7.418392,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
63,62,NaN,7.43651799999997,7.4393653,7.4401916,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
64,63,NaN,7.45651799999997,7.4632137,7.4639491,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
65,64,NaN,7.47651799999997,7.4849127,7.4856901,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
66,65,NaN,7.49651799999997,7.4983637,7.4991463,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
67,66,NaN,7.51651799999997,7.527298,7.5281177,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
68,67,NaN,7.53651799999997,7.5396821,7.5405728,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
69,68,NaN,7.55651799999997,7.5631126,7.5638544,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
70,69,NaN,7.57651799999997,7.576826,7.5774915,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
71,70,NaN,7.59651799999997,7.5985236,7.5993274,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
72,71,NaN,7.61651799999997,7.6198407,7.6205213,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
73,72,NaN,7.63651799999997,7.6451638,7.6459431,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
74,73,NaN,7.65651799999997,7.6570742,7.6578611,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
75,74,NaN,7.67651799999997,7.6830485,7.6838636,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
76,75,NaN,7.69651799999997,7.7047229,7.7055546,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
77,76,NaN,7.71651799999997,7.7182849,7.7190127,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
78,77,NaN,7.73651799999997,7.7413228,7.7420483,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
79,78,NaN,7.75651799999997,7.763119,7.7637998,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
80,79,NaN,7.77651799999997,7.7769339,7.7779972,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
81,80,NaN,7.79651799999997,7.8016793,7.802451,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
82,81,NaN,7.81651799999997,7.8252592,7.8259582,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
83,82,NaN,7.83651799999997,7.8396815,7.8404491,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
84,83,NaN,7.85651799999996,7.8661151,7.8668932,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
85,84,NaN,7.87651799999996,7.8788064,7.8794899,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
86,85,NaN,7.89651799999996,7.8990469,7.8997084,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
87,86,NaN,7.91651799999996,7.9196055,7.9203525,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
88,87,NaN,7.93651799999996,7.9430207,7.943809,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
89,88,NaN,7.95651799999996,7.9675981,7.9683533,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
90,89,NaN,7.97651799999996,7.9796982,7.9803922,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
91,90,NaN,7.99651799999996,8.0035486,8.0042815,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
92,91,NaN,8.01651799999996,8.0258203,8.0264817,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
93,92,NaN,8.03651799999996,8.0391689,8.0397879,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
94,93,NaN,8.05651799999996,8.0603972,8.0610378,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
95,94,NaN,8.07651799999996,8.0815016,8.0821745,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
96,95,NaN,8.09651799999996,8.1031256,8.1038685,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
97,96,NaN,8.11651799999996,8.1167258,8.1174339,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
98,97,NaN,8.13651799999996,8.1378407,8.1385012,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
99,98,NaN,8.15651799999996,8.1622656,8.1629812,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
100,99,NaN,8.17651799999996,8.1861589,8.1870749,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
101,100,NaN,8.19651799999996,8.2008065,8.2015581,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
102,101,NaN,8.21651799999996,8.2258499,8.226596,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
103,102,NaN,8.23651799999996,8.247867,8.248862,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
104,103,NaN,8.25651799999996,8.2599381,8.2608005,NaN,,0,0,0,0,0,0,0,0,0,32768,32768,32768,32768,NaN,NaN,NaN,deflection,2,neutral
