event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count
1,1,Aileron_L,0,11.1939835,12.6939835,positive_first,positive,outbound,1,11
2,1,Aileron_L,0.2,12.6939835,14.1939835,positive_first,positive,outbound,2,11
3,1,Aileron_L,0.4,14.1939835,15.6939835,positive_first,positive,outbound,3,11
4,1,Aileron_L,0.6,15.6939835,17.1939835,positive_first,positive,outbound,4,11
5,1,Aileron_L,0.8,17.1939835,18.6939835,positive_first,positive,outbound,5,11
6,1,Aileron_L,1,18.6939835,20.1939835,positive_first,positive,outbound,6,11
7,1,Aileron_L,0.8,20.1939835,21.6939835,positive_first,positive,return,7,11
8,1,Aileron_L,0.6,21.6939835,23.1939835,positive_first,positive,return,8,11
9,1,Aileron_L,0.4,23.1939835,24.6939835,positive_first,positive,return,9,11
10,1,Aileron_L,0.2,24.6939835,26.1939835,positive_first,positive,return,10,11
11,1,Aileron_L,0,26.1939835,27.6939835,positive_first,positive,return,11,11
12,1,Aileron_L,-0,27.6939835,29.1939835,positive_first,negative,outbound,1,11
13,1,Aileron_L,-0.2,29.1939835,30.6939835,positive_first,negative,outbound,2,11
14,1,Aileron_L,-0.4,30.6939835,32.1939835,positive_first,negative,outbound,3,11
15,1,Aileron_L,-0.6,32.1939835,33.6939835,positive_first,negative,outbound,4,11
16,1,Aileron_L,-0.8,33.6939835,35.1939835,positive_first,negative,outbound,5,11
17,1,Aileron_L,-1,35.1939835,36.6939835,positive_first,negative,outbound,6,11
18,1,Aileron_L,-0.8,36.6939835,38.1939835,positive_first,negative,return,7,11
19,1,Aileron_L,-0.6,38.1939835,39.6939835,positive_first,negative,return,8,11
20,1,Aileron_L,-0.4,39.6939835,41.1939835,positive_first,negative,return,9,11
21,1,Aileron_L,-0.2,41.1939835,42.6939835,positive_first,negative,return,10,11
22,1,Aileron_L,-0,42.6939835,44.1939835,positive_first,negative,return,11,11
23,1,Aileron_L,-0,44.1939835,45.6939835,negative_first,negative,outbound,1,11
24,1,Aileron_L,-0.2,45.6939835,47.1939835,negative_first,negative,outbound,2,11
25,1,Aileron_L,-0.4,47.1939835,48.6939835,negative_first,negative,outbound,3,11
26,1,Aileron_L,-0.6,48.6939835,50.1939835,negative_first,negative,outbound,4,11
27,1,Aileron_L,-0.8,50.1939835,51.6939835,negative_first,negative,outbound,5,11
28,1,Aileron_L,-1,51.6939835,53.1939835,negative_first,negative,outbound,6,11
29,1,Aileron_L,-0.8,53.1939835,54.6939835,negative_first,negative,return,7,11
30,1,Aileron_L,-0.6,54.6939835,56.1939835,negative_first,negative,return,8,11
31,1,Aileron_L,-0.4,56.1939835,57.6939835,negative_first,negative,return,9,11
32,1,Aileron_L,-0.2,57.6939835,59.1939835,negative_first,negative,return,10,11
33,1,Aileron_L,-0,59.1939835,60.6939835,negative_first,negative,return,11,11
34,1,Aileron_L,0,60.6939835,62.1939835,negative_first,positive,outbound,1,11
35,1,Aileron_L,0.2,62.1939835,63.6939835,negative_first,positive,outbound,2,11
36,1,Aileron_L,0.4,63.6939835,65.1939835,negative_first,positive,outbound,3,11
37,1,Aileron_L,0.6,65.1939835,66.6939835,negative_first,positive,outbound,4,11
38,1,Aileron_L,0.8,66.6939835,68.1939835,negative_first,positive,outbound,5,11
39,1,Aileron_L,1,68.1939835,69.6939835,negative_first,positive,outbound,6,11
40,1,Aileron_L,0.8,69.6939835,71.1939835,negative_first,positive,return,7,11
41,1,Aileron_L,0.6,71.1939835,72.6939835,negative_first,positive,return,8,11
42,1,Aileron_L,0.4,72.6939835,74.1939835,negative_first,positive,return,9,11
43,1,Aileron_L,0.2,74.1939835,75.6939835,negative_first,positive,return,10,11
44,1,Aileron_L,0,75.6939835,77.1939835,negative_first,positive,return,11,11
45,2,Aileron_R,0,77.1939835,78.6939835,positive_first,positive,outbound,1,11
46,2,Aileron_R,0.2,78.6939835,80.1939835,positive_first,positive,outbound,2,11
47,2,Aileron_R,0.4,80.1939835,81.6939835,positive_first,positive,outbound,3,11
48,2,Aileron_R,0.6,81.6939835,83.1939835,positive_first,positive,outbound,4,11
49,2,Aileron_R,0.8,83.1939835,84.6939835,positive_first,positive,outbound,5,11
50,2,Aileron_R,1,84.6939835,86.1939835,positive_first,positive,outbound,6,11
51,2,Aileron_R,0.8,86.1939835,87.6939835,positive_first,positive,return,7,11
52,2,Aileron_R,0.6,87.6939835,89.1939835,positive_first,positive,return,8,11
53,2,Aileron_R,0.4,89.1939835,90.6939835,positive_first,positive,return,9,11
54,2,Aileron_R,0.2,90.6939835,92.1939835,positive_first,positive,return,10,11
55,2,Aileron_R,0,92.1939835,93.6939835,positive_first,positive,return,11,11
56,2,Aileron_R,-0,93.6939835,95.1939835,positive_first,negative,outbound,1,11
57,2,Aileron_R,-0.2,95.1939835,96.6939835,positive_first,negative,outbound,2,11
58,2,Aileron_R,-0.4,96.6939835,98.1939835,positive_first,negative,outbound,3,11
59,2,Aileron_R,-0.6,98.1939835,99.6939835,positive_first,negative,outbound,4,11
60,2,Aileron_R,-0.8,99.6939835,101.1939835,positive_first,negative,outbound,5,11
61,2,Aileron_R,-1,101.1939835,102.6939835,positive_first,negative,outbound,6,11
62,2,Aileron_R,-0.8,102.6939835,104.1939835,positive_first,negative,return,7,11
63,2,Aileron_R,-0.6,104.1939835,105.6939835,positive_first,negative,return,8,11
64,2,Aileron_R,-0.4,105.6939835,107.1939835,positive_first,negative,return,9,11
65,2,Aileron_R,-0.2,107.1939835,108.6939835,positive_first,negative,return,10,11
66,2,Aileron_R,-0,108.6939835,110.1939835,positive_first,negative,return,11,11
67,2,Aileron_R,-0,110.1939835,111.6939835,negative_first,negative,outbound,1,11
68,2,Aileron_R,-0.2,111.6939835,113.1939835,negative_first,negative,outbound,2,11
69,2,Aileron_R,-0.4,113.1939835,114.6939835,negative_first,negative,outbound,3,11
70,2,Aileron_R,-0.6,114.6939835,116.1939835,negative_first,negative,outbound,4,11
71,2,Aileron_R,-0.8,116.1939835,117.6939835,negative_first,negative,outbound,5,11
72,2,Aileron_R,-1,117.6939835,119.1939835,negative_first,negative,outbound,6,11
73,2,Aileron_R,-0.8,119.1939835,120.6939835,negative_first,negative,return,7,11
74,2,Aileron_R,-0.6,120.6939835,122.1939835,negative_first,negative,return,8,11
75,2,Aileron_R,-0.4,122.1939835,123.6939835,negative_first,negative,return,9,11
76,2,Aileron_R,-0.2,123.6939835,125.1939835,negative_first,negative,return,10,11
77,2,Aileron_R,-0,125.1939835,126.6939835,negative_first,negative,return,11,11
78,2,Aileron_R,0,126.6939835,128.1939835,negative_first,positive,outbound,1,11
79,2,Aileron_R,0.2,128.1939835,129.6939835,negative_first,positive,outbound,2,11
80,2,Aileron_R,0.4,129.6939835,131.1939835,negative_first,positive,outbound,3,11
81,2,Aileron_R,0.6,131.1939835,132.6939835,negative_first,positive,outbound,4,11
82,2,Aileron_R,0.8,132.6939835,134.1939835,negative_first,positive,outbound,5,11
83,2,Aileron_R,1,134.1939835,135.6939835,negative_first,positive,outbound,6,11
84,2,Aileron_R,0.8,135.6939835,137.1939835,negative_first,positive,return,7,11
85,2,Aileron_R,0.6,137.1939835,138.6939835,negative_first,positive,return,8,11
86,2,Aileron_R,0.4,138.6939835,140.1939835,negative_first,positive,return,9,11
87,2,Aileron_R,0.2,140.1939835,141.6939835,negative_first,positive,return,10,11
88,2,Aileron_R,0,141.6939835,143.1939835,negative_first,positive,return,11,11
89,3,Rudder,0,143.1939835,144.6939835,positive_first,positive,outbound,1,11
90,3,Rudder,0.2,144.6939835,146.1939835,positive_first,positive,outbound,2,11
91,3,Rudder,0.4,146.1939835,147.6939835,positive_first,positive,outbound,3,11
92,3,Rudder,0.6,147.6939835,149.1939835,positive_first,positive,outbound,4,11
93,3,Rudder,0.8,149.1939835,150.6939835,positive_first,positive,outbound,5,11
94,3,Rudder,1,150.6939835,152.1939835,positive_first,positive,outbound,6,11
95,3,Rudder,0.8,152.1939835,153.6939835,positive_first,positive,return,7,11
96,3,Rudder,0.6,153.6939835,155.1939835,positive_first,positive,return,8,11
97,3,Rudder,0.4,155.1939835,156.6939835,positive_first,positive,return,9,11
98,3,Rudder,0.2,156.6939835,158.1939835,positive_first,positive,return,10,11
99,3,Rudder,0,158.1939835,159.6939835,positive_first,positive,return,11,11
100,3,Rudder,-0,159.6939835,161.1939835,positive_first,negative,outbound,1,11
