t_read_host_s,line_text
0.2612126,"HELLO_EVENT,Nano33IoT_Command_Path_V1,1000000,2747879720"
1.0153149,"RX_EVENT,0,0,2748631447,32768,32768,32768,32768"
1.0153149,"OK_EVENT,SET_NEUTRAL"
1.0153149,"COMMIT_EVENT,0,0,2748631447,2748642249,137280,1500,1500,1500,1500,1500,1500,1500,1500"
8.3564908,"RX_EVENT,0,0,2755961294,32768,32768,32768,32768"
8.3564908,"COMMIT_EVENT,0,0,2755961294,2755962249,137646,1500,1500,1500,1500,1500,1500,1500,1500"
8.3720629,"RX_EVENT,1,0,2755973083,32768,32768,32768,32768"
8.3720629,"COMMIT_EVENT,1,0,2755973083,2755982249,137647,1500,1500,1500,1500,1500,1500,1500,1500"
8.3853788,"RX_EVENT,2,0,2755987799,32768,32768,32768,32768"
8.3976,"COMMIT_EVENT,2,0,2755987799,2756002249,137648,1500,1500,1500,1500,1500,1500,1500,1500"
8.3976,"RX_EVENT,3,0,2756003958,32768,32768,32768,32768"
8.3976,"RX_EVENT,4,0,2756016553,32768,32768,32768,32768"
8.4112703,"COMMIT_EVENT,4,0,2756016553,2756022249,137649,1500,1500,1500,1500,1500,1500,1500,1500"
8.4112703,"RX_EVENT,5,0,2756028779,32768,32768,32768,32768"
8.425289,"COMMIT_EVENT,5,0,2756028779,2756042249,137650,1500,1500,1500,1500,1500,1500,1500,1500"
8.425289,"RX_EVENT,6,0,2756043757,32768,32768,32768,32768"
8.4395446,"RX_EVENT,7,0,2756056555,32768,32768,32768,32768"
8.4395446,"COMMIT_EVENT,7,0,2756056555,2756062250,137651,1500,1500,1500,1500,1500,1500,1500,1500"
8.4553038,"RX_EVENT,8,0,2756070759,32768,32768,32768,32768"
8.4688281,"COMMIT_EVENT,8,0,2756070759,2756082249,137652,1500,1500,1500,1500,1500,1500,1500,1500"
8.4688281,"RX_EVENT,9,0,2756086491,32768,32768,32768,32768"
8.4948861,"RX_EVENT,10,0,2756100022,32768,32768,32768,32768"
8.4948861,"COMMIT_EVENT,10,0,2756100022,2756102249,137653,1500,1500,1500,1500,1500,1500,1500,1500"
8.5088725,"RX_EVENT,11,0,2756111762,32768,32768,32768,32768"
8.5088725,"COMMIT_EVENT,11,0,2756111762,2756122249,137654,1500,1500,1500,1500,1500,1500,1500,1500"
8.5088725,"RX_EVENT,12,0,2756126120,32768,32768,32768,32768"
8.5229887,"RX_EVENT,13,0,2756140160,32768,32768,32768,32768"
8.5375944,"COMMIT_EVENT,13,0,2756140160,2756142249,137655,1500,1500,1500,1500,1500,1500,1500,1500"
8.5375944,"RX_EVENT,14,0,2756154179,32768,32768,32768,32768"
8.5521209,"COMMIT_EVENT,14,0,2756154179,2756162249,137656,1500,1500,1500,1500,1500,1500,1500,1500"
8.5521209,"RX_EVENT,15,0,2756168875,32768,32768,32768,32768"
8.5659054,"COMMIT_EVENT,15,0,2756168875,2756182249,137657,1500,1500,1500,1500,1500,1500,1500,1500"
8.5659054,"RX_EVENT,16,0,2756183759,32768,32768,32768,32768"
8.5797323,"RX_EVENT,17,0,2756197120,32768,32768,32768,32768"
8.5797323,"COMMIT_EVENT,17,0,2756197120,2756202249,137658,1500,1500,1500,1500,1500,1500,1500,1500"
8.6149806,"RX_EVENT,18,0,2756221352,32768,32768,32768,32768"
8.6149806,"COMMIT_EVENT,18,0,2756221352,2756222249,137659,1500,1500,1500,1500,1500,1500,1500,1500"
8.6149806,"RX_EVENT,19,0,2756232935,32768,32768,32768,32768"
8.6289333,"COMMIT_EVENT,19,0,2756232935,2756242249,137660,1500,1500,1500,1500,1500,1500,1500,1500"
8.6289333,"RX_EVENT,20,0,2756246241,32768,32768,32768,32768"
8.643414,"RX_EVENT,21,0,2756260223,32768,32768,32768,32768"
8.643414,"COMMIT_EVENT,21,0,2756260223,2756262249,137661,1500,1500,1500,1500,1500,1500,1500,1500"
8.6574135,"RX_EVENT,22,0,2756274678,32768,32768,32768,32768"
8.6714052,"COMMIT_EVENT,22,0,2756274678,2756282249,137662,1500,1500,1500,1500,1500,1500,1500,1500"
