event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count
1,1,Aileron_L,0,11.4976757,13.4976757,positive_first,positive,outbound,1,19
2,1,Aileron_L,0.05,13.4976757,15.4976757,positive_first,positive,outbound,2,19
3,1,Aileron_L,0.1,15.4976757,17.4976757,positive_first,positive,outbound,3,19
4,1,Aileron_L,0.15,17.4976757,19.4976757,positive_first,positive,outbound,4,19
5,1,Aileron_L,0.2,19.4976757,21.4976757,positive_first,positive,outbound,5,19
6,1,Aileron_L,0.3,21.4976757,23.4976757,positive_first,positive,outbound,6,19
7,1,Aileron_L,0.45,23.4976757,25.4976757,positive_first,positive,outbound,7,19
8,1,Aileron_L,0.6,25.4976757,27.4976757,positive_first,positive,outbound,8,19
9,1,Aileron_L,0.8,27.4976757,29.4976757,positive_first,positive,outbound,9,19
10,1,Aileron_L,1,29.4976757,31.4976757,positive_first,positive,outbound,10,19
11,1,Aileron_L,0.8,31.4976757,33.4976757,positive_first,positive,return,11,19
12,1,Aileron_L,0.6,33.4976757,35.4976757,positive_first,positive,return,12,19
13,1,Aileron_L,0.45,35.4976757,37.4976757,positive_first,positive,return,13,19
14,1,Aileron_L,0.3,37.4976757,39.4976757,positive_first,positive,return,14,19
15,1,Aileron_L,0.2,39.4976757,41.4976757,positive_first,positive,return,15,19
16,1,Aileron_L,0.15,41.4976757,43.4976757,positive_first,positive,return,16,19
17,1,Aileron_L,0.1,43.4976757,45.4976757,positive_first,positive,return,17,19
18,1,Aileron_L,0.05,45.4976757,47.4976757,positive_first,positive,return,18,19
19,1,Aileron_L,0,47.4976757,49.4976757,positive_first,positive,return,19,19
20,1,Aileron_L,-0,49.4976757,51.4976757,positive_first,negative,outbound,1,19
21,1,Aileron_L,-0.05,51.4976757,53.4976757,positive_first,negative,outbound,2,19
22,1,Aileron_L,-0.1,53.4976757,55.4976757,positive_first,negative,outbound,3,19
23,1,Aileron_L,-0.15,55.4976757,57.4976757,positive_first,negative,outbound,4,19
24,1,Aileron_L,-0.2,57.4976757,59.4976757,positive_first,negative,outbound,5,19
25,1,Aileron_L,-0.3,59.4976757,61.4976757,positive_first,negative,outbound,6,19
26,1,Aileron_L,-0.45,61.4976757,63.4976757,positive_first,negative,outbound,7,19
27,1,Aileron_L,-0.6,63.4976757,65.4976757,positive_first,negative,outbound,8,19
28,1,Aileron_L,-0.8,65.4976757,67.4976757,positive_first,negative,outbound,9,19
29,1,Aileron_L,-1,67.4976757,69.4976757,positive_first,negative,outbound,10,19
30,1,Aileron_L,-0.8,69.4976757,71.4976757,positive_first,negative,return,11,19
31,1,Aileron_L,-0.6,71.4976757,73.4976757,positive_first,negative,return,12,19
32,1,Aileron_L,-0.45,73.4976757,75.4976757,positive_first,negative,return,13,19
33,1,Aileron_L,-0.3,75.4976757,77.4976757,positive_first,negative,return,14,19
34,1,Aileron_L,-0.2,77.4976757,79.4976757,positive_first,negative,return,15,19
35,1,Aileron_L,-0.15,79.4976757,81.4976757,positive_first,negative,return,16,19
36,1,Aileron_L,-0.1,81.4976757,83.4976757,positive_first,negative,return,17,19
37,1,Aileron_L,-0.05,83.4976757,85.4976757,positive_first,negative,return,18,19
38,1,Aileron_L,-0,85.4976757,87.4976757,positive_first,negative,return,19,19
39,1,Aileron_L,-0,87.4976757,89.4976757,negative_first,negative,outbound,1,19
40,1,Aileron_L,-0.05,89.4976757,91.4976757,negative_first,negative,outbound,2,19
41,1,Aileron_L,-0.1,91.4976757,93.4976757,negative_first,negative,outbound,3,19
42,1,Aileron_L,-0.15,93.4976757,95.4976757,negative_first,negative,outbound,4,19
43,1,Aileron_L,-0.2,95.4976757,97.4976757,negative_first,negative,outbound,5,19
44,1,Aileron_L,-0.3,97.4976757,99.4976757,negative_first,negative,outbound,6,19
45,1,Aileron_L,-0.45,99.4976757,101.4976757,negative_first,negative,outbound,7,19
